stem,n_routes,has_EN,assigned_EN,has_DE,assigned_DE,has_NL,assigned_NL,has_FR,assigned_FR,has_OTHER,assigned_OTHER,covered_any,example_ids
!!!nog fietsroute!!! day : schoonhoven - kinderdijk - dordrecht (van)(x),1,,,,,,,,,Y,,,54958568
(unnamed),1,,,,,,,,,Y,,,54826047
aalter-brug - bruges,2,Y,Y,Y,,,,,,,,Y,"26848645,53677114"
aalter-brug - ghent (city),1,Y,,,,,,,,,,,31540094
aalter-brug - ghent (stadt),1,,,Y,,,,,,,,,53677206
aalterbrug - brugge,3,Y,,Y,,,,,,Y,,,"55451583,55680225,55695403"
aalterbrug - brugge ' t zand (via boskampveld),1,,,,,,,,,Y,,,55326882
aambeeld - einstein,1,,,,,,,,,Y,,,56008109
abbeville - long,2,Y,Y,,,,,,,,,Y,"50029518,53899206"
abbeville - saint-valery (loop),6,Y,Y,,,,,,,,,Y,"49297091,49940887,53899204,53899205"
ablon - melun,1,Y,,,,,,,,,,,28437321
akersloot - amsterdam (oosterdok),2,Y,,Y,,,,,,,,,"53331783,53665503"
akersloot - amsterdam (oosterdok) (before april),2,Y,,,,,,,,,,,"50264683,50264946"
akersloot - amsterdam (oosterdok) (before april) (white label),2,Y,,,,,,,,,,,"54360761,54360762"
akersloot - amsterdam (oosterdok) (vor dem . april),2,,,Y,,,,,,,,,"53665518,53665522"
akersloot - amsterdam (oosterdok) (white label),1,Y,,,,,,,,,,,54360760
alblasserdam - kinderdijk - gouda,3,Y,Y,Y,,,,,,,,Y,"26920965,38398102,53665232"
alblasserdam - kinderdijk - gouda (via schoonhoven),1,Y,Y,,,,,,,,,Y,53330077
alblasserdam - kinderdijk - gouda (über schoonhoven),1,,,Y,,,,,,,,,53665234
alblasserdam - kinderdijk - gouda - schoonhoven,1,,,Y,,,,,,,,,26920960
alblasserdam - kinderdijk - gouda - schoonhoven nld,1,,,,,,,,,Y,,,49523350
alblasserdam - kinderdijk - gouda / mi,1,Y,Y,,,,,,,,,Y,26920266
alblasserdam - kinderdijk - nieuwpoort (via gouda) / mi,2,Y,,Y,,,,,,,,,"54650013,54650038"
alblasserdam - kinderdijk - nieuwpoort (via gouda) / mi nld,1,,,,,,,,,Y,,,54734652
alblasserdam - kinderdijk - schoonhoven (via gouda) / mi,1,Y,,,,,,,,,,,26548732
alf - bernkastel kues,1,Y,Y,,,,,,,,,Y,55599973
alf - bernkastel kues (traced),1,Y,,,,,,,,,,,55924785
alf - bernkastel-kues,2,Y,,Y,,,,,,,,,"55992071,55992441"
alf - cochem,2,Y,,Y,,,,,,,,,"55992660,55992873"
alken - cochem (via eltz),1,Y,,,,,,,,,,,29495469
alken - cochem (über eltz),1,,,Y,,,,,,,,,53814364
alken - kobern - winningen - koblenz,1,Y,Y,,,,,,,,,Y,51699437
alken - kobern - winningen - koblenz (traced),1,Y,,,,,,,,,,,55924749
alkmaar - amsterdam (buiksloterweg),1,Y,,,,,,,,,,,54596408
alkmaar - amsterdam (buiksloterweg) (via schermer),1,Y,,,,,,,,,,,54609300
alkmaar - amsterdam (minerva),1,Y,,,,,,,,,,,54502072
alkmaar - amsterdam (minerva) (via schermer),1,Y,,,,,,,,,,,54502069
alkmaar - amsterdam (minerva) (via schermer) (before april),1,Y,,,,,,,,,,,54502067
alkmaar - amsterdam (oosterdok),2,Y,,Y,,,,,,,,,"45160527,53665498"
alkmaar - amsterdam (oosterdok) (via schermer),1,Y,,,,,,,,,,,29179529
alkmaar - amsterdam (oosterdok) (via schermer) (before april),1,Y,,,,,,,,,,,53543790
alkmaar - amsterdam (oosterdok) (via schermer) (before april) (white label),1,Y,,,,,,,,,,,54360763
alkmaar - amsterdam (oosterdok) (via schermer) (white label),1,Y,,,,,,,,,,,54360759
alkmaar - amsterdam (oosterdok) (via volendam),1,Y,,,,,,,,,,,49098613
alkmaar - amsterdam (oosterdok) (via volendam) (white label),1,Y,,,,,,,,,,,54360764
alkmaar - amsterdam (oosterdok) (white label),1,Y,,,,,,,,,,,54360758
alkmaar - amsterdam (oosterdok) (über schermer),1,,,Y,,,,,,,,,53665499
alkmaar - amsterdam (oosterdok) (über schermer) (vor dem . april),1,,,Y,,,,,,,,,53665528
alkmaar - amsterdam (oosterdok) (über volendam) poi,1,,,Y,,,,,,,,,53665532
alkmaar - den helder,2,Y,Y,Y,,,,,,,,Y,"49075457,53680666"
alkmaar - den helder (n),2,Y,,Y,,,,,,,,,"31327316,54393525"
alkmaar - den helder nld,1,,,,,,,,,Y,,,54221142
alkmaar - dunes (loop via bergen & egmond),1,Y,,,,,,,,,,,49133508
alkmaar - dunes (loop via bergen & schoorl) (n),1,Y,,,,,,,,,,,49228113
alkmaar - dunes (loop via bergen & schoorl) (n) (white label),1,Y,,,,,,,,,,,54360757
alkmaar - dunes (loop via bergen) (n),1,Y,Y,,,,,,,,,Y,49227975
"alkmaar - dunes (loop via bergen, schoorl & egmond)",1,Y,,,,,,,,,,,49133472
alkmaar - dunes (rondrit via bergen & egmond) nld2026,1,,,,,,,,,Y,,,49812038
alkmaar - dunes (rondrit via bergen & schoorl) nld,1,,,,,,,,,Y,,,54221145
alkmaar - dunes (rondrit via bergen) nld,1,,,,,,,,,Y,,,54221401
alkmaar - dunes (rondrit via bergen) nld q,1,,,,,,,,,Y,,,54221148
"alkmaar - dunes (rondrit via bergen, schoorl & egmond) nld",1,,,,,,,,,Y,,,49812043
alkmaar - dunes (schleife über bergen & egmond),1,,,Y,,,,,,,,,53680522
"alkmaar - dunes (schleife über bergen, schoorl & egmond)",1,,,Y,,,,,,,,,53680524
alkmaar - dünen (schleife über bergen & schoorl) (n),2,,,Y,,,,,,,,,"53665491,54393508"
alkmaar - egmond - zaanse schans via hortus cue,1,Y,,,,,,,,,,,49610230
alkmaar - haarlem (city),2,Y,Y,Y,,,,,,,,Y,"54782493,54800900"
alkmaar - heiloo - zaanse schans via hortus,1,Y,,,,,,,,,,,49610229
alkmaar - hoorn,1,Y,Y,,,,,,,,,Y,50890551
alkmaar - sint maartensvlotbrug,2,Y,Y,Y,,,,,,,,Y,"31327320,53680662"
alkmaar - sint maartensvlotbrug nld,1,,,,,,,,,Y,,,54221040
alkmaar - zaandam (via egmond binnen),1,Y,,,,,,,,,,,53535791
alkmaar - zaandam (via egmond binnen) nld,1,,,,,,,,,Y,,,54353983
alkmaar - zaandam (via egmond),1,Y,,,,,,,,,,,49172310
alkmaar - zaandam (via egmond) nld,1,,,,,,,,,Y,,,54353974
alkmaar - zaandam (via heiloo),1,Y,,,,,,,,,,,49173252
alkmaar - zaandam (via heiloo) nld,1,,,,,,,,,Y,,,54353978
alkmaar - zaandam (via schermer),1,Y,,,,,,,,,,,53517551
alkmaar - zaandam (via schermer) nld,1,,,,,,,,,Y,,,54353976
alkmaar - zaandam (über egmond binnen),1,,,Y,,,,,,,,,53680508
alkmaar - zaandam (über egmond),1,,,Y,,,,,,,,,53680510
alkmaar - zaandam (über heiloo),1,,,Y,,,,,,,,,53680511
alkmaar - zaandam (über schermer),1,,,Y,,,,,,,,,53680512
alkmaar - zaanse schans - (via schermer) (before april),1,Y,,,,,,,,,,,54554549
alkmaar - zaanse schans - amsterdam (minerva),2,Y,,Y,,,,,,,,,"54563880,54563956"
alkmaar - zaanse schans - amsterdam (oosterdok),2,Y,,Y,,,,,,,,,"55915172,55915402"
alkmaar - zaanse schans - zaandam (via egmond binnen),1,Y,,,,,,,,,,,53517876
alkmaar - zaanse schans - zaandam (via egmond),1,Y,,,,,,,,,,,31427203
alkmaar - zaanse schans - zaandam (via heiloo),1,Y,,,,,,,,,,,31432899
alkmaar - zaanse schans - zaandam (via schermer),1,Y,,,,,,,,,,,53536935
alkmaar - zaanse schans - zaandam (via schermer) (before april),1,Y,,,,,,,,,,,53535441
alkmaar - zaanse schans - zaandam (über egmond binnen),1,,,Y,,,,,,,,,53680514
alkmaar - zaanse schans - zaandam (über egmond),1,,,Y,,,,,,,,,53680516
alkmaar - zaanse schans - zaandam (über heiloo),1,,,Y,,,,,,,,,53680517
alkmaar - zaanse schans - zaandam (über schermer),2,,,Y,,,,,,,,,"53668200,53774140"
alkmaar - zaanse schans - zaandam (über schermer) (vor dem . april),1,,,Y,,,,,,,,,53680520
alkmaar polder-windmill loop,2,Y,Y,Y,,,,,,,,Y,"54664318,54664344"
alphen a/d rijn - gouda,2,Y,,,,,,,,,,,"49094075,49094310"
alphen a/d rijn - kudelstaart,4,Y,Y,Y,,,,,,,,Y,"26769824,26769826,53665255,53665261"
alphen a/d rijn - kudelstaart (white label),2,Y,,,,,,,,,,,"54360738,54360739"
alphen a/d rijn - oude wetering,2,Y,,,,,,,,,,,"49094508,49094619"
alphen a/d rijn - oude wetering (white label),2,Y,,,,,,,,,,,"54360741,54360742"
alphen a/d rijn - oude wetering poi,2,,,Y,,,,,,,,,"53665558,53665577"
alphen a/d rijn - uithoorn,4,Y,Y,Y,,,,,,,,Y,"54152896,54152898,54338085,54338089"
alphen a/d rijn - uithoorn (white label),2,Y,,,,,,,,,,,"54360771,54360772"
alt: alkmaar - hoorn,9,Y,,Y,,,,,,,,,"55781221,55781293,55781397,55781407"
alt: alkmaar - hoorn nld,3,,,,,,,,,Y,,,"55787972,55787973,55787976"
amiens - corbie,2,Y,Y,,,,,,,,,Y,"50029963,53899210"
amiens - corbie (via moreuil),2,Y,Y,,,,,,,,,Y,"50029949,53899211"
amiens - samara,4,Y,Y,,,,,,,,,Y,"49293250,49940703,53899246,53899247"
amsterdam (buiksloterweg) - zaanse schans,4,Y,,Y,,,,,,,,,"26537140,26769817,53665466,53665469"
amsterdam (buiksloterweg) - zaanse schans (white label),2,Y,Y,,,,,,,,,Y,"54360745,54360746"
amsterdam (buiksloterweg) - zaanse schans - purmerend,2,Y,Y,Y,,,,,,,,Y,"31294794,53665471"
amsterdam (buiksloterweg) - zaanse schans - purmerend (white label),1,Y,Y,,,,,,,,,Y,54360748
amsterdam (buiksloterweg) - zaanse schans - zaandam,2,Y,,Y,,,,,,,,,"53994101,53994178"
amsterdam (buiksloterweg) - zaanse schans - zaandam (white label),1,Y,Y,,,,,,,,,Y,54360747
amsterdam (hoxten) - breukelen,1,,,Y,Y,,,,,,,Y,55679145
amsterdam (hoxten) - naarden - diemen,3,Y,,Y,Y,,,,,,,Y,"53839238,53844937,53851829"
amsterdam (hoxten) -breukelen,1,Y,,,,,,,,,,,55138421
amsterdam (hoxton hotel) - breukelen km (copy),1,Y,,,,,,,,,,,55140465
amsterdam (hoxton) - breukelen,6,Y,,Y,Y,,,,,,,Y,"55138425,55140588,55140931,55191934"
amsterdam (hoxton) - breukelen - (copy),1,Y,,,,,,,,,,,55140913
amsterdam (hoxton) - breukelen km,1,Y,,,,,,,,,,,55140231
amsterdam (minerva) - haarlem (loop),3,Y,Y,,,,,,,,,Y,"42508167,52509702,55469680"
amsterdam (minerva) - haarlem - zaandam,2,Y,,,,,,,,,,,"50879561,54351790"
amsterdam (minerva) - waterland (loop),3,Y,Y,,,,,,,,,Y,"26773939,51081238,55469711"
"amsterdam (minerva) - zaandam ,",1,Y,,,,,,,,,,,42967423
amsterdam (minervahaven) - muiden loop,2,,,Y,,,,,,Y,,,"54573601,54573974"
amsterdam (minervahaven) - muiden loop nld,1,,,,,,,,,Y,,,54574082
amsterdam (oosterdok) - zaanse schans - haarlem,1,Y,Y,,,,,,,,,Y,55073297
amsterdam (oosterdok) - zaanse schans - haarlem (city),2,Y,Y,Y,,,,,,,,Y,"55204280,55647848"
amsterdam (ponthaven) - zaanse schans loop,2,Y,,Y,,,,,,,,,"54689400,54689545"
amsterdam (veemkade) - zaanse schans - haarlem (city),1,Y,Y,,,,,,,,,Y,55820434
amsterdam fietsen,1,,,,,,,,,Y,,,54428643
andernach - boppard,1,Y,Y,,,,,,,,,Y,56125488
antwerp - dendermonde,2,Y,Y,Y,,,,,,,,Y,"31554711,53677080"
antwerp - dendermonde (via waterbus),1,Y,Y,,,,,,,,,Y,31554812
antwerp - dendermonde (über waterbus),1,,,Y,,,,,,,,,53677083
antwerp - st. amands,2,Y,,Y,,,,,,,,,"33567537,53677130"
antwerp - st. amands (mit waterbus),1,,,Y,,,,,,,,,53677132
antwerp - st. amands (via waterbus),1,Y,Y,,,,,,,,,Y,31555120
antwerp - st. amands (x),3,Y,,Y,,,,,,,,,"53518100,53844940,53852922"
antwerp - terneuzen,1,Y,,,,,,,,,,,53702380
antwerpen (loop city),1,Y,,,,,,,,,,,55708413
antwerpen - baasrode,2,Y,Y,Y,,,,,,,,Y,"55991544,55991725"
antwerpen - kreekrak,2,Y,,Y,,,,,,,,,"55931255,55931355"
"antwerpen - kreekrak (alternative, )",1,,,,,,,,,Y,,,55929036
antwerpen - st. amands,3,Y,,Y,,,,,,Y,,,"55884038,55915895,55915936"
antwerpen - st. amands (kruibeke ferry),2,Y,,Y,,,,,,,,,"55915884,55915928"
antwerpen - st. amands (temse vita scheldebad),3,Y,,Y,Y,,,,,Y,,Y,"55451534,55680113,55695442"
antwerpen - st. amands (toulet),1,,,,,,,,,Y,,,55326888
antwerpen - tholen,3,Y,,Y,,,,,,,,,"55929046,55930853,55930920"
antwerpen - tholen - dordrecht,1,,,,,,,,,Y,,,55883692
arcen - cuijk,2,Y,Y,Y,,,,,,,,Y,"44992477,53668499"
arcen - roermond,2,Y,,Y,,,,,,,,,"38193639,53668535"
arles - chateau du beaux - tarascon,1,Y,,,,,,,,,,,55616828
arles - tarascon,1,Y,,,,,,,,,,,55616901
arleux - don (via mine museum),1,,,,,,,,,Y,,,49434591
arleux - havrincourt (via canal & vaucelles),1,Y,,,,,,,,,,,55331502
arleux - havrincourt (via canal st-quentin),1,Y,Y,,,,,,,,,Y,55317280
arleux - havrincourt (via masnière),2,Y,Y,,,,,,,,,Y,"41409908,53899239"
arleux - havrincourt (via vaucelles),2,Y,Y,,,,,,,,,Y,"26957550,53899240"
"arnhem - giesbeek - doesburg ,",1,,,,,,,,,Y,,,54841359
arnhem - millingen a.d. rijn - nijmegen - arnhem,2,Y,,,,,,,,,,,"54975981,55204253"
arnhem - tolkamer - nijmegen - arnhem,2,Y,,,,,,,,,,,"54976438,55204254"
"arnhem posbank doesburg ,",1,,,,,,,,,Y,,,54841216
arnhem-mijmegen nassau,1,,,,,,,,,Y,,,55061542
aschach - schlögen / mi,1,Y,,,,,,,,,,,50554365
aschaffenburg - frankfurt,2,Y,,Y,,,,,,,,,"43310532,53814343"
aschaffenburg - freudenberg,2,Y,,Y,Y,,,,,,,Y,"53806297,55551836"
aschaffenburg - miltenberg,1,Y,Y,,,,,,,,,Y,54415865
asia to kattendijkdok .,1,Y,,,,,,,,,,,55569587
auvers-sur-oise - paris (bougival),1,Y,Y,,,,,,,,,Y,31596049
auvers-sur-oise - paris (bougival) (via ax majeur),1,Y,Y,,,,,,,,,Y,31596014
auvers-sur-oise - paris (bougival) (via ax majeur) rain route,1,Y,Y,,,,,,,,,Y,55449938
auxerre (loop) (t),1,Y,,,,,,,,,,,55804412
auxerre (loop) (via irancy & pelgrimsherberg) (t),1,Y,,,,,,,,,,,55804348
auxerre - irancy (loop),1,Y,Y,,,,,,,,,Y,41658564
auxerre - joigny,2,Y,Y,,,,,,,,,Y,"32069739,39609937"
auxerre - joigny (t),1,Y,,,,,,,,,,,55804429
auxerre - vincelottes (loop),1,Y,Y,,,,,,,,,Y,42998918
avignon - l'isle-sur-la-sorgue loop,2,,,,,,,,,Y,,,"55505353,55616462"
avignon - pont du gard - tarascon,2,Y,Y,,,,,,,Y,,Y,"55504926,55616461"
avignon loop old city,2,Y,,,,,,,,,,,"54691660,55616448"
avignon to l'isle-sur-la-sorgue loop,2,,,,,,,,,Y,,,"54752699,55616454"
avignon to tarascon via pujaut and pont du gard track base,2,,,,,,,,,Y,,,"54752708,55616455"
bad breisig - winningen,4,Y,,Y,,,,,,,,,"55312112,55487419,55487487,55567895"
bad breisig - winningen (traced),1,Y,,,,,,,,,,,55924775
bad breisig - winningen nld,1,,,,,,,,,Y,,,55568664
bamberg - hassfurt - schweinfurt,2,Y,,,,,,,,,,,"54319437,54343721"
bamberg - hassfurt - schweinfurt (new start),1,Y,,,,,,,,,,,54319470
bamberg - schweinfurt,1,Y,,,,,,,,,,,54319357
beaumont - chantilly - pont-ste-maxence,1,Y,Y,,,,,,,,,Y,44574990
