route_id,name,stem,status
31540094,Aalter-Brug - Ghent (city) 26 km ENG 2026,aalter-brug - ghent (city),UNCOVERED
55695403,Aalterbrug - Brugge 40km ENG 2026,aalterbrug - brugge,UNCOVERED
28437321,Ablon - Melun 42 km ENG 2026,ablon - melun,UNCOVERED
53331783,Akersloot - Amsterdam (Oosterdok) 39 km ENG 2026,akersloot - amsterdam (oosterdok),UNCOVERED
50264683,Akersloot - Amsterdam (Oosterdok) (before 15 April) 43 km ENG 2026,akersloot - amsterdam (oosterdok) (before april),UNCOVERED
50264946,Akersloot - Amsterdam (Oosterdok) (before 15 April) 36 km ENG 2026,akersloot - amsterdam (oosterdok) (before april),UNCOVERED
54360761,Akersloot - Amsterdam (Oosterdok) (before 15 April) 36 km ENG 2026 (white label),akersloot - amsterdam (oosterdok) (before april) (white label),UNCOVERED
54360762,Akersloot - Amsterdam (Oosterdok) (before 15 April) 43 km ENG 2026 (white label),akersloot - amsterdam (oosterdok) (before april) (white label),UNCOVERED
54360760,Akersloot - Amsterdam (Oosterdok) 39 km ENG 2026 (white label),akersloot - amsterdam (oosterdok) (white label),UNCOVERED
54650013,Alblasserdam - Kinderdijk - Nieuwpoort (via Gouda) 47 km / 28 mi ENG 2026,alblasserdam - kinderdijk - nieuwpoort (via gouda) / mi,UNCOVERED
26548732,Alblasserdam - Kinderdijk - Schoonhoven (via Gouda) 45 km / 28 mi ENG 2026,alblasserdam - kinderdijk - schoonhoven (via gouda) / mi,UNCOVERED
55924785,Alf - Bernkastel Kues 49km ENG 2026 (traced),alf - bernkastel kues (traced),UNCOVERED
55992071,Alf - Bernkastel-Kues 48 km ENG 2026,alf - bernkastel-kues,UNCOVERED
55992660,Alf - Cochem 37 km ENG 2026,alf - cochem,UNCOVERED
29495469,Alken - Cochem (via Eltz) 33 km ENG 2026,alken - cochem (via eltz),UNCOVERED
55924749,Alken - Kobern - Winningen - Koblenz 25 km ENG 2025 (traced),alken - kobern - winningen - koblenz (traced),UNCOVERED
54596408,Alkmaar - Amsterdam (Buiksloterweg) 47 km ENG 2026,alkmaar - amsterdam (buiksloterweg),UNCOVERED
54609300,Alkmaar - Amsterdam (Buiksloterweg) (via Schermer) 51 km ENG 2026,alkmaar - amsterdam (buiksloterweg) (via schermer),UNCOVERED
54502072,Alkmaar - Amsterdam (Minerva) 46 km ENG 2026,alkmaar - amsterdam (minerva),UNCOVERED
54502069,Alkmaar - Amsterdam (Minerva) (via Schermer) 53 km ENG 2026,alkmaar - amsterdam (minerva) (via schermer),UNCOVERED
54502067,Alkmaar - Amsterdam (Minerva) (via Schermer) (before 15 April) 51 km ENG 2026,alkmaar - amsterdam (minerva) (via schermer) (before april),UNCOVERED
45160527,Alkmaar - Amsterdam (Oosterdok) 48 km ENG 2026,alkmaar - amsterdam (oosterdok),UNCOVERED
29179529,Alkmaar - Amsterdam (Oosterdok) (via Schermer) 54 km ENG 2026,alkmaar - amsterdam (oosterdok) (via schermer),UNCOVERED
53543790,Alkmaar - Amsterdam (Oosterdok) (via Schermer) (before 15 April) 53 km ENG 2026,alkmaar - amsterdam (oosterdok) (via schermer) (before april),UNCOVERED
54360763,Alkmaar - Amsterdam (Oosterdok) (via Schermer) (before 15 April) 53 km ENG 2026 (white label),alkmaar - amsterdam (oosterdok) (via schermer) (before april) (white label),UNCOVERED
54360759,Alkmaar - Amsterdam (Oosterdok) (via Schermer) 55 km ENG 2026 (white label),alkmaar - amsterdam (oosterdok) (via schermer) (white label),UNCOVERED
49098613,Alkmaar - Amsterdam (Oosterdok) (via Volendam) 63 km ENG 2026,alkmaar - amsterdam (oosterdok) (via volendam),UNCOVERED
54360764,Alkmaar - Amsterdam (Oosterdok) (via Volendam) 62 km ENG 2026 (white label),alkmaar - amsterdam (oosterdok) (via volendam) (white label),UNCOVERED
54360758,Alkmaar - Amsterdam (Oosterdok) 46 km ENG 2026 (white label),alkmaar - amsterdam (oosterdok) (white label),UNCOVERED
31327316,Alkmaar - Den Helder 53 km ENG 2026 (N),alkmaar - den helder (n),UNCOVERED
49133508,Alkmaar - Dunes (loop via Bergen & Egmond) 35 km ENG 2026,alkmaar - dunes (loop via bergen & egmond),UNCOVERED
49228113,Alkmaar - Dunes (loop via Bergen & Schoorl) 39 km ENG 2026 (N),alkmaar - dunes (loop via bergen & schoorl) (n),UNCOVERED
54360757,Alkmaar - Dunes (loop via Bergen & Schoorl) 39 km ENG 2026 (N) (white label),alkmaar - dunes (loop via bergen & schoorl) (n) (white label),UNCOVERED
49133472,"Alkmaar - Dunes (loop via Bergen, Schoorl & Egmond) 49 km ENG 2026","alkmaar - dunes (loop via bergen, schoorl & egmond)",UNCOVERED
49610230,Alkmaar - Egmond - Zaanse Schans 45km ENG 2025 via Hortus CUE,alkmaar - egmond - zaanse schans via hortus cue,UNCOVERED
49610229,Alkmaar - Heiloo - Zaanse Schans 33km ENG 2025 via Hortus,alkmaar - heiloo - zaanse schans via hortus,UNCOVERED
53535791,Alkmaar - Zaandam (via Egmond Binnen) 47 km ENG 2026,alkmaar - zaandam (via egmond binnen),UNCOVERED
49172310,Alkmaar - Zaandam (via Egmond) 52 km ENG 2026,alkmaar - zaandam (via egmond),UNCOVERED
49173252,Alkmaar - Zaandam (via Heiloo) 38 km ENG 2026,alkmaar - zaandam (via heiloo),UNCOVERED
53517551,Alkmaar - Zaandam (via Schermer) 43 km ENG 2026,alkmaar - zaandam (via schermer),UNCOVERED
54554549,Alkmaar - Zaanse Schans -  (via Schermer) (before 15 April) 42 km ENG 2026,alkmaar - zaanse schans - (via schermer) (before april),UNCOVERED
54563880,Alkmaar - Zaanse Schans - Amsterdam (Minerva) 45 km ENG 2026,alkmaar - zaanse schans - amsterdam (minerva),UNCOVERED
55915172,Alkmaar - Zaanse Schans - Amsterdam (Oosterdok) 50 km ENG 2026,alkmaar - zaanse schans - amsterdam (oosterdok),UNCOVERED
53517876,Alkmaar - Zaanse Schans - Zaandam (via Egmond Binnen) 46 km ENG 2026 ,alkmaar - zaanse schans - zaandam (via egmond binnen),UNCOVERED
31427203,Alkmaar - Zaanse Schans - Zaandam (via Egmond) 50 km ENG 2026,alkmaar - zaanse schans - zaandam (via egmond),UNCOVERED
31432899,Alkmaar - Zaanse Schans - Zaandam (via Heiloo) 37 km ENG 2026,alkmaar - zaanse schans - zaandam (via heiloo),UNCOVERED
53536935,Alkmaar - Zaanse Schans - Zaandam (via Schermer) 45 km ENG 2026,alkmaar - zaanse schans - zaandam (via schermer),UNCOVERED
53535441,Alkmaar - Zaanse Schans - Zaandam (via Schermer) (before 15 April) 48 km ENG 2026,alkmaar - zaanse schans - zaandam (via schermer) (before april),UNCOVERED
49094075,Alphen a/d Rijn - Gouda 40 km ENG 2026,alphen a/d rijn - gouda,UNCOVERED
49094310,Alphen a/d Rijn - Gouda 48 km ENG 2026,alphen a/d rijn - gouda,UNCOVERED
54360738,Alphen a/d Rijn - Kudelstaart 23 km ENG 2026 (white label),alphen a/d rijn - kudelstaart (white label),UNCOVERED
54360739,Alphen a/d Rijn - Kudelstaart 39 km ENG 2026 (white label),alphen a/d rijn - kudelstaart (white label),UNCOVERED
49094508,Alphen a/d Rijn - Oude Wetering 26 km ENG 2026,alphen a/d rijn - oude wetering,UNCOVERED
49094619,Alphen a/d Rijn - Oude Wetering 36 km ENG 2026,alphen a/d rijn - oude wetering,UNCOVERED
54360741,Alphen a/d Rijn - Oude Wetering 26 km ENG 2026 (white label),alphen a/d rijn - oude wetering (white label),UNCOVERED
54360742,Alphen a/d Rijn - Oude Wetering 36 km ENG 2026 (white label),alphen a/d rijn - oude wetering (white label),UNCOVERED
54360771,Alphen a/d Rijn - Uithoorn 26 km ENG 2026 (white label),alphen a/d rijn - uithoorn (white label),UNCOVERED
54360772,Alphen a/d Rijn - Uithoorn 36 km ENG 2026 (white label),alphen a/d rijn - uithoorn (white label),UNCOVERED
55781221,ALT: Alkmaar - Hoorn 32 km ENG 2026,alt: alkmaar - hoorn,UNCOVERED
55781293,ALT: Alkmaar - Hoorn 54 km ENG 2026,alt: alkmaar - hoorn,UNCOVERED
55781397,ALT: Alkmaar - Hoorn 47 km ENG 2026,alt: alkmaar - hoorn,UNCOVERED
55781407,ALT: Alkmaar - Hoorn 47 km ENG 2026 ,alt: alkmaar - hoorn,UNCOVERED
55781425,ALT: Alkmaar - Hoorn 54 km ENG 2026,alt: alkmaar - hoorn,UNCOVERED
55781432,ALT: Alkmaar - Hoorn 32 km ENG 2026 ,alt: alkmaar - hoorn,UNCOVERED
26537140,Amsterdam (Buiksloterweg) - Zaanse Schans 23 km ENG 2026,amsterdam (buiksloterweg) - zaanse schans,UNCOVERED
26769817,Amsterdam (Buiksloterweg) - Zaanse Schans 37 km ENG 2026,amsterdam (buiksloterweg) - zaanse schans,UNCOVERED
53994101,Amsterdam (Buiksloterweg) - Zaanse Schans - Zaandam 28 km ENG 2026,amsterdam (buiksloterweg) - zaanse schans - zaandam,UNCOVERED
55138421,Amsterdam (Hoxten) -Breukelen 36 km ENG 2026 ,amsterdam (hoxten) -breukelen,UNCOVERED
55140465,Amsterdam (Hoxton Hotel) - Breukelen   km ENG 2026 (copy),amsterdam (hoxton hotel) - breukelen km (copy),UNCOVERED
