route_id,name,updated,n_cues,langs_found,lang_breakdown,guessed_language,lang_mixed,n_uturn_on_straight,n_turn_on_straight,quarantine,track_pts
18687306,Neronville - Nemours 45 km ENG 2026,2025-12-19T19:28:48Z,59,EN,EN:58,EN,,1,10,,805
19220574,Zaandam - Zaanse Schans - Alkmaar (via Egmond) 50 km ENG 2026,2026-04-08T13:39:55Z,104,"EN,NL","EN:88,NL:5",EN,YES,0,23,,1292
19353581,Rüdesheim - Mainz (via monastery) 39 km ENG 2026,2025-12-18T08:49:13Z,78,"DE,EN,NL","EN:59,DE:9,NL:1",EN,YES,0,33,,851
19353591,Remagen - Koblenz 46 km ENG 2026,2025-11-22T10:32:42Z,53,"EN,NL","EN:51,NL:2",EN,YES,0,17,,747
19353605,Cologne - Bonn 39 km ENG 2026,2026-06-10T07:51:34Z,39,"DE,EN","EN:29,DE:7",EN,YES,0,12,,612
19355087,Wesel - Duisburg 40 km ENG 2026,2025-11-22T09:56:50Z,63,"EN,NL","EN:53,NL:1",EN,YES,1,15,,711
19578005,Makkum - Stavoren 30 km ENG 2026,2025-12-10T10:04:26Z,38,EN,EN:36,EN,,1,4,,1152
22953130,Melun - Moret (via Barbizon & Fontainebleau) 40 km ENG 2026,2026-07-06T09:42:46Z,64,"DE,EN","EN:35,DE:25",EN,YES,0,12,,828
25208723,Lith - Cuijk  54 km ENG 2026,2025-12-17T10:15:42Z,79,"EN,NL","EN:73,NL:1",EN,YES,0,15,,1229
25307217,Roermond - Arcen 49 km ENG 2026,2026-06-08T09:37:47Z,99,"EN,NL","EN:97,NL:2",EN,YES,0,8,,1052
26525090,Rüdesheim - Mainz (via river) 32 km ENG 2026,2025-12-18T08:48:52Z,68,"DE,EN","DE:32,EN:22",DE,YES,1,27,,639
26528912,Haarlem Haarlem (Spaarndamseweg) - North Sea (loop) 41 km / 25 mi ENG 2026,2026-01-24T09:14:00Z,88,EN,EN:84,EN,,2,27,,1279
26537161,Zaandam - Zaanse Schans - Alkmaar (via Heiloo) 39 km ENG 2026,2025-12-22T15:41:12Z,98,"EN,NL","EN:77,NL:8",EN,YES,0,30,,1071
26544361,Breukelen - Utrecht (centrum) 36km / 22mi ENG 2026,2026-06-13T11:56:29Z,49,EN,EN:48,EN,,1,11,,935
26545114,Rotterdam - Delft (loop) 49 km / 31 mi ENG 2026,2026-01-11T09:43:34Z,143,"DE,EN","EN:128,DE:8",EN,YES,0,36,,1408
26560329,Denain - Tournai (via Marchiennes) 52 km ENG 2026,2025-12-17T13:09:11Z,82,"EN,NL","EN:78,NL:2",EN,YES,0,19,,2059
26571090,Bernkastel-Kues - Schweich 54 km ENG 2026,2025-12-08T09:53:58Z,74,"EN,NL","EN:72,NL:1",EN,YES,0,15,,1224
26575876,Compiègne - Pont-Sainte-Maxence 54 km ENG 2026,2026-06-03T08:32:37Z,60,EN,EN:59,EN,,2,9,,980
26581606,Trier (centre)  - Saarburg 29 km ENG 2026,2025-11-25T08:57:41Z,50,"EN,NL","EN:48,NL:1",EN,YES,0,20,,1201
26606503,Saarburg - Remich (via Mannebach) 44 km ENG 2026,2025-12-18T09:14:35Z,67,EN,EN:67,EN,,1,17,,1068
