guessed_language,route_id,name,lang_breakdown,n_cues,action,status
NL,26632317,Hassfurt - Bamberg 39 km ENG 2026,"NL:104,EN:67",184,"Set account -> NL, run Trace",TODO
NL,32079591,Gent (Merelbeke) - Stadtmitte - Oudenaarde 52 km DEU 2023,"NL:34,EN:13,DE:8",130,"Set account -> NL, run Trace",TODO
NL,34433224,Lochem - Holterberg - Deventer 65 km NLD 2026,"NL:34,EN:12",126,"Set account -> NL, run Trace",TODO
NL,34434118,Deventer - Olst - Veluwe - Zwolle 56 km NLD 2026,"NL:71,EN:1",148,"Set account -> NL, run Trace",TODO
NL,34434694,Zwolle - Zwartsluis - Kampen 54 km NLD 2026,"NL:85,EN:4",138,"Set account -> NL, run Trace",TODO
NL,34467534,Tiel - Geldermalsen - Leerdam - Gorinchem 59 km NLD 2026,"NL:59,EN:21",93,"Set account -> NL, run Trace",TODO
NL,34467647,Tiel - langs de Waal - Gorinchem 52km NLD 2026,"NL:50,EN:3",71,"Set account -> NL, run Trace",TODO
NL,34467841,Werkendam - Biesbosch - Heusden 60 km NLD 2026,"NL:44,EN:43",93,"Set account -> NL, run Trace",TODO
NL,34468017,Werkendam - Biesbosch - Heusden kort 53 km NLD 2026,"NL:45,EN:32",100,"Set account -> NL, run Trace",TODO
NL,34552387,Gent (Evergem) - Oudenaarde 51 km DEU 2023,"NL:25,DE:19,EN:10",134,"Set account -> NL, run Trace",TODO
NL,35486927,Zwolle - Genemuiden - Kampen 36 km NLD 2026,"NL:55,EN:2",84,"Set account -> NL, run Trace",TODO
NL,38871267,Stavoren - Makkum 30 km NLD 2026,"NL:7,EN:4",34,"Set account -> NL, run Trace",TODO
NL,38871271,Stavoren - Makkum 49 km NLD 2026,"NL:17,EN:7",62,"Set account -> NL, run Trace",TODO
NL,38871289,Grou - Sneek 53 km NLD 2026,"NL:29,DE:2",78,"Set account -> NL, run Trace",TODO
NL,38871293,Grou - Sneek 46 km NLD 2026,"NL:28,EN:1",67,"Set account -> NL, run Trace",TODO
NL,41450692,Oudenaarde - Astene - Ghent (City) 49 km DEU 2023,"NL:78,EN:39",124,"Set account -> NL, run Trace",TODO
NL,42967645,Zaandam - Hoorn 50 km NLD 2023,"NL:9,EN:6",67,"Set account -> NL, run Trace",TODO
NL,43906255,Stavoren - Lemmer 43 km NLD 2023,"NL:10,EN:1",55,"Set account -> NL, run Trace",TODO
NL,44110014,Born - Zutendaal - Maastricht 60km NLD 2026,"NL:118,EN:5",129,"Set account -> NL, run Trace",TODO
NL,44277919,Thorn-Venlo  (via Roermond) 54 km NLD  2026,"NL:117,EN:2",129,"Set account -> NL, run Trace",TODO
NL,44666741,Born - Eisden - Maastricht 45 km NLD 2026,"NL:83,EN:6",96,"Set account -> NL, run Trace",TODO
NL,44992477,Arcen - Cuijk 55 km ENG 2026,"NL:58,EN:53",115,"Set account -> NL, run Trace",TODO
NL,45028378,Maastricht - Bilzen(België) - Maastricht 54 km NLD 2026,"NL:115,EN:31",154,"Set account -> NL, run Trace",TODO
NL,45028842,Maastricht-Margraten/Valkenburg-Maastricht  46 km NLD 2026,"NL:81,EN:27",118,"Set account -> NL, run Trace",TODO
NL,45918496,Paris (Bougival) - Paris (Arsenal) (via Versailles) 43 KM 2026,"NL:137,EN:11",162,"Set account -> NL, run Trace",TODO
NL,46008749,Kampen - Zwolle - Hattem - Kampen 51 km NLD 2026,"NL:119,DE:4",145,"Set account -> NL, run Trace",TODO
NL,48847519,Wageningen - Tiel 45 km NLD 2026,"NL:59,EN:3",75,"Set account -> NL, run Trace",TODO
NL,48989878,Doesburg - Doetinchem - Doesburg 44 km NLD 2026,"NL:76,EN:15",96,"Set account -> NL, run Trace",TODO
NL,48989960,Doesburg - Gaanderen - Doesburg 54 km NLD 2026,"NL:92,EN:28",126,"Set account -> NL, run Trace",TODO
NL,49159685,Rüdesheim - Mainz 40 km NLD 2026,"NL:93,EN:5",115,"Set account -> NL, run Trace",TODO
NL,49226615,Cuijk - Venlo 66 km NLD 2026,"NL:110,EN:7",129,"Set account -> NL, run Trace",TODO
NL,49236778,Thorn - Venlo 55 km NLD 2026,"NL:104,EN:10",121,"Set account -> NL, run Trace",TODO
NL,49291974,Cuijk - Kleve - Cuijk  55 km NLD 2026,"NL:71,EN:1",76,"Set account -> NL, run Trace",TODO
NL,49295951,Samara - Long 39 km ENG 2026,"NL:43,EN:20",64,"Set account -> NL, run Trace",TODO
NL,49296004,Long - Abbeville 48 km ENG 2026,"NL:35,EN:33",68,"Set account -> NL, run Trace",TODO
NL,49296331,Mook - Grave - Mook 44 km NLD 2026,"NL:93,EN:4",102,"Set account -> NL, run Trace",TODO
NL,49523012,Breukelen - Utrecht (Neude) 17 km NLD 2026,"NL:29,EN:8",39,"Set account -> NL, run Trace",TODO
NL,49523229,Breukelen - Utrecht (Neude) 36 km NLD 2026,"NL:43,EN:5",55,"Set account -> NL, run Trace",TODO
NL,49523348,Rotterdam - Delft - Rotterdam 49 km NLD 2026,"NL:133,EN:4",142,"Set account -> NL, run Trace",TODO
NL,49523350,Alblasserdam - Kinderdijk - Gouda - Schoonhoven 45 km NLD 2025,"NL:89,EN:7",99,"Set account -> NL, run Trace",TODO
NL,49523364,Gouda - Utrecht 39 km NLD 2026,"NL:72,DE:2",77,"Set account -> NL, run Trace",TODO
NL,49812023,Hoorn - Enkhuizen (via Midwoud) 44 km NLD 2026,"NL:73,EN:1",79,"Set account -> NL, run Trace",TODO
NL,49812033,Volendam - Zaanse Schans 48 km NLD 2026,"NL:84,EN:2",89,"Set account -> NL, run Trace",TODO
NL,49812072,Haarlem (Spaarndamseweg) - Amsterdam 33 km NLD 2026,"NL:70,EN:10",86,"Set account -> NL, run Trace",TODO
NL,49812074,Haarlem (Spaarndamseweg) - Amsterdam 39 km NLD 2026,"NL:83,EN:11",100,"Set account -> NL, run Trace",TODO
NL,49967945,Bikefittingride Aschaffenburg 11km/6 miles,"NL:25,EN:5",31,"Set account -> NL, run Trace",TODO
NL,49977604,Long - Abbeville 57 km ENG 2026,"NL:31,EN:22",55,"Set account -> NL, run Trace",TODO
NL,50376014,Mook - Kranenburg (D) - Nijmegen vlak 51 km NLD 2026,"NL:41,EN:1",66,"Set account -> NL, run Trace",TODO
NL,51001926,Nijmegen - Tolkamer - Arnhem 55 km NL 2026,"NL:63,EN:5",98,"Set account -> NL, run Trace",TODO
NL,51719996,Kampen - Hattem (loop) 54 km ENG 2026,"NL:59,EN:51",117,"Set account -> NL, run Trace",TODO
NL,52088191,Paris (Bougival) - Versailles (loop) 35 km ENG 2026,"NL:84,EN:40",130,"Set account -> NL, run Trace",TODO
NL,53899248,Samara - Long 39 km ENG 2026,"NL:43,EN:20",64,"Set account -> NL, run Trace",TODO
NL,53899249,Long - Abbeville 48 km ENG 2026,"NL:35,EN:33",68,"Set account -> NL, run Trace",TODO
NL,53899250,Long - Abbeville 57 km ENG 2026,"NL:31,EN:22",55,"Set account -> NL, run Trace",TODO
NL,54165356,Paris (Pont-de-Sevres) - Paris (Bougival) 28 KM ENG 2026 Q-ENG,"NL:84,EN:22",114,"Set account -> NL, run Trace",TODO
NL,54221011,Huizen - Zaandam 48 km NLD 2026,"NL:74,EN:1",86,"Set account -> NL, run Trace",TODO
NL,54221015,Huizen - Amsterdam (Minerva & Buiksloterweg) 38 km NLD 2026,"NL:58,EN:2",66,"Set account -> NL, run Trace",TODO
NL,54221080,Texel (rondrit Oudeschild) 42 km NLD 2026 omgekeerd,"NL:63,EN:2",70,"Set account -> NL, run Trace",TODO
NL,54221082,Texel (rondrit Oudeschild) 42 km NLD 2026,"NL:76,EN:1",80,"Set account -> NL, run Trace",TODO
NL,54221084,Volendam - Amsterdam (Minerva) (via Marken) 51 km NLD 2026,"NL:108,EN:7",119,"Set account -> NL, run Trace",TODO
NL,54221090,Medemblik - Enkhuizen (via Hoorn ) 52 km NLD 2026,"NL:75,EN:2",81,"Set account -> NL, run Trace",TODO
NL,54221095,Medemblik - Enkhuizen (via Twisk) 39 km NLD 2026,"NL:65,EN:1",72,"Set account -> NL, run Trace",TODO
NL,54221110,Texel (rondrit veerboot) 51 km NLD 2026,"NL:90,EN:1",93,"Set account -> NL, run Trace",TODO
NL,54221118,Texel (rondrit veerboot) 49 km NLD 2026,"NL:87,EN:2",93,"Set account -> NL, run Trace",TODO
NL,54221121,Texel (rondrit veerboot) 43 km NLD 2026,"NL:79,EN:1",85,"Set account -> NL, run Trace",TODO
NL,54221123,Den Helder: Veerboot - Ship 2 km NLD 2026,"NL:7,EN:1",8,"Set account -> NL, run Trace",TODO
NL,54221125,"Den Helder: Ship - veerboot 2,1 km NLD 2026","NL:5,EN:1",6,"Set account -> NL, run Trace",TODO
NL,54343721,Bamberg - Hassfurt - Schweinfurt 59 km ENG 2026,"NL:60,EN:26",95,"Set account -> NL, run Trace",TODO
NL,54374287,Enkhuizen - Medemblik (via kust) 24 km NLD 2026,"NL:38,EN:1",45,"Set account -> NL, run Trace",TODO
NL,54374291,Medemblik (rondrit) 28 km NLD 2026,"NL:54,EN:1",56,"Set account -> NL, run Trace",TODO
NL,54374295,Terschelling (rondrit) 42 km NLD 2026,"NL:58,EN:1",66,"Set account -> NL, run Trace",TODO
NL,54374297,Harlingen - Franeker - Makkum (via kust) 40 km NLD 2026,"NL:57,EN:5",64,"Set account -> NL, run Trace",TODO
NL,54374300,Harlingen - Franeker - Makkum (via Bolsward) 45 km NLD 2026,"NL:67,EN:5",73,"Set account -> NL, run Trace",TODO
NL,54374301,Harlingen - Franeker - Makkum (via Pingjum) 45 km NLD 2026,"NL:68,EN:6",75,"Set account -> NL, run Trace",TODO
NL,54374303,Makkum - Stavoren 30 km NLD 2026,"NL:32,EN:9",46,"Set account -> NL, run Trace",TODO
NL,54374304,Makkum - Stavoren 49 km NLD 2026,"NL:46,EN:4",58,"Set account -> NL, run Trace",TODO
NL,54374309,Lemmer - Stavoren 43 km NLD 2026,"NL:56,EN:1",63,"Set account -> NL, run Trace",TODO
NL,54413819,Nijmegen - Tolkamer - Arnhem 55 km NL 2026 (copy),"NL:63,EN:5",98,"Set account -> NL, run Trace",TODO
NL,54520915,Enkhuizen - Hoorn 22 km NLD 2026,"NL:32,EN:2",36,"Set account -> NL, run Trace",TODO
NL,54646664,Rotterdam - Kinderdijk - Nieuwpoort 42 km NLD 2025,"NL:66,EN:1",71,"Set account -> NL, run Trace",TODO
NL,54750247,Nieuwpoort - Gouda - Utrecht 46 km NLD 2026,"NL:86,EN:4",96,"Set account -> NL, run Trace",TODO
