route_name,stem,manual,tour_guess,snippet
Aalterbrug - Brugge 40km ENG 2026,aalterbrug - brugge,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\old\Draaiboek Parijs-Brugge 2024.docx,Draaiboek Parijs-Brugge 2024,…! ligplaats gent evergem dag 13 donderdag gent - aalterbrug aalterbrug - brugge 34 / 44 km (21 / 27 mile) while enjoying breakfast you will…
Alphen a/d Rijn - Gouda 40 km ENG 2026,alphen a/d rijn - gouda,Information about a tour 2026\Premium_ 8-day Tulip Tour\Old\Draaiboek Tulp 8 Magnifique 2025.docx,Draaiboek Tulp 8 Magnifique 2025,"…loten, di-do v.a. 16.00 uur. vr-zo vanaf 11.30 uur. day 3 : alphen a/d rijn - gouda (36 km/22 mi. or 46 km/28 mi.) after breakfast you will cyc…"
Alphen a/d Rijn - Gouda 48 km ENG 2026,alphen a/d rijn - gouda,Information about a tour 2026\Premium_ 8-day Tulip Tour\Old\Draaiboek Tulp 8 Magnifique 2025.docx,Draaiboek Tulp 8 Magnifique 2025,"…loten, di-do v.a. 16.00 uur. vr-zo vanaf 11.30 uur. day 3 : alphen a/d rijn - gouda (36 km/22 mi. or 46 km/28 mi.) after breakfast you will cyc…"
Alphen a/d Rijn - Oude Wetering 26 km ENG 2026,alphen a/d rijn - oude wetering,Information about a tour 2026\Premium_ 8-day Tulip Tour\Old\Draaiboek Tulp 8 Magnifique 2025.docx,Draaiboek Tulp 8 Magnifique 2025,…staurant het keldertje (woe-za v.a. 12:00). day 4 : gouda - alphen a/d rijn - oude wetering (20 km/12 mi. or 39 km/24 mi.) we stay in gouda this mornin…
Alphen a/d Rijn - Oude Wetering 36 km ENG 2026,alphen a/d rijn - oude wetering,Information about a tour 2026\Premium_ 8-day Tulip Tour\Old\Draaiboek Tulp 8 Magnifique 2025.docx,Draaiboek Tulp 8 Magnifique 2025,…staurant het keldertje (woe-za v.a. 12:00). day 4 : gouda - alphen a/d rijn - oude wetering (20 km/12 mi. or 39 km/24 mi.) we stay in gouda this mornin…
Antwerpen - St. Amands 39km ENG 2026,antwerpen - st. amands,Information about a tour 2026\Premium_ Netherlands & Belgium_ Amsterdam – Bruges vv\old\Draaiboek Adam - Brugge Premium 2025 boutique .docx,Draaiboek Adam - Brugge Premium 2025 boutique ,…kdok antwerpen (west) schedule ship schedule cyclists day 5 antwerpen - st. amands 30 (+8) km/19 (+5) mi or 41 km/24 mi 8.00 breakfast 8.00 br…
Antwerpen - St. Amands 39km ENG 2026,antwerpen - st. amands,Information about a tour 2026\Premium_ Netherlands & Belgium_ Amsterdam – Bruges vv\old\Draaiboek Adam - Brugge Premium 2025 new MAGs.docx,Draaiboek Adam - Brugge Premium 2025 new MAGs,…kdok antwerpen (west) schedule ship schedule cyclists day 5 antwerpen - st. amands 30 (+8) km/19 (+5) mi or 41 km/24 mi 8.00 breakfast 8.00 br…
Antwerpen - Tholen 53km ENG 2026,antwerpen - tholen,Information about a tour 2026\Semi-Guided_ Holland & België\old\Draaiboek Brugge - Adam Semi-Guided 2025.docx,Draaiboek Brugge - Adam Semi-Guided 2025,…rpen kattendijkdok schedule ship schedule cyclists thursday antwerpen - tholen - dordrecht 36 km/23 mi or 20 km/13 mi 06.00 ship departs f…
Arcen - Roermond 49 km ENG 2026,arcen - roermond,Information about a tour 2026\Boutique_ Amsterdam - Maastricht vv\Amsterdam - Maastricht 2026 Draaiboek[35].docx,Amsterdam - Maastricht 2026 Draaiboek[35],"…i, 54 km/34 mi) day 5 : cuijk - arcen (53 km/32 mi) day 6 : arcen - roermond (50 km/31 mi) day 7 : roermond - maastricht (42 km/25 mi) d…"
Arcen - Roermond 49 km ENG 2026,arcen - roermond,Information about a tour 2026\Boutique_ Amsterdam - Maastricht vv\Old\Amsterdam - Maastricht 2026 Draaiboek.docx,Amsterdam - Maastricht 2026 Draaiboek,…20.00 tourbriefing schedule ship schedule cyclists thursday arcen - roermond 50 km/30 mi 8.00 breakfast 8.00 breakfast 9.30 ship departs…
