2025 RS TULIP DAY 7 - ALKMAAR - SEA - ALKMAAR    37.8 km    · signs & notes only ·

DIRECTIONS
    0.4 km   Turn right onto Geestersingel
    0.5 km   Turn right
    0.5 km   Keep right onto Noorderkade
    0.8 km   Turn left onto Zijperstraat
    0.9 km   Turn right (follow 1.2 km)
    2.1 km   Turn left
    2.2 km   Turn slight left (follow 2.5 km)
    4.6 km   Turn right onto Bergerweg
    4.7 km   Turn right
    4.7 km   Turn sharp right onto Bergerweg
    4.7 km   Turn left onto Oude Bergerweg
    4.9 km   Turn left onto Oude Bergerweg
    4.9 km   Turn right onto Achterweg
    5.1 km   Turn left onto Kogendijk
    5.1 km   Turn right onto Oosterweg
    5.3 km   Turn left onto Oosterweg
    5.5 km   Turn right onto Oude Bergerweg
    5.5 km   Turn left onto Dorpsstraat
    6.3 km   Turn right onto Ruïnelaan
  ★ 6.3 km  [note] Museum Kranenburgh — Museum for modern art - garden
  ★ 6.3 km  [note] Park Meerwijk — Villapark in stijl van Amsterdamse school
    6.3 km   Turn right onto Raadhuisstraat
  ★ 6.3 km  [note] Ruïnekerk
  ★ 6.3 km  [note] Centrum Bergen - café's
    6.4 km   Turn slight left onto Kerkstraat
    6.5 km   Turn left onto Breelaan (follow 1.1 km)
    7.6 km   Turn left onto Zwarteweg
  ★ 8.1 km  [note] Het klimduin
    8.3 km   Keep right onto Blijdensteinsweg (follow 1.6 km)
    9.9 km   Turn right onto Julianalaan (follow 1.8 km)
   11.7 km   Turn slight right onto Schoorlse Zeeweg
   11.8 km   Turn sharp right onto Schoorlse Zeeweg (follow 2.2 km)
   14.0 km   Turn left onto Dr. van Steijnweg (follow 2.3 km)
   16.3 km   Turn sharp right onto Blijdensteinsweg (follow 3.4 km)
  ★ 19.2 km  [note] Strandpaviljoen Noord
  ★ 19.5 km  [note] Bergen aan Zee - café's en restaurants
   19.7 km   Turn right onto Van der Wijckplein
   19.8 km   Enter roundabout
  ★ 19.8 km  [note] Zee-aquarium Bergen aan Zee
   19.8 km   At roundabout, take exit 1 onto Van der Wijckplein
   19.9 km   Turn slight left onto C.F. Zeiler Boulevard (follow 1.1 km)
   21.0 km   Turn right onto Van der Wijckplein
   21.1 km   At roundabout, take exit 2 onto Van der Wijckplein
   21.5 km   Turn right onto Woudweg (follow 3.8 km)
   25.3 km   Turn right (follow 2.0 km)
   27.3 km   Turn left onto Nachtegalenpad
   27.8 km   Turn sharp left onto Slotweg
  ★ 28.0 km  [note] Ruïnekasteel Egmond
   28.3 km   Turn right onto Kalkovensweg
   28.5 km   Turn left onto Kalkovensweg
   29.0 km   Turn right onto Brededijk
   29.0 km   Turn left onto Zomerdijkje (follow 2.7 km)
   31.7 km   Turn left onto Belieslaan
   32.2 km   Turn left onto Belieslaan
   32.6 km   Turn right onto Kerkelaan
   33.0 km   Turn right onto Willibrordusweg
   33.0 km   Turn sharp left onto Willibrordusweg
   33.0 km   Turn left onto Kerkelaan
   33.0 km   Turn right (follow 2.4 km)
   35.4 km   Turn left onto Prins Bernhardlaan
   35.5 km   Turn right onto Wilhelminalaan
   35.6 km   Turn sharp left onto Prinses Julianalaan
   36.0 km   Keep right onto Metiusgracht
   36.1 km   Turn left onto Kennemerstraatweg
   36.8 km   Keep right onto Geestersingel
   36.9 km   At roundabout, take exit 1 onto Geestersingel
   37.8 km   Make a U-turn onto Kanaalkade
