AALTERBRUG - BRUGGE    40.0 km    · signs & notes only ·

DIRECTIONS
    3.5 km   Turn right onto Moerstraat
    4.0 km   Turn left
    4.4 km   Turn sharp left onto Bellemdorpweg
    5.3 km   Turn left onto Lotenhullestraat
    5.5 km   Turn right
    5.5 km   Turn right
    5.5 km   Turn left onto Bellemstation
    5.7 km   Turn slight left onto Lotenhullestraat (follow 1.2 km)
    6.9 km   Turn right onto Kraenepoelpad
    7.1 km   Turn left onto Kraenepoelpad
    7.2 km   Turn right onto Kraenepoelpad
    7.7 km   Turn left onto Kestelstraat
    8.0 km   Turn left onto Oude Gentweg
    8.2 km   Turn left onto Langendamdreef
    8.3 km   Turn right onto Lovelddreef
    9.0 km   Turn right onto Loveldlaan (follow 1.2 km)
   10.2 km   Turn left onto Bellemstraat
  ★ 10.2 km  [restroom] Openbaar toilet in het station
   10.4 km   Turn right onto Markt
   10.4 km   Turn slight left onto Brouwerijstraat
  ★ 10.7 km  [restroom] Restroom in the Support VAN and snacks
   10.7 km   At roundabout, take exit 2 onto Brouwerijstraat
   10.9 km   Turn left onto Lindestraat
   11.8 km   Turn right onto Bollebekstraat (follow 1.0 km)
   12.8 km   Turn sharp right onto Wageweg
   13.2 km   Turn left onto Stratem (follow 3.8 km)
   17.0 km   Continue onto Schuurlo (follow 1.8 km)
   18.8 km   Continue onto Bakensgoed (follow 1.2 km)
   20.0 km   Turn slight right onto Beelkens / Kliplo (follow 1.2 km)
   21.2 km   Turn right
   22.2 km   Turn right onto Scheiddreef
   22.3 km   Turn left
   22.8 km   Turn left onto Scheiddreef
   23.0 km   Turn sharp right
  ★ 23.1 km  [rest_stop] Support van with coffee and cake
  ★ 23.1 km  [restroom] Openbaar Toilet
   23.2 km   Turn right
   23.3 km   Turn slight right onto Scheiddreef
   24.1 km   Turn right
   24.7 km   Turn left
   25.0 km   Turn right
   25.6 km   Turn right
  ★ 25.6 km  [restroom] Toilet achter kasteel
   25.8 km   Keep left onto Heirweg
   26.3 km   Turn left onto Heirweg (follow 1.1 km)
   27.4 km   Keep right onto Drie Koningen (follow 1.2 km)
   28.6 km   Keep right onto Stuivenbergstraat
   28.9 km   Turn right onto Bornebeekstraat (follow 1.0 km)
  ★ 29.9 km  [shopping] Fruit drink vendingmachine
   30.0 km   Keep left onto Halvemaanstraat
   30.3 km   Turn left onto Gevaerts-Zuid (follow 3.0 km)
  ★ 31.4 km  [note] WO II bunker
   33.3 km   Turn slight right
   33.4 km   Turn right onto Moerbrugsestraat
   33.4 km   Turn left onto Westdijk (follow 5.2 km)
  ★ 33.5 km  [food] Lunch on board
   38.6 km   Turn left
   39.4 km   Turn right
   39.4 km   Turn slight right onto Boeveriestraat
   39.8 km   Turn right onto Vrijdagmarkt
   39.8 km   Turn left onto Vrijdagmarkt
   40.0 km   Turn right
   40.0 km   Turn left
  ★ 40.0 km  [parking] Bike parking 't Zand
