ABBEVILLE - LONG    56.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Abbeville
    0.1 km   Turn right onto Rue Jean Jaurès
    0.1 km   Turn left
    0.7 km   Turn left onto Rue de Neufchâtel
    0.9 km   Turn left onto Route de Rouen (follow 2.0 km)
    2.9 km   Turn left onto Rue Jacques Moignet (follow 1.5 km)
    4.4 km   Turn right onto Rue de Villers (follow 2.8 km)
    7.3 km   Turn slight left onto Rue d'Abbeville
    8.3 km   Keep left onto Rue de Béhen (follow 1.6 km)
    9.9 km   Turn sharp right onto D 173
   10.1 km   Turn sharp left onto D 173E
   10.7 km   Turn right onto Rue du Château
   11.1 km   Turn left onto Rue d'Ercourt (follow 2.6 km)
   13.7 km   Turn slight right onto Rue de la Cavée
   13.8 km   Turn left onto Rue du Calvaire
   14.1 km   Turn left onto Rue de la Croix
   14.3 km   Turn right onto Rue de la Croix (follow 2.1 km)
   16.4 km   Turn left onto Rue de l'Église
   16.7 km   Turn left onto D 13
   17.5 km   Turn right onto Rue Principale
   18.5 km   Turn left onto Rue d'Huppy
   18.9 km   Turn left onto Rue du Général de Gaulle
   19.2 km   Turn right onto Place de l'Église
   19.3 km   Turn slight left onto Place de l'Église
   19.4 km   Turn slight right onto Rue de la Mairie
   19.6 km   Turn right onto Rue de Rambures (follow 4.5 km)
   24.1 km   Turn left
   24.1 km   Turn right onto Rue du Four
   24.2 km   Turn left onto Rue d'Oisemont (follow 2.5 km)
   26.7 km   Turn left onto Rue du Château (follow 4.4 km)
  ★ 26.9 km  [monument] Chateau fort de Rambures — A 15th century militairy castle. You will walk through the corridors and will discover the 18th century interior. There are also an parc and rosegarden. Toilets are available.
  ★ 26.9 km  [restroom] Restrooms
   31.1 km   Turn left onto Rue Jean Catelas
   31.2 km   Turn right onto Rue du Général de Gaulle
   31.4 km   Turn left onto Place du Maréchal Leclerc
   31.6 km   Turn left onto Rue Jules Ferry
  ★ 31.7 km  [shopping] Supermarket Oisemont
  ★ 31.8 km  [coffee] Coffee & Restrooms Oisemont
   32.0 km   Turn right onto Rue François Mitterrand
   32.5 km   Turn left
   32.5 km   Turn right (follow 7.5 km)
   40.0 km   Turn right (follow 4.7 km)
   44.7 km   Turn right onto Avenue du Capitaine N'Tchoréré
   44.7 km   Turn left onto Rue Carnot
   44.8 km   Turn right (follow 6.2 km)
   51.1 km   Turn left onto D 70
   51.6 km   Turn right onto Rue de la Division Leclerc
   52.0 km   Continue onto Rue de l'Ancienne Gare
   52.1 km   Turn sharp left
   52.9 km   Turn right
   53.4 km   Turn right
   54.0 km   Turn left
   54.5 km   Turn left onto Chemin de Halage
  ★ 55.8 km  [note] Centrale Hydroélectrique
  ★ 56.3 km  [monument] Chateau Long
  ★ 56.5 km  [dock/stay] Mooring Long
