ALKMAAR - AMSTERDAM (OOSTERDOK) (VIA SCHERMER) (BEFORE 15 APRIL)    52.1 km    · signs & notes only ·

Knooppunten: 15 · 60 · 61 · 5

DIRECTIONS
    0.2 km   Turn right onto Limmerhoek
    0.5 km   Turn slight right onto Wageweg
    0.7 km   Turn right
    0.7 km   Turn right (follow 1.4 km)
    2.1 km   Turn left
    2.2 km   Turn slight right
    2.6 km   Turn right onto Schermerdijk
    3.2 km   Turn right onto Noordervaart
    3.2 km   Turn right onto Noordervaart
    3.3 km   Turn left onto Noordervaart (follow 1.1 km)
    4.4 km   Turn right onto Noordervaart
    4.5 km   Turn left onto Noordervaart (follow 5.6 km)
   10.1 km   Turn right onto Molendijk (follow 2.4 km)
   12.5 km   Turn left onto Noordeinde
   12.5 km   Turn right onto Noordeinde
   13.2 km   Turn right onto Kopdammerdijk
   13.4 km   Turn slight left onto Meerdijk (follow 1.6 km)
   15.0 km   Turn slight left onto Noordeinde (follow 1.4 km)
  ★ 15.1 km  [note] Church - now 2nd hand books — Church always open, just push the door. 2nd hand books, nice garden, Restroom in the back 
You can take a cup of coffee and pay in the box
  ★ 16.2 km  [convenience_store] smallest candystore of the Netherlands
   16.4 km   Turn right onto Groeneweg
   17.2 km   Turn left onto Rechtestraat (follow 1.1 km)
  ★ 17.6 km  [coffee] De Walvis
  ★ 17.7 km  [note] village De Rijp — restaurants, beautiful 17th century houses
  ★ 17.7 km  [coffee] Restaurant Oudejans
  ★ 17.7 km  [restroom] Restroom inside tourist information — Please leave voluntary donation for restroom use

Nice video inside Tourist information
  ★ 18.0 km  [coffee] De oude herbergh
   18.3 km   Continue onto Westdijk
   18.4 km   Turn slight right onto Rijperweg (follow 3.6 km)
   22.0 km   Turn right onto Rijperweg
  ★ 22.2 km  [food] Ice cream & Coffee — Open from 12.00 am - 8.00 pm
   22.3 km   Turn right onto Middenweg
   22.6 km   Turn right onto Morgenweg
   23.4 km   Turn left
   23.4 km   Turn right onto Middenweg (follow 1.8 km)
  ★ 23.6 km  [convenience_store] Cheese Farm & cheese vending machine
   25.2 km   Turn sharp right
   25.2 km   Turn left
   25.3 km   Turn left
   25.3 km   Turn right onto Middenweg
   26.0 km   Turn left onto Zuiddijk (follow 3.8 km)
   29.8 km   Keep left onto Gedempte Where
   30.1 km   Turn right onto Kolkstraat
   30.2 km   Turn sharp left onto Breedstraat
   30.3 km   Turn right onto Koemarkt
   30.3 km   Continue onto Koestraat
   30.6 km   Turn right onto Herengracht
   30.8 km   Turn right onto Jaagweg
   30.8 km   Turn left
   31.0 km   Keep right onto Melkweg
   31.5 km   Turn slight right onto Melkweg (follow 1.3 km)
   32.8 km   Turn right
   32.9 km   Turn slight right onto Purmerland
   33.2 km   Turn right (follow 1.6 km)
   34.8 km   Turn right onto Wormerpad
   35.0 km   Turn left (follow 1.5 km)
   36.6 km   Follow signs to junction 15 via Den Ilp, Doctor Martin Luther Kingstraat, Giessenburg (exit right, heading SW) toward junction 60
  ★ 38.3 km  [rest_stop] Picknickbenches
  ★ 38.3 km  [restroom] restroom
  ★ 39.0 km  [restroom] restroom
  ★ 40.0 km  [bar] Twiske harbour
  ★ 40.9 km  [bar] De 3 zwanen — Eating own lunch possible when ordering a drink
  ★ 43.0 km  [bar] De driesprong — Eating own lunch possible when ordering a drink
  ★ 43.4 km  [bar] De Zuyd -  bar
   46.7 km   Follow signs to junction 60 (exit right, heading NW) toward junction 61
   48.2 km   Follow signs to junction 61 (exit straight, heading SW) toward junction 5
   49.5 km   Follow signs to junction 5 via Centraal Station, De Ruijterkade, Oostertoegang, Oosterdokskade (exit right)
  ★ 50.6 km  [ferry] Ferry - public transport - free
  ★ 52.1 km  [dock/stay] Mooring Amsterdam Oosterdok
