ALKMAAR - HAARLEM (CITY)    53.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Alkmaar (Kanaalkade)
    0.2 km   Leicht rechts abbiegen auf Geestersingel
    0.2 km   Links abbiegen auf Geestersingel
    0.6 km   Rechts halten
    0.6 km   Leicht rechts abbiegen auf Geesterweg
    0.7 km   Im Kreisverkehr Ausfahrt 2 auf Westerweg nehmen
    1.4 km   Rechts abbiegen
    1.4 km   Dem Straßenverlauf von Fritz Conijnlaan folgen
    1.5 km   Links abbiegen auf Fritz Conijnlaan
    1.5 km   Rechts abbiegen
    1.7 km   Links abbiegen auf Jan de Heemstraat
    1.8 km   Rechts abbiegen auf Bloemaertlaan
    2.2 km   Links abbiegen auf Van de Veldelaan
    2.5 km   Rechts abbiegen auf Terborchlaan
    2.6 km   Links halten auf Terborchlaan
    2.7 km   Leicht links abbiegen
    3.0 km   Links abbiegen auf Terborchlaan
    3.1 km   Rechts abbiegen
    3.3 km   Rechts abbiegen auf Egmondermeer (follow 2.7 km)
    5.9 km   Leicht links abbiegen auf Hoeverweg
    6.3 km   Links abbiegen
    6.4 km   Rechts abbiegen
    6.4 km   Rechts abbiegen auf Krommedijk (follow 1.3 km)
    7.7 km   Links abbiegen auf Banweg
  ★ 7.9 km  [see] flower fields
    8.4 km   Links abbiegen (follow 1.7 km)
   10.1 km   Rechts abbiegen auf Herenweg
   10.8 km   Rechts abbiegen
   10.9 km   Leicht rechts abbiegen auf Egmonderstraatweg
   11.2 km   Rechts abbiegen auf Egmonderstraatweg
   11.7 km   Links abbiegen auf Voorstraat (follow 1.1 km)
   12.7 km   Rechts abbiegen auf Smidstraat
   12.8 km   Links abbiegen
  ★ 12.8 km  [see] Egmond: coffee, bar, shops
   12.9 km   Dem Straßenverlauf von Parallelweg folgen
  ★ 12.9 km  [bike_parking] Bike Parking Egmond
  ★ 13.0 km  [coffee] Beach pavilions
   13.5 km   Rechts abbiegen auf Zeeweg
   13.8 km   Links halten auf Bloedweg
   14.4 km   Rechts abbiegen auf van Oldenborghweg
   14.8 km   Dem Straßenverlauf von van Oldenborghweg folgen
   15.0 km   Rechts abbiegen auf van Oldenborghweg (follow 1.9 km)
   16.8 km   Dem Straßenverlauf von Van Oldenborghweg folgen
   17.5 km   Scharf rechts abbiegen auf Van Oldenborghweg (follow 2.3 km)
  ★ 18.9 km  [coffee] Zilverzand
   19.8 km   Links halten auf Van Oldenborghweg
   20.3 km   Rechts halten auf Van Oldenborghweg
   21.1 km   Rechts halten auf Van Oldenborghweg
   21.9 km   Rechts halten auf Geversweg
   22.0 km   Dem Straßenverlauf von Van Oldenborghweg folgen
   22.6 km   Rechts halten auf Van Oldenborghweg
   22.6 km   Leicht rechts abbiegen auf Van Oldenborghweg (follow 2.7 km)
   25.3 km   Dem Straßenverlauf von Van Oldenborghweg folgen (follow 1.1 km)
   26.4 km   Links abbiegen auf Zwarteweg (follow 2.2 km)
  ★ 26.4 km  [coffee] Beach Pavilion De Vrijheit
  ★ 28.2 km  [coffee] Gasterij Kruisberg — closed Mon/Tue
no creditcard 
Park bikes outside terrain on grass pls.
   28.6 km   Rechts abbiegen auf Kruisberg
   29.5 km   Dem Straßenverlauf von Kruisberg folgen
   29.8 km   Scharf rechts abbiegen auf Duinweg
   30.8 km   Links abbiegen auf Cieweg (follow 1.2 km)
   32.0 km   Links abbiegen auf Voorweg
   32.8 km   Scharf rechts abbiegen auf Weduwe van Lidtpad
   33.6 km   Scharf links abbiegen auf Pieter Steltpad
   33.9 km   Rechts abbiegen auf Kaagweg
   34.4 km   Rechts abbiegen auf Bankenlaan
   34.7 km   Leicht links abbiegen auf 't Zandgat
   35.1 km   Leicht links abbiegen auf Zeestraat
   35.1 km   Rechts halten auf Zeestraat
