ALKMAAR - SINT MAARTENSVLOTBRUG    29.2 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Linksaf (follow 1.5 km)
    1.7 km   Linksaf
    1.8 km   Houd links aan (follow 2.5 km)
    4.2 km   Rechtsaf naar Bergerweg
    4.3 km   Rechtsaf
    4.3 km   Houd links aan naar Bergerweg
    4.8 km   Linksaf naar Oosterweg
    5.0 km   Rechtsaf naar Oude Bergerweg
    5.1 km   Linksaf naar Dorpsstraat
    5.2 km   Blijf op Dorpsstraat
    5.8 km   Rechtsaf naar Ruïnelaan
    5.9 km   Rechtsaf naar Raadhuisstraat
  ★ 5.9 km  [see] Bergen — ruïnekerk, horeca
    5.9 km   Houd links aan naar Kerkstraat
    6.0 km   Linksaf naar Breelaan
    6.1 km   Houd rechts aan naar Breelaan (follow 1.0 km)
  ★ 7.1 km  [food] Duinvermaak
    7.1 km   Linksaf naar Zwarteweg
    7.9 km   Houd rechts aan naar Blijdensteinsweg (follow 1.6 km)
    9.5 km   Rechtsaf naar Julianalaan (follow 1.8 km)
   11.3 km   Ga linksaf naar Schoorlse Zeeweg (follow 4.6 km)
  ★ 14.0 km  [food] Strandpaviljoen Paal 29
   15.9 km   Houd rechts aan naar Hargerstrandweg (follow 1.1 km)
   17.0 km   Houd links aan
   17.5 km   Linksaf naar Hargerzeeweg
   17.5 km   Rechtsaf naar Jouke Minkemapad
   18.1 km   Rechtsaf naar Heereweg
   18.2 km   Houd links aan naar Heereweg
  ★ 18.2 km  [coffee] Strandpaviljoen Struin
   18.3 km   Linksaf naar Hondsbossche Duinpad (follow 4.8 km)
  ★ 18.4 km  [see] Hondsbossche Duinpad — kunstmatige duinen
   23.0 km   Rechtsaf naar Strandslag Nolmerban
   23.3 km   Linksaf naar Strandslag Petten West
   24.1 km   Blijf op Strandweg
   24.2 km   Houd links aan naar Pad van Bigot
   24.2 km   Linksaf
   24.7 km   Linksaf naar Korfwaterweg
   24.7 km   Rechtsaf
   24.8 km   Linksaf (follow 2.1 km)
  ★ 26.6 km  [food] Zuid
   26.9 km   Houd links aan
   26.9 km   Rechtsaf naar Strandslag Sint Maartenszee
   27.6 km   Linksaf
   27.6 km   Houd rechts aan naar Zeeweg
   27.9 km   Blijf op Zeeweg
   28.3 km   Rechtsaf
   28.6 km   Linksaf naar Zeeweg
   29.1 km   Linksaf
   29.2 km   Rechtsaf
   29.2 km   Linksaf
  ★ 29.2 km  [dock/stay] Ligplaats Sint Maartnesvlotbrug
