ALKMAAR - SINT MAARTENSVLOTBRUG PASEN    29.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ligplaats Kanaalkade Alkmaar
    0.3 km   Rechtsaf naar Geestersingel
    0.3 km   Linksaf (follow 1.5 km)
    1.8 km   Rechtsaf
    1.9 km   Linksaf naar Oude Kanaaldijk (follow 1.1 km)
    3.0 km   Linksaf naar Kanaaldijk (follow 2.3 km)
    5.2 km   Linksaf naar Rekervlotbrug
    6.0 km   Rechtsaf naar Oosterdijk (follow 1.8 km)
    7.8 km   Houd links aan naar Schapenlaan (follow 1.4 km)
    9.2 km   Ga rechtsaf naar Teugelaan
    9.3 km   Linksaf naar Oostgrasdijk
    9.5 km   Rechtsaf naar Teugelaan
   10.1 km   Rechtsaf naar Omloop
   10.3 km   Linksaf naar Omloop
   10.8 km   Houd rechts aan naar Omloop
   11.2 km   Linksaf naar Burgemeester Peecklaan
   11.4 km   Rechtsaf naar Burgemeester Peecklaan
   11.5 km   Rechtsaf naar Duinweg
   11.5 km   Houd links aan naar Heereweg
  ★ 11.5 km  [coffee] Schoorl -klimduin
   11.8 km   Linksaf naar Heereweg
   12.0 km   Linksaf naar Oorsprongweg
   12.1 km   Blijf op Schoorlse Zeeweg (follow 1.6 km)
  ★ 12.2 km  [note] Buitencentrum Schoorlse Duinen — Staatsbosbeheer
   13.7 km   Rechtsaf naar Nieuwe Weg (follow 2.9 km)
  ★ 16.5 km  [see] Uitzichtpunt zandafgraving
   16.6 km   Linksaf naar Harger Zeeweg
   17.1 km   Rechtsaf
   17.6 km   Linksaf naar Hargerzeeweg
   17.7 km   Rechtsaf naar Jouke Minkemapad
   18.3 km   Rechtsaf naar Heereweg
   18.3 km   Rechtsaf
  ★ 18.4 km  [coffee] Strandpaviljoen
   18.4 km   Linksaf naar Hondsbossche Duinpad (follow 2.6 km)
  ★ 18.4 km  [note] Hondsbossche Zeewering
  ★ 18.6 km  [coffee] Paviljoen op het strand
   21.0 km   Rechtsaf
   21.2 km   Houd rechts aan
   21.3 km   Houd rechts aan (follow 1.4 km)
   22.7 km   Blijf op Zuiderhazedwarsdijk
   22.8 km   Rechtsaf naar Zuiderhazedwarsdijk
   23.3 km   Rechtsaf naar Zijperweg
  ★ 23.3 km  [note] Petten
   23.4 km   Linksaf (follow 1.1 km)
   24.5 km   Linksaf naar Belkmerweg (follow 4.0 km)
   28.6 km   Rechtsaf
   29.1 km   Linksaf naar Sint Maartensweg
   29.1 km   Linksaf naar Handelskade
  ★ 29.4 km  [dock/stay] Pick up Sint Maartensvlotbrug
  ★ 29.5 km  [dock/stay] Pick-up Den Helder
