ALKMAAR - ZAANDAM (VIA EGMOND BINNEN)    46.7 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Rechtsaf naar Kaarsemakersgracht
    0.4 km   Rechtsaf naar Schapenbrug
    0.4 km   Ga linksaf naar Waagplein
    0.5 km   Houd rechts aan naar Mient
  ★ 0.5 km  [see] De Waag
    0.6 km   Linksaf naar Verdronkenoord
    1.0 km   Rechtsaf naar Limmerhoek
    1.1 km   Blijf op Korte Vondelstraat
    1.2 km   Houd rechts aan naar Vondelstraat
    1.6 km   Linksaf naar Oosterhoutlaan
    1.8 km   Rechtsaf naar Cuwaertpad
    2.0 km   Blijf op Camphuysenkade
    2.3 km   Linksaf naar Koelmalaan
    2.6 km   Rechtsaf naar Hadewijchstraat
    2.8 km   Houd links aan naar Lorreinenlaan
    2.8 km   Houd links aan
    3.1 km   Rechtsaf
    3.1 km   Rechtsaf naar Loodpolderweg (follow 2.8 km)
    5.9 km   Rechtsaf naar De Droogmakerij
    6.1 km   Linksaf naar De Middenweg
    6.1 km   Houd rechts aan naar De Middenweg (follow 1.5 km)
    7.6 km   Blijf op Kanaalweg
    8.5 km   Linksaf
    8.6 km   Houd rechts aan naar Stationsweg
    8.9 km   Neem afslag 4 naar Heerenweg
    9.7 km   Linksaf naar Zevenhuizerlaan
    9.7 km   Rechtsaf naar Hoogeweg
   10.0 km   Rechtsaf naar Groeneweg
   10.5 km   Rechtsaf naar Hoogeweg
   10.6 km   Ga rechtsaf naar Vennewatersweg (follow 1.2 km)
   11.8 km   Linksaf (follow 1.5 km)
  ★ 13.3 km  [see] Egmond Klooster
   13.4 km   Rechtsaf naar Vennewatersweg
   13.5 km   Rechtsaf naar Herenweg
   13.8 km   Linksaf naar Sint Adelbertusweg
   14.1 km   Houd rechts aan
   14.1 km   Houd links aan
   14.1 km   Linksaf naar Parallelweg
   14.2 km   Rechtsaf naar Sint Adelbertusweg
   14.7 km   Linksaf naar Oude Schulpweg
   15.2 km   Linksaf naar Van Oldenborghweg
   15.9 km   Houd links aan naar Staringweg (follow 2.8 km)
   18.7 km   Rechtsaf naar Van Speijklaan
   19.6 km   Linksaf naar Zeeweg
   20.5 km   Houd rechts aan
   20.6 km   Rechtsaf
   20.6 km   Linksaf (follow 1.8 km)
   22.4 km   Linksaf naar Zeeweg
   22.4 km   Linksaf naar Zeeweg
   23.0 km   Linksaf
   23.2 km   Houd rechts aan naar Rijksweg
   23.3 km   Blijf op Rijksweg
   23.4 km   Rechtsaf
  ★ 23.6 km  [see] Hortus Bulborum Limmen — Bollentuin met historische bollen

Eigen lunch toegestaan mts er wat gebruikt wordt
   23.6 km   Keer om naar Zuidkerkenlaan
   23.8 km   Linksaf naar Rijksweg
   24.7 km   Rechtsaf naar Gerbrandsven
   25.3 km   Neem afslag 2 naar De Bloemen
   25.4 km   Linksaf naar De Bloemen
   26.0 km   Houd links aan
   26.5 km   Rechtsaf naar Nesdijk
   27.2 km   Rechtsaf naar Uitgeesterweg
   27.3 km   Rechtsaf naar Uitgeesterweg (follow 1.6 km)
   28.9 km   Houd rechts aan
   28.9 km   Rechtsaf naar Geesterweg
   29.2 km   Linksaf naar Molenwerf
   29.5 km   Linksaf naar Molenweg
   29.7 km   Houd rechts aan naar Bonkenburg
   29.9 km   Linksaf naar Meldijk
  ★ 29.9 km  [coffee] Bakkerij Putter & koffie
   30.3 km   Blijf op Sluisbuurt (follow 2.8 km)
  ★ 31.1 km  [food] Krelis — Vanaf 11:00
  ★ 31.1 km  [note] informatiepunt — in de houtschuur
  ★ 31.2 km  [restroom] openbaar toilet — vaak geen toiletpapier
  ★ 31.6 km  [food] Restaurant Havenrijk Uitgeest — Vanaf 12.00
  ★ 33.0 km  [see] Fort Kijk — Stelling van Amsterdam
Open: donderdag vanaf 11:00
   33.1 km   Linksaf naar Krommenieweg
   33.3 km   Linksaf naar Krommeniedijk (follow 1.6 km)
   34.9 km   Rechtsaf naar Uitweg
   35.6 km   Blijf op Vlusch
   35.6 km   Rechtsaf naar Waterjuffer
   35.8 km   Rechtsaf naar Waterjuffer
   35.9 km   Linksaf naar Serooskerkestraat
   36.5 km   Blijf op Weverstraat
   36.7 km   Linksaf naar Badhuislaan
   36.9 km   Blijf op Padlaan
  ★ 36.9 km  [food] Cafe's Restaurants Krommenie
   37.3 km   Houd rechts aan
   37.4 km   Rechtsaf
   37.6 km   Rechtsaf naar Kerkstraat
   37.6 km   Linksaf naar Krommenieërweg
  ★ 38.2 km  [note] Wormerveer
   38.3 km   Rechtsaf naar Krommenieërweg
   38.5 km   Houd links aan naar Marktstraat
   38.7 km   Rechtsaf naar Zaanweg
   39.4 km   Houd rechts aan
   39.4 km   Linksaf naar Zaanweg
   39.4 km   Rechtsaf
   39.5 km   Houd rechts aan naar Zaanweg (follow 1.0 km)
   40.5 km   Linksaf naar Hogeweg
   40.6 km   Rechtsaf naar Hogeweg
   40.6 km   Blijf op Oost-Indischekade
   40.7 km   Linksaf naar Soendastraat (follow 1.6 km)
   42.3 km   Houd rechts aan
   42.3 km   Houd rechts aan naar Guisweg
   42.3 km   Linksaf
   42.3 km   Houd rechts aan naar Lagedijk
   42.5 km   Houd links aan naar Hoogstraat (follow 1.4 km)
   44.0 km   Ga linksaf naar Leliestraat
   44.1 km   Rechtsaf naar Oostzijde
   45.0 km   Rechtsaf naar Oostzijde (follow 1.3 km)
   46.3 km   Rechtsaf naar Oostzijde
   46.3 km   Houd links aan
   46.5 km   Houd rechts aan naar A.F. de Savornin Lohmanstraat
   46.6 km   Linksaf naar Burcht
  ★ 46.7 km  [dock/stay] Ligplaats Zaandam
