ALKMAAR - ZAANDAM (VIA SCHERMER)    43.7 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Linksaf naar Kanaalkade
    0.5 km   Houd rechts aan
    0.6 km   Houd links aan
    1.4 km   Blijf op Frieseweg
    1.5 km   Rechtsaf naar Molenkade
    1.6 km   Blijf op Molenkade (follow 1.2 km)
    2.8 km   Rechtsaf naar Herenweg
    3.5 km   Houd links aan naar Herenweg
    3.6 km   Linksaf naar 't Wuiver
    4.0 km   Houd links aan
    4.0 km   Houd rechts aan
    4.1 km   Linksaf naar Kerkbrug
    4.1 km   Linksaf naar Schermerdijk
    5.0 km   Houd links aan naar Schermerdijk
    5.3 km   Linksaf naar Huygendijk
    5.7 km   Rechtsaf naar Huygendijk
    6.0 km   Rechtsaf naar Huygendijk (follow 2.3 km)
  ★ 6.1 km  [see] Poldermuseum
    8.3 km   Rechtsaf naar Dorpsstraat (follow 1.8 km)
   10.1 km   Rechtsaf
   10.1 km   Rechtsaf
   10.8 km   Blijf op Noordervaart
   10.8 km   Rechtsaf naar Noordervaart
   10.9 km   Linksaf naar Noordervaart (follow 4.0 km)
  ★ 14.8 km  [see] Schermerhorn molens — museum, toilet, café
   14.9 km   Blijf op Molendijk
   15.0 km   Rechtsaf naar Provincialeweg
   15.0 km   Linksaf naar Zwartedijk
   15.2 km   Rechtsaf naar Westeinde
   15.9 km   Houd rechts aan naar Oosteinde
   16.5 km   Rechtsaf naar Westdijk
   16.8 km   Houd rechts aan naar Westdijk
   16.8 km   Linksaf naar Westdijk
   16.9 km   Houd rechts aan naar Westdijk (follow 1.5 km)
   18.4 km   Blijf op Westdijk (follow 3.4 km)
   21.8 km   Houd links aan naar Westdijk
   21.9 km   Rechtsaf naar Westdijk
   22.0 km   Blijf op Oosteinde (follow 1.1 km)
  ★ 22.3 km  [coffee] De oude herbergh
  ★ 22.6 km  [note] De Rijp — Prachtige 17e eeuwse huizen
Horeca
  ★ 22.6 km  [coffee] Oudejans
  ★ 22.6 km  [restroom] toilet bij de VVV — Graag donatie achterlaten voor wc-gebruik
  ★ 22.6 km  [coffee] De Walvis
   23.0 km   Rechtsaf naar Westeinde
   23.5 km   Blijf op Dorpsstraat
   23.9 km   Linksaf naar Groeneweg
   24.0 km   Rechtsaf naar Groeneweg (follow 2.1 km)
   26.1 km   Houd rechts aan naar Zuiddijk (follow 1.1 km)
   27.3 km   Houd rechts aan naar Zuiddijk
   27.4 km   Blijf op Provincialeweg (follow 5.3 km)
   32.7 km   Houd links aan
   33.6 km   Rechtsaf
   33.6 km   Linksaf naar Industrieweg
   34.4 km   Linksaf
   34.6 km   Rechtsaf naar Kerkstraat
   34.6 km   Linksaf naar Krommenieërweg
   35.3 km   Rechtsaf naar Krommenieërweg
   35.4 km   Houd links aan naar Marktstraat
   35.7 km   Rechtsaf naar Zaanweg
   36.3 km   Houd rechts aan
   36.4 km   Linksaf naar Zaanweg
   36.4 km   Rechtsaf
   36.4 km   Houd rechts aan naar Zaanweg (follow 1.0 km)
   37.5 km   Linksaf naar Hogeweg
   37.6 km   Rechtsaf naar Hogeweg
   37.6 km   Blijf op Oost-Indischekade
   37.6 km   Linksaf naar Soendastraat (follow 1.6 km)
   39.3 km   Houd rechts aan
   39.3 km   Houd rechts aan naar Guisweg
   39.3 km   Linksaf
   39.3 km   Houd rechts aan naar Lagedijk
   39.5 km   Houd links aan naar Hoogstraat (follow 1.4 km)
   40.9 km   Ga linksaf naar Leliestraat
   41.1 km   Rechtsaf naar Oostzijde
   42.0 km   Rechtsaf naar Oostzijde (follow 1.3 km)
   43.3 km   Rechtsaf naar Oostzijde
   43.3 km   Houd links aan
   43.4 km   Houd rechts aan naar A.F. de Savornin Lohmanstraat
   43.6 km   Linksaf naar Burcht
  ★ 43.7 km  [dock/stay] Ligplaats Zaandam
   43.7 km   Linksaf naar Burcht
