ALKMAAR - ZAANSE SCHANS - AMSTERDAM (MINERVA)    45.8 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Rechts abbiegen auf Kaarsemakersgracht
    0.4 km   Rechts abbiegen auf Schapenbrug
    0.5 km   Scharf links abbiegen auf Waagplein
    0.5 km   Leicht rechts abbiegen auf Mient
    0.8 km   Rechts abbiegen auf Het Vijvertje
    0.8 km   Rechts abbiegen auf Oudegracht
    0.9 km   Links abbiegen auf Ridderstraatbrug
    1.0 km   Rechts abbiegen auf Oudegracht
    1.3 km   Rechts abbiegen auf Ritsevoort
    1.4 km   Rechts abbiegen auf Kennemerstraatweg
    1.5 km   Links abbiegen auf Kennemerstraatweg
    1.7 km   Rechts abbiegen auf Metiusgracht
    2.1 km   Scharf links abbiegen auf Prinses Julianalaan
    2.3 km   Links abbiegen auf Wilhelminalaan
    2.3 km   Links abbiegen auf Prins Bernhardlaan (follow 2.4 km)
    4.7 km   Rechts abbiegen auf Willibrordusweg
    4.8 km   Rechts abbiegen auf Holleweg
    4.8 km   Links abbiegen auf Holleweg
    5.8 km   Links abbiegen
    5.9 km   Im Kreisverkehr Ausfahrt 1 auf Heerenweg nehmen
    6.6 km   Links abbiegen auf Zevenhuizerlaan
    6.6 km   Rechts abbiegen auf Hoogeweg
    6.9 km   Rechts abbiegen auf Groeneweg
    7.2 km   Rechts abbiegen auf Groeneweg (follow 2.3 km)
    9.5 km   Links abbiegen auf Burgemeester Nieuwenhuijsenstraat
    9.9 km   Rechts halten auf Burgemeester Nieuwenhuijsenstraat
    9.9 km   Rechts abbiegen auf Rijksweg
   10.0 km   Rechts abbiegen auf Kerkweg
   10.4 km   Rechts abbiegen auf Dusseldorperweg
   10.9 km   Links abbiegen auf Dusseldorperweg
   11.2 km   Links abbiegen auf Schoolweg
   11.5 km   Rechts abbiegen auf Zuidkerkenlaan
   11.6 km   Rechts abbiegen
  ★ 11.6 km  [see] Hortus Bulborum — Flower garden with historical bulbs
   11.6 km   Links abbiegen auf Zuidkerkenlaan
   11.7 km   Rechts abbiegen auf Zuideinderweg
   12.0 km   Rechts abbiegen auf Hazelaantje
   12.3 km   Links abbiegen auf Provincialeweg
   12.8 km   Rechts abbiegen auf Gerbrandsven
   13.4 km   Im Kreisverkehr Ausfahrt 2 auf De Bloemen nehmen
   13.5 km   Links abbiegen auf De Bloemen
   14.1 km   Links halten
   14.5 km   Rechts abbiegen auf Nesdijk
   15.3 km   Dem Straßenverlauf von Uitgeesterweg folgen
   15.4 km   Rechts abbiegen
   15.4 km   Links abbiegen auf Uitgeesterweg
   15.4 km   Rechts abbiegen auf Uitgeesterweg (follow 1.6 km)
   17.0 km   Rechts halten
   17.0 km   Rechts abbiegen auf Geesterweg
   17.3 km   Links abbiegen auf Molenwerf
   17.6 km   Links abbiegen auf Molenweg
   17.8 km   Leicht rechts abbiegen auf Bonkenburg
   17.8 km   Links abbiegen auf Populierenlaan
   17.9 km   Rechts abbiegen auf Hoorne
   18.1 km   Links abbiegen auf Meldijk
  ★ 18.1 km  [coffee] Bakery Putter & coffee — Open from 07.00 (except Sundays)
   18.4 km   Dem Straßenverlauf von Sluisbuurt folgen (follow 2.8 km)
  ★ 19.2 km  [food] Restaurant 'Krelis' — open after 11 am
  ★ 19.2 km  [note] Shed for wood-drying — informationpoint
  ★ 19.3 km  [restroom] restroom (no paper/no wash-basin)
  ★ 19.6 km  [coffee] restaurant Havenrijk — open after 12 am
  ★ 21.1 km  [note] Fortress — Open after 11 am - thu-sun
(+ cafe)
   21.2 km   Links abbiegen auf Krommenieweg
   21.4 km   Links abbiegen auf Krommeniedijk (follow 1.6 km)
   23.0 km   Rechts abbiegen auf Uitweg
   23.7 km   Dem Straßenverlauf von Vlusch folgen
   23.7 km   Rechts abbiegen auf Waterjuffer
   23.9 km   Leicht rechts abbiegen auf Waterjuffer
   23.9 km   Links abbiegen auf Serooskerkestraat
   24.6 km   Dem Straßenverlauf von Weverstraat folgen
   24.7 km   Rechts abbiegen auf Badhuislaan
   25.0 km   Dem Straßenverlauf von Padlaan folgen
   25.4 km   Rechts halten
   25.5 km   Rechts abbiegen
   25.7 km   Rechts abbiegen auf Kerkstraat
   25.7 km   Links abbiegen auf Krommenieërweg
   26.4 km   Turn right onto Krommenieërweg
   26.5 km   Turn slight left onto Marktstraat
   26.8 km   Turn right onto Zaanweg
   27.5 km   Turn left
   27.5 km   Turn left
   27.9 km   At roundabout, take exit 1 onto Rigastraat
   28.0 km   Keep right onto Bordwalserstraat
   28.1 km   Turn slight left onto Rigastraat
   28.3 km   Turn slight left onto Koetserstraat
   28.5 km   Continue onto Papiermakerstraat
   28.7 km   Turn sharp right
   28.8 km   Turn right onto Zaandammerpad (follow 1.0 km)
   29.8 km   Turn right onto Kalverringdijk (follow 1.7 km)
  ★ 31.4 km  [bike_parking] Bike Parking
   31.5 km   Turn left onto Leeghwaterweg
   31.5 km   Turn right onto Diederik Sonoyweg
  ★ 32.0 km  [see] Zaanse Schans: open air museum
   32.4 km   Rechts abbiegen auf Haaldersbroek
   32.6 km   Rechts abbiegen auf Kalf
   33.0 km   Links halten auf Kalf
   33.5 km   Links abbiegen auf Doctor H.G. Scholtenstraat
   33.9 km   Rechts abbiegen auf Slachthuisstraat
   34.1 km   Leicht rechts abbiegen auf Boere Jonkerstraat
   34.2 km   Links abbiegen auf Oostzijde
   34.5 km   Rechts abbiegen auf Paltrokstraat
   35.4 km   Rechts abbiegen auf Oostzijde (follow 1.3 km)
   36.7 km   Rechts abbiegen auf Oostzijde
   36.8 km   Links halten
   37.0 km   Links abbiegen auf Burcht
  ★ 37.2 km  [dock/stay] Docking Zaandam
   37.3 km   Links abbiegen auf Wilhelminastraat
   37.5 km   Links abbiegen auf Hogendijk
   38.2 km   Rechts halten
   38.2 km   Links halten
   38.2 km   Links abbiegen
   38.2 km   Rechts abbiegen
   38.4 km   Links abbiegen
   38.4 km   Leicht links abbiegen auf Provincialeweg (follow 1.4 km)
   39.8 km   Rechts halten auf Provincialeweg
   40.1 km   Links abbiegen auf Hemkade
   40.1 km   Rechts abbiegen auf Provincialeweg, S152
   40.5 km   Rechts abbiegen auf Nieuwe Hemweg (follow 3.8 km)
   44.3 km   Links abbiegen
   44.3 km   Rechts abbiegen
   44.7 km   Links abbiegen auf Zonnehoekspad
   45.1 km   Links abbiegen auf Archangelkade
   45.3 km   Leicht rechts abbiegen auf Koivistokade
   45.6 km   Links abbiegen auf Minervahavenweg
