ALKMAAR - ZAANSE SCHANS - ZAANDAM (ÜBER SCHERMER)    45.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Wenden auf Kanaalkade
    0.5 km   Rechts halten
    0.6 km   Links halten
    1.4 km   Dem Straßenverlauf von Frieseweg folgen
    1.5 km   Rechts halten auf Molenkade
    1.6 km   Dem Straßenverlauf von Molenkade folgen (follow 1.2 km)
    2.8 km   Rechts abbiegen auf Herenweg
    3.5 km   Links halten auf Herenweg
    3.6 km   Links abbiegen auf 't Wuiver
    4.0 km   Links halten
    4.0 km   Rechts halten
    4.1 km   Links abbiegen auf Kerkbrug
    4.1 km   Links abbiegen auf Schermerdijk
    5.0 km   Links halten auf Schermerdijk
    5.3 km   Links abbiegen auf Huygendijk
    5.7 km   Rechts abbiegen auf Huygendijk
    6.0 km   Leicht rechts abbiegen auf Huygendijk (follow 2.3 km)
  ★ 6.1 km  [see] Poldermuseum
    8.3 km   Rechts abbiegen auf Dorpsstraat
    8.4 km   Links abbiegen auf Huygendijk, N508 (follow 3.0 km)
   11.4 km   Leicht rechts abbiegen auf Huigendijk, N508
   11.5 km   Links abbiegen auf Schermerdijk (follow 4.6 km)
   16.1 km   Rechts abbiegen auf Molendijk
   16.2 km   Links abbiegen auf Molendijk
   16.2 km   Links abbiegen auf Noordervaart
   16.2 km   Rechts abbiegen auf Molendijk
  ★ 16.4 km  [see] Schermerhorn Windmühle — Museum, Cafe
   16.8 km   Rechts halten auf Molendijk (follow 1.8 km)
   18.6 km   Scharf rechts abbiegen auf Molendijk
   18.9 km   Links abbiegen auf Noordeinde
   18.9 km   Rechts abbiegen auf Noordeinde
   19.6 km   Rechts abbiegen auf Kopdammerdijk
   19.8 km   Leicht links abbiegen auf Meerdijk (follow 1.6 km)
   21.3 km   Leicht links abbiegen auf Noordeinde (follow 1.9 km)
  ★ 22.6 km  [convenience_store] Bram en Aagje Sweetshop — kleinster Laden in Holland, sagen sie.
  ★ 22.6 km  [see] Graft, Rathaus
  ★ 23.0 km  [see] Galery Eilandspolder
   23.2 km   Dem Straßenverlauf von Grafterbaan folgen
   23.6 km   Links abbiegen auf Rechtestraat (follow 1.1 km)
  ★ 24.0 km  [coffee] De Walvis
  ★ 24.0 km  [note] De Rijp — Restaurants, wunderschöne Häuser aus dem 17. Jahrhundert
  ★ 24.0 km  [coffee] Oudejans
  ★ 24.0 km  [restroom] Toilette in der Touristeninformation — Bitte hinterlassen Sie eine freiwillige Spende für die Toilettenbenutzung.
  ★ 24.3 km  [coffee] De Oude Herbergh
   24.6 km   Scharf rechts abbiegen auf Westdijk (follow 2.7 km)
  ★ 27.0 km  [see] Festung Spijkerboor
  ★ 27.2 km  [coffee] Tea Garden De Koffiebuuf
   27.3 km   Rechts abbiegen auf Westdijk
   27.5 km   Scharf links abbiegen auf Zuiddijk
   27.7 km   Links abbiegen
  ★ 27.7 km  [ferry] Fähre Spijkerboor
   27.7 km   Links abbiegen auf Starnmeerdijk
   27.8 km   Links abbiegen auf Kanaaldijk
   27.8 km   Rechts abbiegen auf Oudelandsdijk (follow 4.6 km)
  ★ 29.2 km  [coffee] Limosahoeve — Bauernhof mit Selbstbedienungsladen für Kaffee, frische Milch, Gemüse und Obst
   32.4 km   Links abbiegen auf Wormerringdijk
   32.8 km   Links halten auf Wormerringdijk
   33.1 km   Links abbiegen auf Wormerringdijk
  ★ 33.6 km  [coffee] Visitor Centre Poelboerderij — Besucherzentrum mit Informationen zum Poldergebiet. Kaffee. WC. Freiwilligenarbeit.
   33.8 km   Dem Straßenverlauf von Veerdijk folgen (follow 1.6 km)
   35.4 km   Links abbiegen auf Nieuweweg
   35.6 km   Im Kreisverkehr Ausfahrt 2 auf Rigastraat nehmen
   35.7 km   Rechts halten auf Bordwalserstraat
   35.8 km   Leicht links abbiegen auf Bordwalserstraat
   35.9 km   Leicht links abbiegen auf Rigastraat
   35.9 km   Leicht rechts abbiegen auf Rigastraat
   36.0 km   Leicht links abbiegen auf Koetserstraat
   36.2 km   Dem Straßenverlauf von Papiermakerstraat folgen
   36.4 km   Links halten
   36.5 km   Links abbiegen auf Zaandammerpad
   36.8 km   Halten Sie sich links auf dem Zaandammerpad.
   37.5 km   Biegen Sie rechts in den Kalverringdijk ein (follow 1.7 km)
  ★ 38.1 km  [see] Windmühle Museum
  ★ 38.5 km  [see] Windmühle Jonge Schaap
  ★ 38.7 km  [see] Windmühle De Kat
   39.2 km   Biegen Sie links ab auf den Leeghwaterweg.
  ★ 39.5 km  [see] Zaanse Schans; Freilichtmuseum — Windmühlen, alte Holzhäuser und vieles mehr
  ★ 39.5 km  [coffee] Cafés, Restaurants — Pfannkuchen
   39.6 km   Halten Sie sich rechts auf dem Leeghwaterweg.
  ★ 39.6 km  [bike_parking] Zaanse Schans Fahrradparkplatz
   39.6 km   Biegen Sie rechts ab auf die Pinksterdrie.
  ★ 39.6 km  [see] Zaans Museum (Monet)
   39.7 km   Biegen Sie links ab auf die Pinksterdrie
   39.8 km   Biegen Sie links ab auf den Diederik Sonoyweg.
   40.1 km   Biegen Sie rechts ab auf die Haaldersbroek.
   40.3 km   Biegen Sie rechts ab auf die Kalf
   40.7 km   Halten Sie sich links und biegen Sie in die Kalf straße ein
   41.2 km   Links abbiegen auf Doctor H.G. Scholtenstraat
   41.6 km   Biegen Sie links in den Klaverweg ein.
   41.7 km   Biegen Sie scharf rechts in die Doctor H.G. Scholtenstraat ein.
   42.0 km   Rechts scharf abbiegen
   42.1 km   Rechts halten Paltrokstraat
   42.3 km   Links abbiegen auf Oostzijde
   43.2 km   Rechts abbiegen auf Oostzijde (follow 1.3 km)
   44.5 km   Rechts abbiegen auf Oostzijde
   44.5 km   Links halten
   44.8 km   Links abbiegen auf Burcht
  ★ 45.0 km  [dock/stay] Liegeplatz Zaandam
