ALKMAAR - ZAANSE SCHANS - ZAANDAM (ÜBER SCHERMER) (VOR DEM 15. APRIL)    47.7 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Wenden auf Kanaalkade
    0.5 km   Rechts halten
    0.6 km   Links halten
    1.4 km   Dem Straßenverlauf von Frieseweg folgen
    1.5 km   Rechts halten auf Molenkade
    1.6 km   Dem Straßenverlauf von Molenkade folgen (follow 1.2 km)
    2.8 km   Rechts abbiegen auf Herenweg
    3.5 km   Links halten auf Herenweg
    3.6 km   Links abbiegen auf 't Wuiver
    4.0 km   Links halten
    4.0 km   Rechts halten
    4.1 km   Links abbiegen auf Kerkbrug
    4.1 km   Links abbiegen auf Schermerdijk
    5.0 km   Links halten auf Schermerdijk
    5.3 km   Links abbiegen auf Huygendijk
    5.7 km   Rechts abbiegen auf Huygendijk
    6.0 km   Leicht rechts abbiegen auf Huygendijk (follow 2.3 km)
  ★ 6.1 km  [see] Poldermuseum
    8.3 km   Rechts abbiegen auf Dorpsstraat
    8.4 km   Links abbiegen auf Noordschermerdijk
    9.0 km   Dem Straßenverlauf von Noordschermerdijk folgen (follow 1.0 km)
   10.0 km   Links halten auf Noordschermerdijk
   10.3 km   Dem Straßenverlauf von Noordschermerdijk folgen
   10.5 km   Links halten auf Noordschermerdijk (follow 1.0 km)
   11.5 km   Dem Straßenverlauf von Schermerdijk folgen (follow 4.5 km)
   16.0 km   Rechts halten auf Molendijk
   16.1 km   Rechts abbiegen auf Molendijk
   16.2 km   Links abbiegen auf Molendijk
   16.2 km   Rechts abbiegen auf Noordervaart
   16.4 km   Wenden auf Noordervaart
  ★ 16.4 km  [see] Schermerhorn Windmühle — Museum, Café
   16.5 km   Leicht links abbiegen auf Molendijk
   16.6 km   Links abbiegen
   16.8 km   Rechts abbiegen auf Westeinde
   16.8 km   Links abbiegen auf Westeinde
   17.5 km   Leicht rechts abbiegen auf Oosteinde
   18.1 km   Rechts abbiegen auf Westdijk
   18.4 km   Rechts halten auf Westdijk
   18.4 km   Links abbiegen auf Westdijk
   18.5 km   Leicht rechts abbiegen auf Westdijk (follow 1.5 km)
   20.0 km   Dem Straßenverlauf von Westdijk folgen (follow 3.4 km)
   23.4 km   Links halten auf Westdijk
   23.5 km   Rechts abbiegen auf Westdijk
   23.6 km   Dem Straßenverlauf von Oosteinde folgen (follow 1.1 km)
  ★ 23.9 km  [coffee] De oude herbergh
  ★ 24.2 km  [restroom] Toilette in der Touristeninformation — Bitte hinterlassen Sie eine freiwillige Spende für die Toilettenbenutzung.
  ★ 24.2 km  [note] De Rijp — Restaurants, wunderschöne Häuser aus dem 17. Jahrhundert
  ★ 24.2 km  [coffee] Oudejans
  ★ 24.3 km  [coffee] De Walvis
   24.7 km   Rechts abbiegen auf Westeinde
   25.1 km   Dem Straßenverlauf von Dorpsstraat folgen
   25.5 km   Links abbiegen auf Groeneweg
   25.6 km   Rechts abbiegen auf Groeneweg (follow 2.1 km)
   27.7 km   Leicht rechts abbiegen auf Zuiddijk (follow 1.1 km)
   28.9 km   Rechts halten auf Zuiddijk
   29.0 km   Leicht links abbiegen auf Provincialeweg (follow 3.5 km)
   32.5 km   Rechts halten auf Provincialeweg (follow 1.8 km)
   34.3 km   Links halten
   35.2 km   Rechts abbiegen
   35.2 km   Links abbiegen auf Industrieweg
   36.0 km   Links abbiegen
   36.2 km   Rechts abbiegen auf Kerkstraat
   36.2 km   Links abbiegen auf Krommenieërweg
   36.9 km   Rechts abbiegen auf Krommenieërweg
   37.0 km   Leicht links abbiegen auf Marktstraat
   37.3 km   Rechts abbiegen auf Zaanweg
   37.9 km   Rechts halten
   38.0 km   Links abbiegen auf Zaanweg
   38.0 km   Links abbiegen
   38.0 km   Links abbiegen
   38.4 km   Im Kreisverkehr Ausfahrt 2 auf Rigastraat nehmen
   38.5 km   Rechts halten auf Bordwalserstraat
   38.5 km   Leicht links abbiegen auf Bordwalserstraat
   38.6 km   Leicht links abbiegen auf Rigastraat
   38.7 km   Leicht rechts abbiegen auf Rigastraat
   38.8 km   Leicht links abbiegen auf Koetserstraat
   39.0 km   Dem Straßenverlauf von Papiermakerstraat folgen
   39.1 km   Links halten
   39.3 km   Rechts abbiegen auf Zaandammerpad
   39.6 km   Links halten auf Zaandammerpad
   40.3 km   Rechts abbiegen auf Kalverringdijk (follow 1.7 km)
  ★ 40.8 km  [see] Mill Museum
  ★ 41.2 km  [see] Windmill Het Jonge Schaap
  ★ 41.4 km  [see] Windmühle de Kat
  ★ 41.6 km  [note] Zaanse Schans — Freilichtmuseum
  ★ 41.9 km  [bike_parking] Fahrradparkplatz
   41.9 km   Links abbiegen auf Leeghwaterweg
   42.0 km   Rechts abbiegen auf Diederik Sonoyweg
  ★ 42.5 km  [bike_parking] Fahrradparkplatz
   42.9 km   Rechts abbiegen auf Haaldersbroek
   43.1 km   Rechts abbiegen auf Kalf
   43.5 km   Links halten auf Kalf
   44.0 km   Links abbiegen auf Kalf
   44.0 km   Rechts abbiegen auf Doctor H.G. Scholtenstraat
   44.8 km   Scharf rechts abbiegen
   44.8 km   Rechts halten auf Paltrokstraat
   45.1 km   Links abbiegen auf Oostzijde
   45.9 km   Rechts abbiegen auf Oostzijde (follow 1.3 km)
   47.2 km   Rechts abbiegen auf Oostzijde
   47.3 km   Links halten
   47.6 km   Links abbiegen auf Burcht
  ★ 47.7 km  [dock/stay] Liegeplatz Zaandam
