AMIENS - CORBIE    28.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Barge Amiens
    0.0 km   Turn slight left
    0.1 km   Turn left onto Rue du Jardin des Plantes
    0.1 km   Turn sharp right onto Boulevard des Fusillés
    0.4 km   Turn right
    1.1 km   Keep right onto Chemin de Halage (follow 4.2 km)
    5.3 km   Turn sharp right onto Rue René Gambier
    6.0 km   Turn left onto Rue des Fontaines Bleues (follow 3.0 km)
    9.0 km   Turn slight right onto Chemin de Halage (follow 2.3 km)
   11.2 km   Turn right onto Rue du Marais
  ★ 11.3 km  [caution] Bumps!
   11.7 km   Turn left onto Rue Paul Baroux
   11.8 km   Turn right onto Rue Édouard Ruelle (follow 1.2 km)
   13.0 km   Keep right onto D 167
   13.1 km   Turn left onto D 1029
   13.1 km   Turn right (follow 3.2 km)
   16.3 km   Turn left onto Chemin de la Rue Neuve
   16.7 km   Turn left onto Rue Victor Hugo (follow 2.0 km)
   18.8 km   Turn slight left onto Rue du Capitaine Guynemer
   18.9 km   Turn left onto Rue du Capitaine Guynemer
   19.6 km   Turn right onto D 168
   19.7 km   Turn slight right onto D 168 (follow 2.6 km)
  ★ 22.2 km  [monument] Franco-Australian Museum
   22.3 km   Turn left onto Rue de Melbourne
   22.5 km   Turn left onto Rue du Général Leclerc
   22.8 km   Turn right onto Rue des Tavernes (follow 1.9 km)
   24.7 km   Turn sharp right onto D 23
   24.7 km   Turn left
   24.8 km   At roundabout, take exit 1
  ★ 24.8 km  [monument] Sir John Monash Centre
  ★ 24.8 km  [monument] Sir John Monash Centre
  ★ 24.8 km  [monument] Sir John Monash Centre
  ★ 24.9 km  [bike_parking] Bike Parking John Monash
   25.0 km   Turn right onto D 23 (follow 1.4 km)
   26.5 km   Turn sharp right onto Rue Paul Domisse
   26.5 km   Turn sharp left onto Rue Thiers
   27.1 km   Turn right onto Chemin de Halage
  ★ 28.0 km  [dock/stay] Mooring Corbie
  ★ 28.0 km  [note] Musée Amis du Vieux Corbie
