AMIENS - CORBIE (VIA MOREUIL)    52.1 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn slight left
  ★ 0.0 km  [dock/stay] Barge Amiens
    0.1 km   Turn left onto Rue du Jardin des Plantes
    0.1 km   Turn sharp right onto Boulevard des Fusillés
    0.3 km   Turn right
    1.1 km   Keep right onto Chemin de Halage (follow 4.2 km)
    5.3 km   Turn sharp right onto Rue René Gambier (follow 1.3 km)
    6.5 km   Turn sharp left
    6.5 km   Turn slight right
    6.5 km   Turn left
    6.7 km   Keep right onto Avenue Henri Barbusse
    6.8 km   Turn right onto Rue Pierre Semard
    7.7 km   At roundabout, take exit 1 onto Rue Pierre Sémard
    7.9 km   Continue onto Rue Valentin Hauy
    7.9 km   At roundabout, take exit 2 onto Rue Valentin Hauy
    8.1 km   Keep right onto Rue Latapie
    8.1 km   At roundabout, take exit 1 onto Rue Latapie
    8.5 km   Turn left onto Rue Henri Barbusse
  ★ 8.5 km  [coffee] Brasserie du Centre
  ★ 8.5 km  [coffee] Brasserie du Centre
    9.0 km   At roundabout, take exit 2 onto Rue Henri Barbusse
    9.6 km   Keep right onto Rue de Cagny
    9.7 km   At roundabout, take exit 2 onto Rue Henri Barbusse (follow 1.4 km)
   11.1 km   At roundabout, take exit 2 onto Rue Gaston Lecomte (follow 1.2 km)
   12.4 km   Turn right onto Rue Alphonse Tellier (follow 2.5 km)
  ★ 12.6 km  [coffee] Café de la Mairie
   14.8 km   Turn left
   14.9 km   Turn left (follow 1.1 km)
  ★ 14.9 km  [shopping] Le Magasin du Paraclet
  ★ 14.9 km  [shopping] Le Magasin du Paraclet
   16.0 km   Turn left onto D 90
   16.4 km   Turn sharp right (follow 3.1 km)
   19.6 km   Continue onto Rue du Marais
   19.9 km   Turn right onto Rue Haute (follow 2.2 km)
   22.1 km   Turn left onto D 134
   22.8 km   Turn right (follow 1.4 km)
   24.1 km   Keep left onto Chemin de la Vergne
   24.2 km   Continue onto Route de Thennes
   24.5 km   Turn right onto Rue Léon Blum (follow 1.3 km)
  ★ 25.1 km  [coffee] Café de la Gare
   25.8 km   Turn sharp left onto Rue Carnot
   26.0 km   Turn right onto Rue Veuve Thibeauville
  ★ 26.2 km  [note] Musée de la Bonneterie
   26.3 km   Turn left onto Rue du 8 Août 1918
   26.7 km   Turn right onto Chemin de Plessier (follow 2.6 km)
   29.3 km   Turn left (follow 3.3 km)
   32.6 km   Turn slight right onto Rue Joly (follow 1.6 km)
   34.3 km   Keep right onto D 28 (follow 1.1 km)
  ★ 35.3 km  [note] Distillerie d'Hautefeuille
   35.4 km   Turn left onto Grande Rue (follow 2.5 km)
   37.9 km   Continue onto D 137 (follow 2.6 km)
   40.5 km   Turn right onto Grande Rue
   41.2 km   Keep left onto D 23 (follow 3.7 km)
   44.9 km   At roundabout, take exit 4 onto D 23
   45.7 km   Keep left onto Rue de la Gare
   46.2 km   Turn left onto Rue Victoria
  ★ 46.2 km  [monument] Franco-Australian Museum
   46.5 km   Turn right onto Rue Faidherbe
   46.6 km   Turn slight right onto Rue des Déportés
   46.8 km   Turn right onto Rue d'Herville
   46.8 km   Turn left onto Rue des Tavernes (follow 2.1 km)
  ★ 48.8 km  [monument] Sir John Monash Centre
  ★ 48.8 km  [monument] Sir John Monash Centre
  ★ 48.8 km  [monument] Sir John Monash Centre
  ★ 48.9 km  [bike_parking] Bike Parking John Monash
   49.0 km   Make a U-turn (follow 1.6 km)
   50.5 km   Turn sharp right onto Rue Paul Domisse
   50.6 km   Turn sharp left onto Rue Thiers
   51.2 km   Turn right onto Chemin de Halage
  ★ 52.1 km  [dock/stay] Mooring Corbie
  ★ 52.1 km  [note] Musée Amis du Vieux Corbie
