AMS-ASCH 13 MAINZ - FRANKFURT    39.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Mainz
    0.0 km   Take bike path follow river on left hand
    0.5 km   Left on Am Winterhafen, cross bridge to island
    1.3 km   Left cross river (follow 1.1 km)
    2.5 km   Bear left on Auf der Mainspitze
    3.1 km   Left on Am Mainufer then right
    3.3 km   Straight ahead river on left hand (follow 5.4 km)
    8.7 km   Sharp left follow road to river (follow 2.1 km)
   10.8 km   Straight ahead (follow 9.5 km)
  ★ 13.6 km  [rest_stop] Picnic area Raunheim
   20.3 km   Left on bike path follow river (follow 2.7 km)
  ★ 22.7 km  [coffee] Café Kelsterbach
   23.0 km   Sharp right on Mainstrasse
   23.1 km   Left on Höllenstrasse
   23.8 km   Bear left on bike path
   24.2 km   Right then left cross B40
   24.3 km   Right then left on bike path Langschneise (follow 2.3 km)
   26.7 km   Left on Schwanheimer Bahnstrasse (follow 1.0 km)
   27.7 km   Straight ahead on Alt-Schwanheim
  ★ 27.9 km  [convenience_store] Bakery / Shops  Schwanheim
   28.2 km   Right then left
   28.4 km   Left, at waterfront right, river on left hand (follow 4.8 km)
   33.2 km   Left on Niederrader Üfer, river on left hand (follow 4.2 km)
   37.4 km   Sharp left to cross bridge
   37.5 km   Right and cross bridge
   37.8 km   Left on Sonnemannstrasse
   38.4 km   To center turn right, to barge go straight
  ★ 38.7 km  [note] Frankfurt am Main historical center
  ★ 38.7 km  [note] Frankfurt am Main shopping street
   38.8 km   Left to bike path next to river then right
  ★ 39.3 km  [see] Main tower Frankfurt-am-Main
   39.6 km   End of the ride
  ★ 39.7 km  [dock/stay] Mooring  Frankfurt am Main
