AMSTERDAM - ZAANDAM - ZAANSE SCHANS - AMSTERDAM    42.4 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Zum Fähre
    0.1 km   Rechts zum Fähre
  ★ 0.1 km  [finish] Ende von Ihren TulpenTour
    0.2 km   Zum Fähre F7 (follow 1.2 km)
  ★ 0.2 km  [ferry] Fähre F7 nach NDSM — Frei
    1.3 km   Kein Knotenpunkten
    1.4 km   Rechts
    1.8 km   Rechts
    1.9 km   Links (follow 1.3 km)
    3.3 km   Rechts Meteorensingel
    3.4 km   Rechts Aldebaranplein
    3.9 km   Rechts Kometensingel
    4.0 km   Links Appelweg
    4.0 km   Links Oostzanerdijk (follow 4.8 km)
    8.9 km   Links Noorder IJ- en Zeedijk
    9.7 km   Rechts Zuiddijk (follow 1.5 km)
   11.1 km   Links Wilhelminastraat
  ★ 11.3 km  [note] Theater Zaandam
   11.4 km   Links Hogendijk
  ★ 11.6 km  [see] Tsaar Peterhuisje
   11.9 km   Rechts Jasykoffstraat
   12.1 km   Links Rustenburg
  ★ 12.3 km  [see] Inntel Hotel
   12.3 km   Rechts Vinkenstraat
   12.7 km   Rechts Westzijde (follow 2.5 km)
  ★ 12.8 km  [coffee] Cafe's Zaandam
   15.2 km   Rechts Paltrokstraat (follow 2.0 km)
   17.3 km   Links
  ★ 17.4 km  [see] Alte Holzhäuser von diese Region
   17.8 km   Zum Zaanse Schans
   18.0 km   Rechts zum Zaanse Schans
  ★ 18.1 km  [note] Zaanse Schans — Eingang, freie Entritt
  ★ 18.1 km  [bike_parking] Fahrad Parking Zaanse Schans
  ★ 18.1 km  [see] Zaans Museum (Monet)
  ★ 18.1 km  [food] Kaffee, Pfannenkuchen, Poffertjes
  ★ 18.1 km  [restroom] WC
  ★ 18.1 km  [restroom] WC
  ★ 18.1 km  [see] Windmühlen De Kat
  ★ 18.1 km  [see] Windmühlen Jonge Schaap
  ★ 18.1 km  [note] Holzschumacher
   18.2 km   Turn left onto Leeghwaterweg (follow 1.4 km)
   19.6 km   Direkt (follow 2.9 km)
   22.5 km   Scharf nach Links (follow 2.2 km)
   24.8 km   Direkt (follow 5.0 km)
  ★ 26.6 km  [bar] Paviljoen Twiske — Restaurant WC
  ★ 26.9 km  [rest_stop] Picknick
   29.7 km   Links Het Luijendijkje (follow 1.4 km)
  ★ 29.7 km  [see] Twisker Molen
   31.2 km   Rechts Dorpsstraat
  ★ 31.2 km  [bar] Horeca De Driesprong
   31.4 km   Links Van Beekstraat (follow 1.7 km)
  ★ 31.4 km  [atm] ATM
  ★ 31.4 km  [food] By Bolke Restaurant
   33.1 km   Rechts Dorspad (follow 3.0 km)
  ★ 34.2 km  [see] Monument Crashed Bomber — Sept 29, 1941
Vickers Wellington RAF
   36.1 km   Rechts Kanaaldijk (follow 1.7 km)
  ★ 37.3 km  [see] d'Admiraal Alte Mühle 18 Jahrhundert
   37.8 km   Rechts Buiksloterdijk (follow 2.9 km)
  ★ 37.8 km  [see] Old Sea-dike up to 1932
  ★ 40.3 km  [bar] Cafés Restaurant
  ★ 40.3 km  [note] This is Holland Multimedia
  ★ 40.4 km  [ferry] Fähre F3 Central Bahnhof — Frei
  ★ 40.5 km  [see] Museum Eye
  ★ 40.7 km  [bike_parking] Fahrradgarage Frei — Underground
   40.7 km   Turn right onto De Ruijterkade
  ★ 40.7 km  [note] Knotenpunkt 05
  ★ 40.9 km  [note] Start Grachtenrundfahrt
   40.9 km   Keine Knotenpunkten (follow 1.5 km)
   42.4 km   Rechts zum Schiff
  ★ 42.4 km  [dock/stay] Anlegestelle Amsterdam Pontsteiger
