AMSTERDAM (MINERVA) - HAARLEM - ZAANDAM    52.0 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Rechts abbiegen auf Koivistokade
    0.6 km   Leicht links abbiegen auf Archangelkade
    0.8 km   Rechts abbiegen auf Zonnehoekspad
    1.1 km   Rechts abbiegen
    1.2 km   Links abbiegen
    1.5 km   Rechts abbiegen
    1.7 km   Links abbiegen auf Overbrakerpad
    2.3 km   Rechts abbiegen auf Brettenpad
    3.1 km   Links abbiegen
    3.2 km   Links halten
    3.2 km   Scharf rechts abbiegen auf Haarlemmerweg
    3.7 km   Rechts halten auf Haarlemmerweg
    3.8 km   Scharf rechts abbiegen auf Molenwerf
    3.9 km   Links halten
    3.9 km   Links abbiegen auf Brettenpad
    4.8 km   Links abbiegen
    5.0 km   Rechts abbiegen auf Spaarnwouderdijk
    5.3 km   Links halten auf Brettenpad (follow 1.3 km)
    6.6 km   Rechts halten auf Brettenpad
    6.9 km   Leicht links abbiegen auf Brettenpad
    7.6 km   Links abbiegen
    7.7 km   Links halten (follow 1.1 km)
    8.8 km   Links halten
    9.6 km   Biegen Sie links in die Daveren ein
   10.1 km   Biegen Sie links in die Dubbele Buurt ein
   11.1 km   Halten Sie sich rechts auf den Boezempad
   11.4 km   Biegen Sie rechts in den Boezempad ein
   12.3 km   Biegen Sie rechts in den Houtrakkerweg ein
   12.3 km   Biegen Sie links in den Houtrakkerweg ein
   12.3 km   Biegen Sie leicht links in den Spaarndammerweg ein
   12.5 km   Biegen Sie rechts in den Spaarndammerweg ein
   12.5 km   Machen Sie eine Kehrtwende auf den Spaarndammerweg
   12.5 km   Biegen Sie links auf die Spaarndammerweg ab.
   12.6 km   Turn left onto Houtrakkerweg
   13.1 km   Turn left onto Houtrijkpad (follow 1.3 km)
   14.4 km   Continue onto Machineweg
   14.5 km   Continue onto Houtrijkpad (follow 1.1 km)
   15.6 km   Links abbiegen auf Inlaagpolder
   15.9 km   Rechts halten auf Inlaagpolder
   15.9 km   Dem Straßenverlauf von Spaarndammerdijk folgen
   16.7 km   Links abbiegen auf Kerkweg, r104
   17.2 km   Rechts halten auf Kerkweg
   17.2 km   Scharf rechts abbiegen auf Kerkweg
   17.3 km   Rechts halten auf Kerkweg
   17.4 km   Links abbiegen auf Kerkpad
   18.3 km   Rechts abbiegen auf Kruitpad
   18.6 km   Links abbiegen auf Spaarndammerdijk
   18.9 km   Rechts abbiegen
   19.0 km   Links abbiegen
   19.0 km   Rechts abbiegen auf Spaarndammerdijk
   19.4 km   Rechts abbiegen auf Kerklaan
   19.6 km   Rechts halten auf Kerklaan
   19.6 km   Scharf rechts abbiegen auf Kerklaan
   19.8 km   Rechts abbiegen auf IJdijk
   20.2 km   Rechts abbiegen auf Spaarndammerdijk
   20.5 km   Rechts abbiegen auf Kruitpad
   20.9 km   Rechts abbiegen auf Kerkpad
   20.9 km   Links abbiegen (follow 1.1 km)
   22.0 km   Links abbiegen auf Zijlweteringpad
   22.2 km   Rechts abbiegen auf Mooie Nelpad (follow 1.1 km)
   23.3 km   Rechts abbiegen auf Lagedijk
   23.5 km   Rechts abbiegen auf Penningsveer, r106
   24.0 km   Rechts abbiegen auf Veerpolder (follow 1.2 km)
   25.2 km   Scharf links abbiegen auf Oude Notweg
   25.5 km   Dem Straßenverlauf von G200 folgen
   25.7 km   Rechts abbiegen auf Liedeweg
   25.8 km   Links abbiegen auf Haarlemmerstraatweg
   26.4 km   Links abbiegen auf Liewegje (follow 1.5 km)
   27.9 km   Scharf rechts abbiegen auf Nieuweweg (follow 1.0 km)
   28.9 km   Rechts abbiegen auf Prins Bernhardlaan
   28.9 km   Links abbiegen auf Zomervaart
   29.7 km   Rechts abbiegen auf Zomervaart
   30.0 km   Rechts abbiegen auf Schalkwijkerstraat
   30.6 km   Links abbiegen auf Spaarne
   30.7 km   Dem Straßenverlauf von Damstraat folgen
   30.9 km   Rechts abbiegen auf Klokhuisplein
   30.9 km   Links abbiegen auf Riviervismarkt
   31.2 km   Rechts halten auf Kruisstraat
   31.9 km   Rechts abbiegen
   32.1 km   Links halten
   32.6 km   Links abbiegen (follow 1.7 km)
   34.3 km   Links halten
   34.7 km   Links abbiegen
   35.0 km   Dem Straßenverlauf von Spaarndamseweg folgen (follow 2.0 km)
   37.0 km   Links abbiegen auf Slaperdijkweg
   37.0 km   Rechts abbiegen auf Redoute
   37.2 km   Rechts abbiegen auf Liniepad
   37.6 km   Rechts abbiegen
   37.7 km   Dem Straßenverlauf folgen
   37.7 km   Links abbiegen auf Stelling
   38.5 km   Rechts abbiegen auf Genieweg
   38.9 km   Rechts abbiegen
   39.0 km   Rechts abbiegen (follow 2.0 km)
   41.0 km   Rechts abbiegen
   41.5 km   Links abbiegen
   42.0 km   Links halten
   42.2 km   Links abbiegen auf Amsterdamseweg
   42.9 km   Links abbiegen
   42.9 km   Rechts abbiegen auf Pontplein
   43.3 km   Rechts abbiegen auf Pontplein
   43.3 km   Links abbiegen auf Pontplein
   43.5 km   Rechts halten auf Provincialeweg
   43.6 km   Leicht rechts abbiegen auf Nauerna
   43.8 km   Links halten auf Nauerna (follow 1.2 km)
   45.0 km   Links halten auf Nauerna
   45.0 km   Rechts abbiegen auf Zaandammerweg
   45.0 km   Dem Straßenverlauf von Nauerna folgen
   45.8 km   Rechts abbiegen auf Veldweg
   45.8 km   Links abbiegen auf Veldweg (follow 2.1 km)
   47.9 km   Links abbiegen
   47.9 km   Leicht rechts abbiegen auf Overtoom (follow 2.3 km)
   50.2 km   Rechts abbiegen auf Aris van Broekweg
   50.4 km   Rechts abbiegen auf Houtveldweg
