AMSTERDAM (OOSTERDOK) - ZAANSE SCHANS - HAARLEM    47.7 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn left onto Oosterdok
    0.3 km   Turn sharp right onto Oosterdokskade
    0.6 km   At roundabout, take exit 1 onto De Ruijterkade
    0.9 km   Turn right onto De Ruijterkade
    1.4 km   Turn right onto Pontplein
    1.5 km   Attention, take ferry (Buiksloterwegveer)
    1.8 km   Leave ferry and continue onto Buiksloterweg
    2.1 km   Turn right
    2.2 km   Turn slight right onto Buiksloterweg
    2.6 km   Turn right onto Buiksloterweg (follow 1.6 km)
    4.3 km   Turn right onto Buiksloterdijk
    4.4 km   Turn left onto Noordhollandschkanaaldijk (follow 1.7 km)
    6.0 km   Turn left onto Pieter Weerspad
    6.6 km   Turn right onto Pieter Weerspad
    7.1 km   Turn left onto Pieter Weerspad (follow 1.2 km)
    8.2 km   Turn left
    8.7 km   Turn left
    9.2 km   Turn right onto Het Luijendijkje (follow 1.0 km)
   10.2 km   Turn right onto Het Luijendijkje
   11.0 km   Turn left (follow 1.1 km)
   12.1 km   Turn left
   12.2 km   Turn right
   12.8 km   Turn right
   12.9 km   Turn left
   13.2 km   Turn left onto W T van Gelderweg
   13.4 km   Turn right (follow 1.0 km)
   14.4 km   Turn right
   14.7 km   Turn slight right onto Ringvaart
   14.9 km   Turn left
   15.4 km   Continue onto Stationsstraat
   15.6 km   Keep left onto Otterbospad (follow 1.8 km)
   17.4 km   Continue onto Wormerpad
   17.5 km   Turn sharp right onto Wormerpad
   18.3 km   Turn sharp right onto Kruidpad (follow 1.2 km)
   19.5 km   Turn right onto Spouwpad
   20.4 km   Turn left onto Kuikenpad
   20.5 km   Continue onto Kuilpad
   21.0 km   Turn right onto Kalf
   21.7 km   Turn left
   21.9 km   Turn left
   22.3 km   Turn right onto Pinksterdrie
   22.4 km   Turn right onto Pinksterdrie
   22.4 km   Turn left onto Leeghwaterweg
   22.5 km   Turn slight left onto Leeghwaterweg
   23.2 km   Continue onto Guisweg
   23.6 km   Turn left
   23.6 km   Turn left
   23.7 km   Turn right
   23.7 km   Continue onto Doctor Jan Mulderstraat
   23.8 km   Continue onto Oud Heinstraat
   23.8 km   Continue onto Doctor Jan Mulderstraat
   24.2 km   Turn slight left onto Fortuinweg
   24.3 km   Turn right onto Freek Engelpad (follow 1.3 km)
   25.5 km   Turn sharp left onto Middel
   26.4 km   Turn right onto Provincialeweg
   27.1 km   Turn left
   27.1 km   Turn slight right onto Kerkbuurt
   27.3 km   Turn slight left onto Kerkbuurt (follow 3.7 km)
   31.1 km   Turn left onto Overtoom
   31.2 km   Turn right onto Veldweg
   31.2 km   Turn right onto Veldweg (follow 2.4 km)
   33.6 km   Turn right onto Veldweg
   33.6 km   Turn left onto Overtoom
   34.3 km   Keep left onto Nauerna (follow 1.5 km)
   35.8 km   Turn slight left onto Provincialeweg
   35.9 km   Turn slight left onto Pontplein
   36.0 km   Turn right onto Pontplein
   36.0 km   Turn left onto Pontplein
   36.1 km   Attention, take ferry (F21)
   36.4 km   Leave ferry and turn right onto Pontplein
   36.4 km   Turn right onto Zijkanaal C
   36.6 km   Turn left
   36.7 km   Turn right onto Amsterdamseweg
   37.3 km   Turn right
   37.9 km   Turn right
   38.5 km   Turn left onto Buitenhuizerweg (follow 2.0 km)
   40.4 km   Turn left
   40.6 km   Turn left onto Genieweg
   40.9 km   Turn left onto Stelling
   41.7 km   Turn right
   41.9 km   Turn left onto Liniepad
   42.2 km   Turn left onto Redoute
   42.4 km   Turn left onto Slaperdijkweg
   42.4 km   Turn right onto Nieuwe Rijweg (follow 2.1 km)
   44.5 km   Turn left (follow 2.3 km)
   46.8 km   Turn slight left
   47.2 km   Turn right onto Koudenhorn
