ARCEN - CUIJK    52.4 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Links abbiegen auf Schans
    0.2 km   Dem Straßenverlauf von Raadhuisplein folgen (follow 1.4 km)
    1.6 km   Links abbiegen auf Kruisweg
  ★ 2.3 km  [ferry] Fähre Broekhuizen
    2.5 km   Rechts abbiegen auf Veerweg
    2.7 km   Rechts abbiegen auf Hoogstraat
    2.9 km   Rechts abbiegen
    3.3 km   Rechts halten
    3.7 km   Links halten
    4.4 km   Rechts halten
    5.0 km   Links abbiegen auf Blitterswijckseweg
    5.4 km   Links halten
    5.7 km   Links abbiegen auf Nachtegaalstraat
    5.9 km   Rechts abbiegen auf Brouwersveldweg
    6.3 km   Rechts abbiegen auf Molenweg
    6.9 km   Links abbiegen
    7.2 km   Links abbiegen
    7.7 km   Dem Straßenverlauf von Elsholterweg folgen
    8.6 km   Links abbiegen
    8.6 km   Rechts abbiegen auf Veerweg (follow 1.2 km)
    9.7 km   Rechts abbiegen auf Veerweg
  ★ 9.8 km  [coffee] Cafe Tante Jet
  ★ 10.0 km  [ferry] Fähre Blitterswijck
   10.4 km   Links abbiegen auf Geysselberg (follow 2.3 km)
   12.7 km   Leicht links abbiegen auf Weideweg
   13.1 km   Links abbiegen auf Grotestraat
   14.0 km   Rechts abbiegen auf Kasteellaan (follow 1.0 km)
   15.0 km   Links abbiegen auf Moleneind
   15.1 km   Rechts abbiegen
   15.1 km   Rechts abbiegen auf Wezerweg (follow 1.9 km)
   17.0 km   Links abbiegen
   17.3 km   Dem Straßenverlauf folgen
   17.5 km   Rechts halten
   17.8 km   Rechts abbiegen
   18.3 km   Scharf links abbiegen auf Wolfsven (follow 1.1 km)
   19.4 km   Scharf links abbiegen
  ★ 19.4 km  [note] Wilkommen in Deutschland!
   19.8 km   Links halten (follow 2.5 km)
  ★ 21.7 km  [coffee] Informationszentrum, Kaffee, Toiletten — Brasserie im Besucherzentrum
   22.4 km   Rechts abbiegen
   22.6 km   Rechts abbiegen
   23.4 km   Rechts abbiegen
   23.8 km   Rechts halten
   24.0 km   Links halten
   24.5 km   Links abbiegen auf Ontginningsweg (follow 1.1 km)
   25.6 km   Scharf rechts abbiegen auf Oude Baan (follow 2.6 km)
  ★ 27.3 km  [coffee] De Smal
   28.2 km   Links abbiegen auf Smal
   28.7 km   Links halten auf Berkenkamp (follow 2.5 km)
  ★ 30.7 km  [coffee] Café / Restaurant Rimpelt — Geöffnet ab 11:00 Uhr
   31.2 km   Links abbiegen auf Rimpelt
   31.3 km   Rechts abbiegen auf Langstraat
   31.9 km   Links abbiegen auf Kapelstraat
   32.0 km   Rechts abbiegen auf Dorpsstraat
   32.4 km   Links abbiegen auf Veerweg
   32.5 km   Links abbiegen auf Veerweg (follow 2.6 km)
  ★ 32.9 km  [ferry] Fähre Afferden
  ★ 34.6 km  [coffee] Café Sambeek — Dienstags geschlossen
  ★ 34.6 km  [rest_stop] Picknick an der Schleuse Sambeek
  ★ 35.0 km  [dock/stay] Pick up / Drop off Sambeek
   35.1 km   Scharf rechts abbiegen auf Vlackestraat (follow 1.1 km)
   36.2 km   Links abbiegen auf Loerangelsestraat
   36.6 km   Rechts abbiegen auf Loerangelsestraat
   36.7 km   Rechts abbiegen auf het Zand
   36.8 km   Links abbiegen auf Van Sasse van Ysseltstraat
   37.2 km   Rechts abbiegen auf Steenstraat
   37.4 km   Rechts abbiegen auf Veerstraat
  ★ 37.4 km  [coffee] Kaffee, Eiscreme
   37.5 km   Links abbiegen auf De Raetsingel
   37.9 km   Dem Straßenverlauf von De Raetsingel folgen
   38.4 km   Links abbiegen auf Hoogendijk
   38.7 km   Scharf rechts abbiegen auf Hoogendijk
   39.1 km   Links halten auf Veerstraat
   39.9 km   Links abbiegen
   40.6 km   Rechts halten (follow 1.0 km)
   41.6 km   Rechts abbiegen (follow 1.2 km)
   42.8 km   Rechts halten
   43.1 km   Scharf rechts abbiegen auf Slijkstraatje
   43.4 km   Links abbiegen
   44.1 km   Dem Straßenverlauf von Kruisstraat folgen
   44.3 km   Rechts abbiegen
   44.8 km   Links abbiegen
   45.3 km   Links abbiegen
   45.3 km   Rechts abbiegen auf Veerweg
   45.7 km   Links abbiegen auf Kleinestraat
   46.7 km   Rechts abbiegen auf Maasdijk
   47.1 km   Links abbiegen auf Rijtjes
   47.3 km   Rechts abbiegen auf Rijtjes
   48.2 km   Dem Straßenverlauf von Rijtjes folgen
   48.6 km   Leicht rechts abbiegen auf Van den Boschweg (follow 1.1 km)
   49.7 km   Rechts halten auf Odiliadijk
   49.9 km   Rechts halten
   50.1 km   Links halten
   50.5 km   Links halten
   51.0 km   Rechts halten
   51.4 km   Leicht rechts abbiegen
   51.4 km   Links halten
   52.3 km   Dem Straßenverlauf von Waaistraat folgen
   52.4 km   Links abbiegen
  ★ 52.4 km  [dock/stay] Liegeplatz Cuijk
