ARNHEM - MILLINGEN A.D. RIJN - NIJMEGEN - ARNHEM    58.4 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Continue onto Rijnkade
    0.6 km   Turn left onto Rijnkade
    1.1 km   Turn left
    1.1 km   Turn right onto Nijmeegseweg
    1.6 km   Turn right onto Malburgse Bandijk
    1.7 km   Turn sharp right onto Malburgse Bandijk (follow 4.6 km)
    6.3 km   Turn left onto Stadsdam (follow 1.7 km)
    8.0 km   Attention, take ferry (Looveer)
    8.2 km   Leave ferry and turn slight right onto Looveer
    8.7 km   Turn slight right onto Loodijk (follow 3.0 km)
   11.8 km   Turn right onto Loodijk (follow 3.2 km)
   14.9 km   Turn right onto Rijndijk (follow 2.1 km)
   17.1 km   Turn right onto Lobberdenseweg
   17.2 km   Turn right (follow 1.1 km)
   18.3 km   Turn right onto Lobberdenseweg
   18.5 km   Turn left onto Kijfwaard (follow 1.4 km)
   19.9 km   Turn right
   20.0 km   Attention, take ferry (Heen en Weer)
   20.5 km   Leave ferry and turn slight left onto Veerstoep
   20.6 km   Turn right onto Rijndijk (follow 1.7 km)
   22.4 km   Turn right onto C R Waiboerweg (follow 3.0 km)
   25.4 km   Continue onto Klaverland
   25.8 km   Turn sharp left
   26.4 km   Turn right
   26.8 km   Turn slight right
   27.2 km   Turn left
   27.6 km   Turn right onto Duffeltdijk
   27.7 km   Turn right onto Duffeltdijk (follow 2.2 km)
   29.9 km   Turn right onto Erlecomsedam (follow 5.6 km)
   35.4 km   Continue onto Ooijse Bandijk (follow 4.8 km)
   40.2 km   Turn right onto Ubbergseweg
   40.6 km   Turn left
   40.6 km   Turn right onto Sint Titussingel (follow 1.2 km)
   41.8 km   Turn right onto Bemmelsedijk (follow 1.0 km)
   42.9 km   Keep left onto Vossenpelssestraat
   43.1 km   Turn right onto Vossenpelssestraat (follow 1.3 km)
   44.4 km   Turn sharp left onto Van Doornikpad
   44.4 km   Turn right onto Woerdsestraat (follow 1.7 km)
   46.1 km   Turn right onto Ressensestraat
   46.3 km   Turn left onto Ressensestraat
   46.3 km   Turn right onto Ressensestraat
   46.3 km   Turn left onto RijnWaalpad (follow 6.0 km)
   52.3 km   Continue onto Kruisstraat
   52.8 km   At roundabout, take exit 2 onto Kruisstraat
   53.8 km   Turn slight left onto Huissensedijk
   54.5 km   Turn left onto Brinksestraat
   54.6 km   Turn right onto Huissensedijk
   55.1 km   Turn right
   55.4 km   Turn slight right onto Hoefijzerpad (follow 1.1 km)
   56.5 km   Continue onto Eldensedijk
   56.9 km   Continue onto Eldenseweg
   57.8 km   Turn right
   57.8 km   Turn right onto Nieuwe Plein
   57.9 km   Turn left onto Nieuwe Oeverstraat
   58.0 km   Turn right onto Roermondsplein
   58.1 km   Turn right
   58.3 km   Turn slight right onto Rijnkade
