ARNHEM - TOLKAMER - NIJMEGEN - ARNHEM    69.9 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Continue onto Rijnkade
    0.6 km   Turn left onto Rijnkade
    1.1 km   Turn left
    1.1 km   Turn right onto Nijmeegseweg
    1.6 km   Turn right onto Malburgse Bandijk
    1.7 km   Turn sharp right onto Malburgse Bandijk (follow 4.6 km)
    6.3 km   Turn left onto Stadsdam (follow 1.7 km)
    8.0 km   Attention, take ferry (Looveer)
    8.2 km   Leave ferry and turn slight right onto Looveer
    8.7 km   Turn slight right onto Loodijk (follow 3.0 km)
   11.8 km   Turn right onto Loodijk (follow 3.2 km)
  ★ 13.0 km  [see] Kasteel Doornenburg — A 14th-century castle. Open to the public with an audio tour. Famous for, among other things, the film *Floris* starring Rutger Hauer.
   14.9 km   Turn right onto Rijndijk (follow 5.3 km)
  ★ 15.0 km  [ferry] Veerpont Pannerden - Doornenburg
  ★ 15.2 km  [see] The source of the Linge, which flows through the Betuwe to Gorinchem
   20.2 km   Continue onto Pannerdensedijk (follow 1.5 km)
   21.8 km   Turn left onto Herwensedijk
   21.9 km   Turn right onto Herwensedijk (follow 1.1 km)
   23.0 km   Turn right onto Herwensedijk
   23.4 km   Turn left onto Herwensedijk
   23.8 km   Turn right onto Transeedijk
   24.0 km   Turn slight right onto Tuinstraat
   24.3 km   Keep left onto Walhof
   24.4 km   Continue onto Dorpsdijk
   24.5 km   Turn left onto Schipperspoort
   24.7 km   Make a U-turn onto Schipperspoort
   24.8 km   Turn right (follow 1.1 km)
   25.9 km   Turn left
   26.0 km   Turn right onto Batavenweg
   26.4 km   Turn right onto Europa-kade
   26.4 km   Turn right onto Overlaat
   26.6 km   Turn right
   27.0 km   Keep left onto Europa-kade
   27.0 km   Turn slight right onto Polweg
   27.6 km   Turn left onto Zwarteweg
   27.8 km   Turn left onto Bijlandseweg (follow 2.5 km)
   30.3 km   Turn left (follow 1.1 km)
   31.4 km   Turn left
   32.0 km   Leave ferry and turn slight left onto Veerstoep
   32.1 km   Turn right onto Rijndijk (follow 1.7 km)
   33.9 km   Turn right onto C R Waiboerweg (follow 3.0 km)
  ★ 34.8 km  [see] Fort Pannerden — horeca op binnen- en buitenterras. Fort is te bezichtigen.
  ★ 34.8 km  [coffee] Binnen en buitenterras
   36.8 km   Continue onto Klaverland
   37.3 km   Turn sharp left
   37.9 km   Turn right
   38.3 km   Turn slight right
   38.7 km   Turn left
   39.1 km   Turn right onto Duffeltdijk
   39.2 km   Turn right onto Duffeltdijk (follow 2.2 km)
   41.4 km   Turn right onto Erlecomsedam (follow 5.6 km)
   46.9 km   Continue onto Ooijse Bandijk (follow 4.8 km)
   51.7 km   Turn right onto Ubbergseweg
   52.1 km   Turn left
   52.1 km   Turn right onto Sint Titussingel (follow 1.2 km)
   53.3 km   Turn right onto Bemmelsedijk (follow 1.0 km)
   54.4 km   Keep left onto Vossenpelssestraat
   54.6 km   Turn right onto Vossenpelssestraat (follow 1.3 km)
   55.9 km   Turn sharp left onto Van Doornikpad
   55.9 km   Turn right onto Woerdsestraat (follow 1.7 km)
   57.6 km   Turn right onto Ressensestraat
   57.8 km   Turn left onto Ressensestraat
   57.8 km   Turn right onto Ressensestraat
   57.8 km   Turn left onto RijnWaalpad (follow 6.0 km)
   63.8 km   Continue onto Kruisstraat
   64.3 km   At roundabout, take exit 2 onto Kruisstraat
   65.3 km   Turn slight left onto Huissensedijk
   66.0 km   Turn left onto Brinksestraat
   66.1 km   Turn right onto Huissensedijk
   66.6 km   Turn right
   66.9 km   Turn slight right onto Hoefijzerpad (follow 1.1 km)
   68.0 km   Continue onto Eldensedijk
   68.4 km   Continue onto Eldenseweg
  ★ 68.9 km  [see] John Frostbrug
   69.3 km   Turn right
   69.3 km   Turn right onto Nieuwe Plein
   69.4 km   Turn left onto Nieuwe Oeverstraat
   69.5 km   Turn right onto Roermondsplein
   69.6 km   Turn right
   69.8 km   Turn slight right onto Rijnkade
