AUXERRE - JOIGNY    34.3 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Keep right
    0.5 km   Turn slight right onto Rue de la Maladière
    1.1 km   Turn right onto Chemin de Halage (follow 1.5 km)
    2.6 km   Turn right onto Rue de l'Écluse
    2.8 km   Turn left onto La Coulée Verte
    3.6 km   Turn left onto Rue des Caillottes
    3.8 km   Turn right
    4.1 km   Turn right onto Rue des Caillottes
    4.5 km   Turn left onto Rue des Isles
    4.6 km   Turn right onto Rue des Dumonts (follow 1.5 km)
    6.2 km   Turn slight left
    6.7 km   Turn slight right
    7.4 km   Turn slight left onto Rue de Gurgy
    7.8 km   Keep left onto Chemin de Halage
    8.6 km   Continue onto Quai du Gué de la Baume
    9.4 km   Keep left onto Quai des Fontaines (follow 8.5 km)
  ★ 10.4 km  [restroom] Toilet
   17.9 km   Turn right
   18.0 km   Turn left onto Route de la Gare
   18.4 km   Continue onto Rue du Port des Fontaines (follow 1.1 km)
   19.5 km   Turn right
   19.6 km   Turn left
   19.8 km   Turn right
   20.3 km   Turn slight right
   20.7 km   Turn left (follow 2.2 km)
   22.9 km   Turn right onto Rue Jules Rimet
   22.9 km   Continue onto Rue Paul Bert
   22.9 km   Turn sharp left onto Rue Paul Bert
   23.9 km   Turn right
   23.9 km   Turn slight right onto D 43
   24.1 km   Turn right (follow 1.8 km)
  ★ 24.8 km  [coffee] Café
   25.9 km   Continue onto Quai de l'Yonne (follow 1.1 km)
   27.0 km   Turn sharp left onto D 181
   27.2 km   Turn sharp left
   27.3 km   Turn left (follow 6.3 km)
   33.6 km   Keep right onto Chemin de Halage
   34.2 km   Turn right onto Quai de l'Hôpital
