BBT OFFICE -> DE HOLLAND (BUIKSLOTERWEG)    2.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] BBT Office
    0.1 km   Turn left onto Mokerstraat
    0.5 km   Turn slight left onto Meeuwenlaan
    0.8 km   Turn right onto Motorkade
    0.8 km   Turn right
    1.5 km   Turn left
    1.5 km   Turn left onto Meeuwenlaan
    1.5 km   Continue onto Spreeuwenpark
    1.6 km   Turn left onto Spreeuwenpark
    1.7 km   Turn right onto Reigerweg
    1.8 km   Turn left
    2.0 km   Turn right
    2.1 km   Turn left onto Buiksloterweg
    2.4 km   Turn left onto Buiksloterweg
  ★ 2.6 km  [dock/stay] De Holland
