BEILSTEIN - TRABEN TRARBACH    47.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Aanlegplaats schip
    0.1 km   Take the ferry
    0.3 km   Slight left onto B49
    0.3 km   Turn left
    0.4 km   Slight right (follow 1.1 km)
    1.4 km   Turn left (follow 5.1 km)
    6.5 km   Turn left onto Moselweinstraße
    6.6 km   Turn left onto Fährstraße (follow 9.6 km)
   16.3 km   Keep right onto K 41 (follow 1.9 km)
   18.2 km   Turn left (follow 1.4 km)
   19.6 km   Turn left
   20.5 km   Turn right
   20.5 km   Turn left onto K 41
   20.6 km   Turn right (follow 1.5 km)
   22.1 km   Turn right (follow 1.5 km)
   23.6 km   Turn left
   23.7 km   Turn right onto L 199
   24.5 km   Turn right
   24.5 km   Turn left (follow 1.5 km)
   26.0 km   Turn left
   26.5 km   Turn right onto Moselpromenade (follow 1.2 km)
   27.8 km   Keep right onto Brandenburg
   27.8 km   At roundabout, take exit 3 onto Notenau
   27.9 km   Turn right (follow 7.6 km)
   35.5 km   Turn right onto Moselallee
   36.0 km   Turn right
   36.3 km   Turn right
   36.3 km   Turn sharp right (follow 2.7 km)
   39.0 km   Turn slight left
   39.1 km   Turn right (follow 1.6 km)
   40.7 km   Turn right
   41.3 km   Turn right
   41.4 km   Turn slight left (follow 5.1 km)
   46.4 km   Turn left onto Moselweinstraße
   46.5 km   Turn right onto L 187
   47.0 km   Turn right onto Am Bahnhof
   47.1 km   Turn right onto Im Trehl
   47.2 km   Turn right onto An der Mosel
   47.4 km   Turn left
  ★ 47.5 km  [dock/stay] Arkona
