BERNKASTEL - SCHWEICH    54.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] boat
    0.0 km   Start Radtour; Wasser zur rechten Seite
    0.1 km   Rechts abbiegen
    0.2 km   Rechts abbiegen und direkt links; Wasser zur rechten Seite
    1.1 km   Links abbiegen
    1.2 km   Rechts abbiegen auf Saarallee
    1.3 km   1. Ausfahrt Kreisverkehr; Brücke überqueren
  ★ 1.6 km  [note] Bernkastel Zentrum — Laden und Restaurants
    1.7 km   Rechts abbiegen
    1.8 km   Links abbiegen; Wasser zur rechten Seite (follow 1.1 km)
    2.9 km   Schräg rechts (follow 1.2 km)
    4.1 km   Rechts abbiegen
    4.8 km   Links abbiegen
    4.9 km   Rechts abbiegen (follow 1.6 km)
    6.5 km   Rechts abbiegen
    6.7 km   Rechts abbiegen
    6.8 km   Links abbiegen
    7.1 km   Links abbiegen auf Moselstraße
    7.1 km   Rechts abbiegen (follow 3.1 km)
  ★ 9.4 km  [restroom] Toiletten
   10.2 km   Scharf rechts abbiegen
   10.7 km   Rechts abbiegen (follow 1.1 km)
   11.7 km   Links und direkt rechts abbiegen (follow 2.0 km)
  ★ 13.5 km  [restroom] Toiletten
   13.7 km   Rechts abbiegen auf Moselweinstraße
   14.2 km   Rechts abbiegen; Straße überqueren und links auf Radweg (follow 3.9 km)
   18.1 km   Rechts abbiegen auf Moselstraße
   18.2 km   Links abbiegen auf Moselstraße (follow 2.5 km)
   20.7 km   Scharf links abbiegen auf Brückenstraße
   20.8 km   Links abbiegen über Brücke
   21.0 km   Links abbiegen
  ★ 21.0 km  [bar] Restaurant
   21.0 km   Schräg links auf Ausoniusufer
  ★ 21.3 km  [note] Römische Weinpresse
   22.0 km   Schräg links auf Bruder-Eberhardstraße (follow 3.4 km)
   25.3 km   Scharf rechts abbiegen
   25.5 km   Schräg rechts über Brücke
   25.9 km   Rechts abbiegen und direkt rechts abbiegen (follow 1.8 km)
  ★ 27.1 km  [note] Neumagen — Lunch
   27.7 km   Schräg links
   27.8 km   Links abbiegen und direkt rechts abbiegen
   28.2 km   Schräg links
   28.6 km   Links abbiegen (follow 1.6 km)
   30.2 km   Geradeaus auf Radweg (follow 2.2 km)
   32.4 km   Schräg rechts
   32.5 km   Geradeaus auf Radweg (follow 2.7 km)
   35.3 km   Links abbiegen
   35.4 km   Rechts abbiegen auf Beethovenstraße
   36.1 km   Links abbiegen
   36.5 km   Rechts abbiegen (follow 1.6 km)
   38.2 km   Rechts abbiegen auf In der Olk
   38.6 km   Rechts und direkt links abbiegen (follow 2.0 km)
   40.7 km   Geradeaus (follow 2.0 km)
   42.7 km   Rechts abbiegen (follow 2.8 km)
   45.5 km   Links abbiegen zum Wiesenflurweg
   45.7 km   Links abbiegen auf Wiesenflurweg
   45.7 km   Rechts abbiegen auf Im Hostert
  ★ 45.8 km  [monument] Roman villa
   45.9 km   Rechts abbiegen
   45.9 km   Rechts abbiegen
   46.0 km   Links abbiegen
   46.2 km   Rechts abbiegen
   46.4 km   Rechts und direkt links abbiegen (follow 1.2 km)
   47.6 km   Rechts abbiegen
   47.9 km   Rechts abbiegen und direkt rechts abbiegen (follow 2.4 km)
   50.4 km   Schräg rechts entlang Wasser (follow 2.8 km)
   53.2 km   Links abbiegen
   53.3 km   Schräg links über Brücke
   53.5 km   Schräg rechts auf Radweg
   53.6 km   Rumdum Kreisverkehr fahren auf Radweg
   53.7 km   Straße überqueren; Links abbiegen auf Radweg
   53.7 km   Links abbiegen auf Radweg; Straße überqueren
   53.7 km   Rechts abbiegen auf Radweg D5
   53.8 km   Links abbiegen
   53.9 km   Links abbiegen; Wasser zur rechten Seite
   54.1 km   Ende Radtour
  ★ 54.1 km  [finish] boarding option
