BLÉHARIES - PONT-MALIN (VIA LEWARDE)    54.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [start] Drop-off Bléhairies
    0.1 km   Turn right onto Rue d'En bas
    0.2 km   Turn left onto Rue des Combattants, N507
    0.2 km   At roundabout, take exit 1 onto Rue des Déportés (follow 2.2 km)
    2.4 km   Turn right onto Rue des Berceaux
    3.0 km   At roundabout, take exit 2 onto Rue de l'Église (follow 2.1 km)
  ★ 5.1 km  [rest_stop] picnic lunch — picnic tables at border. No toilets
    5.1 km   Bear right (follow 1.6 km)
    6.6 km   Turn left onto Rue Eugène Millecamps
    7.0 km   Turn right onto Rue Morimetz
    7.5 km   Bear right onto Rue Morimetz
    8.3 km   Turn right onto D 327
    8.5 km   Turn left onto Rue Jean Rache
    8.7 km   Bear right
    9.2 km   Turn left onto Rue de l'Église
    9.5 km   Bear right onto Rue de la Mairie
    9.7 km   Bear right onto Rue de la Mairie
    9.8 km   Turn left and directly right (follow 1.1 km)
   10.9 km   Turn left onto Rue Miron Zlatin
   11.6 km   Turn left onto Rue du Talbot
   12.1 km   Bear right
   12.4 km   Turn right onto D 66
   12.6 km   Turn left onto Rue De La Pulmez
   13.0 km   Turn right
   14.0 km   Keep left onto Rue Albert Riquier
   14.0 km   Turn left onto Rue Verte
   14.1 km   Turn right onto Rue Verte
   14.8 km   Turn left onto Rue de Ghien (follow 4.6 km)
  ★ 17.0 km  [coffee] Cafe Croix-ou-Pile
   19.4 km   Turn right onto Hameau d'Elpret (follow 2.0 km)
   21.4 km   Turn right onto Rue Corbineau
  ★ 21.6 km  [coffee] Le Palais de la Bièrre
   21.7 km   Turn left onto Rue Louis Hein, D 957
  ★ 21.7 km  [coffee] Le Grand Cerf
  ★ 21.7 km  [coffee] Le Grand Cerf
   21.9 km   Turn right
   21.9 km   Turn slight left onto Rue de l'Écluse (follow 4.0 km)
   25.9 km   Turn left onto D 25
   25.9 km   At roundabout, take exit 1 onto D 25
   26.1 km   Turn left onto Chemin des Marais des Fiantons, D 225N (follow 1.1 km)
   27.2 km   Turn right onto Rue Paul Vaillant Couturier
   27.3 km   Turn left onto Rue Paul Vaillant Couturier
   28.0 km   Turn right onto Rue Joseph Bouliez, D 225
   28.1 km   Turn sharp left onto Rue de Chambéry
   28.8 km   Bear right (follow 1.2 km)
   30.0 km   Bear left onto Route d'Ecaillon (follow 1.5 km)
   31.5 km   Turn right
   31.6 km   Bear left
   32.4 km   Turn right onto Rue Bosquet
   33.0 km   Turn right onto Rue Gabriel Péri
   33.1 km   At roundabout, take exit 2 onto D 8 D (follow 1.2 km)
   34.3 km   Turn slight right onto Rue Jules Mousseron, D 8 D
   34.7 km   Turn right onto Avenue du 8 Mai 1945, D 645
   35.6 km   Turn left onto Rue d'Erchin
   36.1 km   Turn left onto Rue d'Erchin
   36.9 km   Turn left
   37.1 km   Make a U-turn
  ★ 37.1 km  [see] Mine Museum
   37.2 km   Turn left onto Rue d'Erchin, D 132
   37.3 km   Continue onto D 132 (follow 3.6 km)
  ★ 39.2 km  [dock/stay] Docking Arleux
   40.9 km   Turn left onto Rue de Monchecourt, D 132 (follow 2.0 km)
   42.9 km   At roundabout, take exit 2 onto Chemin de Lewarde à Bouchain, D 132 (follow 2.9 km)
   45.8 km   At roundabout, take exit 1 onto Rue du Maréchal Foch, D 132
   46.1 km   Turn slight right onto Rue de Marquette, D 132 (follow 1.6 km)
   47.6 km   Turn left onto Rue Émile Zola
   47.8 km   Turn right onto Rue Jean Lebas
   48.1 km   Turn right onto Rue Jean-Baptiste Canonne
   48.2 km   Turn sharp left onto Place de la Liberté, D 49
   48.2 km   Turn right onto Rue Wignolle Ledieu, D 132 (follow 2.4 km)
   50.6 km   Turn left onto Route de Marquette, D 132
   50.7 km   Turn right onto Rue Charles Bourseul
   51.1 km   Turn slight left onto Rue Charles Bourseul
   51.4 km   Turn right onto Rue Jean-Baptiste Lebas
   51.7 km   Turn right onto Rue des Défenseurs de 40
   52.1 km   Turn sharp right onto Digue Joseph Plausteiner
  ★ 52.1 km  [stop] pick up Bouchain
  ★ 52.1 km  [bar] Bar'racuda
   52.1 km   Turn slight right onto Digue Joseph Plausteiner
  ★ 54.0 km  [stop] pick up Pont-Malin
