BOLZANO - TRENTO    67.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Magdalener Hof
    0.0 km   Turn left onto Via Rencio - Rentschner Straße (follow 1.1 km)
    1.1 km   Turn right onto Via Brennero - Brennerstraße
  ★ 1.2 km  [dock/stay] Hotel Scala
    1.3 km   At roundabout, take exit 2 onto Via Piave - Piavestraße
  ★ 1.6 km  [dock/stay] Parkhotel Mondschein
    2.0 km   Make a U-turn onto Via dei Portici - Laubengasse
    2.4 km   Turn right onto Lungo Talvera Bolzano - Bozner Wassermauer
    2.5 km   Turn left
    3.5 km   Slight right to stay on Lungotalvera S. Quirino
    4.0 km   Turn left
    4.2 km   Turn left (follow 1.9 km)
    6.1 km   Turn right (follow 4.5 km)
  ★ 7.4 km  [water] Fountain
   10.6 km   Turn left onto Pista Ciclabile Valle dell'Adige - Etschtalradweg (follow 4.1 km)
   14.7 km   Turn left onto Pista Ciclabile Valle dell'Adige - Etschtalradweg
   14.8 km   Turn slight right onto Via Vadena - Pfattnerstraße
   15.0 km   Turn right
   15.4 km   Continue onto Pista Ciclabile Valle dell'Adige - Etschtalradweg (follow 6.7 km)
  ★ 21.0 km  [note] Station Ora
   22.0 km   Turn slight right onto Pista Ciclabile Valle dell'Adige - Etschtalradweg
   22.1 km   Turn right onto Pista Ciclabile Valle dell'Adige - Etschtalradweg (follow 18.0 km)
  ★ 24.6 km  [food] Bicigrill Ora
  ★ 24.7 km  [food] Kiosk Ora
  ★ 27.2 km  [water] Fountain
  ★ 36.5 km  [food] Bike Bistro Salorno
  ★ 36.6 km  [note] Station Salorno
  ★ 39.3 km  [note] Grens Trentino/Alto Adige
   40.1 km   Keep right onto Pista Ciclabile Valle dell'Adige (follow 3.6 km)
  ★ 42.6 km  [food] Bicigrill Faedo
   43.6 km   Turn right onto Via Canè
   43.7 km   Turn left onto Pista Ciclabile Valle dell'Adige (follow 1.3 km)
   45.1 km   Turn left onto Pista Ciclabile Valle dell'Adige (follow 1.0 km)
  ★ 45.6 km  [note] Station San Michele a/a - Grumo
  ★ 45.9 km  [note] Cantina Rotari Mezzocorona
   46.1 km   Continue onto Ciclovia della Valle dell'Adige (follow 2.8 km)
   48.8 km   Continue onto Via Lungo Adige
  ★ 49.0 km  [water] Fountain
   49.1 km   Turn left onto SP90
   49.2 km   Turn right
   49.9 km   Continue onto Ciclovia della Valle dell'Adige (follow 1.5 km)
   51.4 km   Keep right onto Pista Ciclabile Valle dell'Adige (follow 3.3 km)
   54.7 km   Turn left onto Pista Ciclabile Valle dell'Adige
   55.2 km   Turn right onto Pista Ciclabile Valle dell'Adige (follow 1.9 km)
   57.1 km   Turn slight right onto Via Lungo Avisio
   57.9 km   Turn right onto Pista Ciclabile Valle dell'Adige
   58.1 km   Turn slight right onto Lungavisio Luigi Tomasi
   58.8 km   Continue onto Pista Ciclabile Valle dell'Adige (follow 7.1 km)
  ★ 58.8 km  [water] Fountain
   66.0 km   Turn right onto Lungadige Louis Braille
   66.4 km   At roundabout, take exit 2 onto Lungadige Giacomo Leopardi
   66.4 km   Turn left
   66.7 km   Turn left
   66.7 km   Turn left
   67.0 km   Turn right
   67.1 km   Turn right
  ★ 67.4 km  [dock/stay] Hotel America
   67.5 km   Turn left onto Via Antonio Gazzoletti
  ★ 67.6 km  [note] Station Trento
  ★ 67.6 km  [dock/stay] Grand Hotel TN
  ★ 67.6 km  [bike_shop] Bike Shop Cicli Moser Trento
