BOŽAVA - SAVAR    32.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto 63044
    0.3 km   Turn left onto Božava
    0.5 km   Turn right onto Božava
    0.5 km   Turn left
    0.8 km   Turn left onto 63044 (follow 1.5 km)
    2.3 km   Turn slight right onto D109 (follow 4.2 km)
  ★ 2.8 km  [see] Viewpoint
    6.5 km   Keep left onto 63216 (follow 3.5 km)
   10.1 km   Turn left
  ★ 10.1 km  [coffee] Beach Bar
  ★ 10.1 km  [swimming] Beach
  ★ 10.1 km  [see] Veli Rat Lighthouse
   10.1 km   Turn right onto 63216 (follow 3.5 km)
   13.6 km   Turn slight right onto D109 (follow 4.3 km)
   17.9 km   Turn right
   17.9 km   Turn slight left onto D109 (follow 13.0 km)
   30.9 km   Turn left onto Savar, 63095
   31.2 km   Turn right onto Savar, 63095
  ★ 32.0 km  [swimming] Beach
