BREUKELEN - UTRECHT (NEUDE)    36.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ligplaats Breukelen
    0.0 km   Start fietstour, houd water aan de linkerkant
    0.9 km   Ga rechtdoor; VOLG NIET de KP (follow 1.7 km)
    2.5 km   Linksaf naar Stationsweg; water aan de linkerkant (follow 2.5 km)
    5.1 km   Houd links aan naar KP 52
    6.0 km   Rechtsaf naar KP 52 (follow 1.3 km)
    7.2 km   Linksaf naar Singel
    7.3 km   Rechtsaf naar De Vliet
    7.4 km   Linksaf naar De Vliet
    7.5 km   Rechtdoor naar De Vliet
    7.7 km   Linksaf naar Floraweg
    7.8 km   Linksaf naar Breedstraat
  ★ 7.8 km  [note] Rivier Vecht
    8.0 km   Scherp naar rechts naar Lindengracht
    8.0 km   Scherp naar links naar Lindengracht
    8.3 km   Rechtsaf naar Boslaan
    8.6 km   Linksaf naar Alambertskade (follow 2.6 km)
  ★ 10.3 km  [see] Uitkijktoren — om vogels te spotten
   11.1 km   Scherp naar rechts naar Horndijk
   12.0 km   Houd rechts aan naar Horndijk
   12.2 km   Rechtsaf naar Veendijk (follow 3.8 km)
  ★ 14.6 km  [see] Fort Spion — Fort van de Hollandse Waterlinie uit 1844
   16.0 km   Linksaf
   16.0 km   Linksaf naar Mijndensedijk (follow 1.6 km)
  ★ 16.2 km  [coffee] Koffie bij de sluis
   17.6 km   Houd links aan naar Zandpad (follow 2.9 km)
  ★ 17.6 km  [note] Vrouwengevangenis Nieuwersluis — Gebouwd in 1750
  ★ 18.0 km  [see] Rupelmonde en andere huizen — Gebouwd midden 18e eeuw. Privé huizen.
  ★ 20.4 km  [coffee] Café's Breukelen
  ★ 20.4 km  [see] Breukelen brug — Rivier Vecht
   20.5 km   Houd rechts aan naar Zandpad
  ★ 20.5 km  [note] Kasteel Gunterstein — Privé
   20.6 km   Scherp naar rechts naar Zandpad (follow 1.7 km)
  ★ 21.5 km  [see] Kasteel Nijenrode — Business Universiteit
   22.3 km   Ga rechtdoor naar KP 46 (follow 2.1 km)
  ★ 24.1 km  [coffee] The Riverside — vanaf 11 h
   24.5 km   Rechtsaf naar Diependaalsedijk
   25.4 km   Rechtsaf naar Kaatsbaan
   25.6 km   Linksaf naar Breedstraat
   25.9 km   Houd rechts aan naar Parkweg
   25.9 km   Houd links aan naar Parkweg
   25.9 km   Rechtdoor naar Huis ten Boschstraat
   26.0 km   Rechtsaf naar Zandweg (follow 2.7 km)
   28.7 km   Maak een U-bocht naar Oostwaard
   28.7 km   Houd links aan naar Oostwaard
  ★ 28.8 km  [see] Watermolen Buitenweg — Sinds 1830
   29.5 km   Linksaf naar Dorpsstraat
  ★ 29.6 km  [coffee] Bistro Terrace Bello
   29.8 km   Linksaf naar Slotlaan
  ★ 29.9 km  [see] Kasteel Oud-Zuylen — Kasteel uit ca 1250. Bezoek mogelijk vanaf 11 h. Entree prijs.
   30.1 km   Rechtsaf naar 2e Polderweg (follow 1.2 km)
   31.3 km   Rechtsaf naar Franciscusdreef
   31.4 km   Linksaf naar Vechtdijk
   31.5 km   Rechtdoor naar KP 72
  ★ 31.7 km  [bar] Fort aan de Klop — Fort van de Hollandse Waterlinie uit 1819
   31.8 km   Rechtsaf naar Vechtdijk
   32.7 km   Houd rechts aan
   33.6 km   Linksaf naar Loevenhoutsedijk
   33.7 km   Rechtsaf naar Loevenhoutsedijk (follow 1.3 km)
   35.0 km   Rechtsaf naar Bemuurde Weerd Oostzijde
   35.0 km   Rechtsaf naar Zandbrug
   35.0 km   Linksaf naar Oudegracht
  ★ 35.1 km  [note] Oude handelskades langs de oevers van de Rijn
  ★ 35.3 km  [note] Utrecht Centraal Station
   35.4 km   Linksaf naar Lange Viestraat
  ★ 35.4 km  [finish] Schip
  ★ 35.4 km  [dock/stay] Ligplaats Schip
  ★ 35.4 km  [bar] Op Roose — Café Restaurant
  ★ 35.4 km  [note] Oude stadscentrum van Utrecht — Parkeer de fiets en zet hem op slot en maak een wandeling
  ★ 35.5 km  [food] Restaurants Neude
  ★ 35.6 km  [bike_parking] Neude, naast de bibliotheek — Gratis ondergrondse parkeergarage
  ★ 35.6 km  [restroom] Openbare toiletten in de bibliotheek
  ★ 35.6 km  [library] Bibliotheek met openbare toiletten
   35.6 km   Turn right onto Potterstraat
   35.9 km   Turn right onto Janskerkhof
   35.9 km   Turn slight right onto Korte Jansstraat
   36.1 km   Turn right onto Domplein
  ★ 36.1 km  [see] Domkerk — Kerk met een 110m hoge toren. Gratis entree kerk
  ★ 36.1 km  [bar] Bars en Restaurants
  ★ 36.1 km  [bike_parking] Domplein
