BRUGES - DAMME (SCHLEIFE)    21.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] barge Brugge
    0.2 km   Rechts abbiegen
    0.6 km   Links abbiegen auf Katelijnestraat, N50
    0.7 km   Rechts abbiegen
    0.8 km   Links halten
    1.2 km   Dem Straßenverlauf folgen
    1.2 km   Rechts abbiegen (follow 1.7 km)
    3.0 km   Rechts halten
    3.1 km   Rechts halten
    3.4 km   Links halten
    3.4 km   Rechts abbiegen auf Potterierei
    3.6 km   Links abbiegen
    3.9 km   Leicht rechts abbiegen auf Zuidervaartje (follow 1.1 km)
    5.0 km   Links abbiegen auf Polderstraat (follow 3.9 km)
    8.9 km   Links abbiegen
    9.0 km   Leicht rechts abbiegen auf Kerkstraat
  ★ 9.4 km  [see] Damme centre
    9.9 km   Links abbiegen
   10.8 km   Links abbiegen auf Pompestraat
   11.8 km   Links abbiegen auf Koolkerkesteenweg, N374
   11.9 km   Rechts abbiegen auf Amelinsbrugstraat
   12.7 km   Links abbiegen auf Ronselarestraat
   13.1 km   Links halten auf Ronselarestraat
   14.0 km   Links abbiegen auf Arendstraat
   14.8 km   Links abbiegen auf Brugse Steenweg, N374
   14.9 km   Rechts abbiegen auf Fortstraat
   15.1 km   Rechts abbiegen auf Hoveniersstraat
   15.4 km   Leicht links abbiegen
   15.8 km   Rechts abbiegen auf Kasteeldreef
   15.8 km   Scharf links abbiegen auf Gemene Weidestraat
   16.6 km   Rechts abbiegen auf Noorweegse Kaai
   17.4 km   Links abbiegen
   17.6 km   Links halten auf Noorweegse Kaai, N374
   18.1 km   Links abbiegen auf Sasplein
   18.2 km   Leicht rechts abbiegen
   18.3 km   Leicht rechts abbiegen
   18.4 km   Rechts halten
   18.5 km   Scharf rechts abbiegen (follow 1.6 km)
   20.1 km   Links halten
   20.4 km   Links abbiegen
   20.5 km   Dem Straßenverlauf folgen
   20.5 km   Rechts halten
   20.7 km   Rechts halten
   21.0 km   Links abbiegen auf Katelijnestraat, N50
   21.0 km   Rechts abbiegen
   21.4 km   Turn left
