BRUGES - LOVENDEGEM    41.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Bruges (Bargeweg)
    0.2 km   Rechts abbiegen
    0.6 km   Rechts abbiegen auf Katelijnestraat, N50
    0.6 km   Rechts abbiegen
    0.8 km   Rechts halten
    1.5 km   Links abbiegen auf Lappersfortstraat
    1.5 km   Rechts abbiegen
    1.6 km   Rechts abbiegen
    1.7 km   Rechts abbiegen
    1.8 km   Links abbiegen
    1.8 km   Links abbiegen auf Vaartdijkstraat
    1.8 km   Rechts abbiegen auf Vaartdijkstraat
    1.9 km   Links halten auf Vaartdijkstraat (follow 1.4 km)
    3.3 km   Rechts abbiegen
    3.5 km   Links abbiegen
    3.5 km   Rechts abbiegen auf Westdijk (follow 2.5 km)
    6.1 km   Links halten auf Westdijk
    6.3 km   Rechts abbiegen
    6.4 km   Scharf links abbiegen
  ★ 6.4 km  [monument] Canadian War Memorial Moerbrugge
    6.6 km   Links halten auf Westdijk (follow 4.8 km)
   11.4 km   Rechts halten (follow 1.4 km)
  ★ 12.2 km  [bar] St. Lucas — Closed Tue & Wed
   12.8 km   Rechts halten (follow 1.2 km)
  ★ 12.9 km  [coffee] Café Boothuis Beernem
  ★ 12.9 km  [coffee] Café Boothuis Beernem — Closed Mon & Tue
July - Aug: only closed on Mon
  ★ 13.1 km  [bar] De Kijkuit Outdoorsport — Open vanaf 10 uur.  +32 50 78 15 53
   14.0 km   Links halten
   14.2 km   Links abbiegen auf Vaart-Zuid (follow 1.3 km)
   15.5 km   Rechts abbiegen auf Smissestraat
   15.6 km   Links abbiegen auf Lattenklieversstraat
   15.9 km   Rechts abbiegen (follow 1.8 km)
   17.8 km   Links abbiegen auf Knesselaarsestraat
   17.8 km   Rechts abbiegen auf Leieberm
   18.6 km   Links halten auf Buntelarestraat (follow 1.2 km)
   19.9 km   Leicht rechts abbiegen auf Prieelstraat
   20.4 km   Biegen Sie rechts in die Letterburgstraat ein.
   21.3 km   Biegen Sie rechts in die Weststraat ein.
   21.5 km   Biegen Sie links ab auf die Brug-Noord (follow 1.2 km)
   22.7 km   Biegen Sie links ab.
   22.9 km   Biegen Sie rechts ab auf die Woestijne (follow 1.4 km)
  ★ 23.7 km  [start] Drop-off Aalter-Brug
   24.3 km   Biegen Sie rechts ab auf die Oostmolen-Noord. (follow 1.5 km)
  ★ 24.5 km  [note] Strawberry Farm
  ★ 24.5 km  [convenience_store] Strawberry Farm — Vending machines with fresh strawberries.
   25.8 km   Leicht rechts abbiegen auf Oostmolen-Noord
   25.9 km   Links abbiegen auf Gottebeekstraat
  ★ 25.9 km  [coffee] Café Den Overzet Aalter
  ★ 25.9 km  [coffee] Café Den Overzet Aalter — Authentic old fashioned village bar.
Open daily.
   26.0 km   Rechts halten auf Gottebeekstraat
   26.8 km   Rechts abbiegen auf Kerselaarstraat
   27.3 km   Rechts abbiegen auf Kerselaarstraat
   27.5 km   Links abbiegen auf Vaart-Noord (follow 6.7 km)
  ★ 34.2 km  [note] Museum of Weird Bicycles
   34.2 km   Links abbiegen auf Zomergemstraat
   34.6 km   Rechts abbiegen auf Durmstraat
   34.7 km   Leicht links abbiegen auf Moerstraat
   34.9 km   Scharf rechts abbiegen auf Doorenmeers
   35.8 km   Links abbiegen auf Doorenmeers
   36.8 km   Links abbiegen auf Vellare
   37.3 km   Links abbiegen auf Warandestraat
  ★ 37.4 km  [see] Castle Lovendegem — Private property.
   37.5 km   Rechts abbiegen auf Kasteeldreef
   38.3 km   Links abbiegen auf Appensvoordestraat (follow 1.9 km)
   40.2 km   Rechts abbiegen auf Grote Baan, N9
   40.4 km   Rechts abbiegen auf Bilksken
   40.7 km   Scharf links abbiegen auf Bilksken
   40.7 km   Leicht rechts abbiegen auf Bilksken
   40.9 km   Links abbiegen auf Koning Leopoldstraat
