BRÜGGE - GENT STADTMITTE    50.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Anlegestelle Bargeweg Brügge
    0.2 km   Rechts abbiegen
    0.6 km   Rechts abbiegen auf Katelijnestraat
    0.6 km   Rechts abbiegen
    0.9 km   Rechts halten (follow 2.0 km)
    2.8 km   Links zum Knotenpunkt 69
    2.9 km   Rechts zum Knotenpunkt 82
    3.1 km   Über Brücke direkt links; Wasser zur linken Seite
    3.3 km   Links abbiegen
    3.3 km   Rechts abbiegen auf Westdijk (follow 2.5 km)
    5.9 km   Links halten auf Westdijk
    6.2 km   Rechts abbiegen
    6.2 km   Scharf links abbiegen
    6.3 km   Leicht links abbiegen auf Westdijk (follow 5.5 km)
   11.8 km   Geradeaus zum Knotenpunkt 88
   12.6 km   Schräg rechts auf Radweg
   12.9 km   Geradeaus zum Knotenpunt 66
   13.8 km   Schräg links; Straße Überqueren auf Radweg
   14.0 km   Schräg links auf Radweg zum Knotenpunkt 96 (follow 1.3 km)
   15.3 km   Rechts zum Knotenpunkt 96
   15.5 km   Links zum Knotenpunkt 93
  ★ 15.7 km  [bar] Café De Brug Sint-Joris — Donnerstag Ruhetag
   15.8 km   Links auf Radweg; Wasser zur linken Seite
   16.0 km   Links zum Knotenpunkt 98 (follow 1.6 km)
   17.6 km   Links Brücke überqueren zum Knotenpunkt 90
   17.7 km   Rechts abbiegen
  ★ 17.7 km  [coffee] Café 'De Reisduif'
   18.5 km   Schräg links abbiegen (follow 1.2 km)
   19.7 km   Schräg rechts zum Knotenpunkt 89
   20.2 km   Rechts abbiegen zum Knotenpunkt 89
   21.1 km   Rechts abbiegen
   21.3 km   Links abbiegen
   21.4 km   Links abbiegen; Wasser zur rechten Seite (follow 1.2 km)
   22.5 km   Unter Brücke durch fahren dann direkt links
   22.8 km   Rechts abbiegen zum Knotenpunkt 89
   23.7 km   Geradeaus weiterfahren
   24.2 km   Rechts abbiegen zum Knotenpunkt 88 (follow 1.6 km)
  ★ 24.2 km  [note] Erdbeeren Bauernhof Wessegem
   25.8 km   Links abbiegen zum Knotenpunkt 01
  ★ 25.8 km  [see] Café Den Overzet — Täglich.
   25.9 km   Schräg rechts
   26.6 km   Rechts abbiegen zum Knotenpunkt 01
   27.2 km   Rechts abbiegen
   27.4 km   Links abbiegen; Wasser zur rechten Seite (follow 5.1 km)
  ★ 28.7 km  [coffee] Café De Hert
   32.5 km   Geradeaus zum Knotenpunkt 10 (follow 1.5 km)
   34.1 km   Turn left onto Zomergemstraat
   34.5 km   Turn right onto Durmstraat
   34.5 km   Geradeaus zum knotenpunkt 22
   34.7 km   Rechts zum Knotenpunkt 22
   35.6 km   Links zum Knotenpunkt 22
   36.6 km   Rechts zum Knotenpunkt 23
   37.1 km   Links zum Knotenpunkt 23
  ★ 37.3 km  [see] Schlosz Lovendegem
   37.4 km   Rechts zum Knotenpunt 25
   37.7 km   Rechts zum Knotenpunkt 64
  ★ 37.7 km  [restroom] WC in Wasserette
  ★ 37.8 km  [coffee] Café Sport Lovendegem
   37.9 km   Rechts halten auf Diepestraat
   37.9 km   Links abbiegen auf Lobrug
   38.1 km   Dem Straßenverlauf von Lobrug folgen (follow 1.2 km)
   39.3 km   Links auf Radweg zum Knotenpunkt 55
   39.6 km   Links und direkt rechts
   40.0 km   Rechts abbiegen auf Molendam (follow 1.3 km)
  ★ 40.1 km  [coffee] Café de Oude Kale Lovendegem — Geöffnet am Wochende. Terrasse
   41.3 km   Rechts halten auf Molendam
   41.3 km   Links abbiegen auf Meirestraat
   41.6 km   Schräg rechts zum Knotenpunkt 54
   41.9 km   Geradeaus zum Knotenpunkt 51 (follow 2.9 km)
  ★ 42.6 km  [coffee] 't Wegeltje
  ★ 42.6 km  [coffee] 't Wegeltje
   44.9 km   Straße überqueren auf Radweg (follow 3.3 km)
   48.2 km   Links abbiegen
   48.2 km   Links halten auf Onderdoorgang Contributiebrug
   48.5 km   Links abbiegen auf Coupure Links
   48.9 km   Rechts abbiegen
   49.1 km   Rechts abbiegen
   49.1 km   Links abbiegen
   49.8 km   Schräg rechts zum Knotenpunkt 4
   49.9 km   Links abbiegen
  ★ 49.9 km  [dock/stay] Mooring Ghent Merelbeke
   50.5 km   Rechts abbiegen
   50.6 km   Turn left onto Veldstraat
  ★ 50.8 km  [note] Ghent historische Altstadt
   50.8 km   Turn right onto Korenmarkt
   50.8 km   Turn left onto Korenmarkt
   50.9 km   Turn left
  ★ 50.9 km  [bike_parking] Fahrradparkplatz Ghent Centrum
  ★ 50.9 km  [note] Start Grachtentouren
