BRÜGGE - LISSEWEGE - BRÜGGE    38.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Anlegestelle Bargeweg Brügge
    0.2 km   Rechts abbiegen
    0.6 km   Links abbiegen auf Katelijnestraat
    0.6 km   Rechts abbiegen
    1.2 km   Geradeaus zum Knotenpunkt 03; Wasser zur rechten Seite
    1.2 km   Rechts und direkt links (follow 2.1 km)
    3.3 km   Schräg links
    3.5 km   Links abbiegen auf Sasplein
    3.6 km   Rechts abbiegen auf Komvest
    3.7 km   Rechts abbiegen
    3.9 km   Rechts abbiegen
    4.3 km   Rechts über Brücke zum Knotenpunkt 31
    4.5 km   Links halten auf Spinnerijpad
    4.9 km   Dem Straßenverlauf von L.201 folgen
    5.0 km   Links abbiegen
    5.0 km   Leicht rechts abbiegen auf L.201
    5.6 km   Geradeaus
    6.2 km   Rechts zum Knotenpunkt 68
    6.7 km   Links und direkt rechts auf Radweg
    6.7 km   Links abbiegen auf Blankenbergse Steenweg
    6.7 km   Links abbiegen auf Sint-Pietersmolenstraat
    7.0 km   Rechts abbiegen auf Blankenbergse Dijk (follow 1.4 km)
    8.4 km   Links; Strasse überqueren und direkt rechts zum Knotenpunkt 14 (follow 1.4 km)
    9.9 km   Scharf rechts zum Knotenpunkt 78
  ★ 9.9 km  [note] Strand de Haan
   10.1 km   Links
   10.8 km   Links abbiegen
   10.9 km   Rechts abbiegen
   11.5 km   Rechts abbiegen
   11.5 km   Schräg rechts
   11.7 km   Links abbiegen auf Dullemolenstraat
   11.7 km   Rechts halten auf Dullemolenstraat
   11.8 km   Links abbiegen auf Blankenbergse Steenweg
   12.7 km   Links abbiegen auf Kruipuit (follow 2.7 km)
   15.5 km   Rechts zum Knotenpunkt 40
   16.0 km   Bear right zum Knotenpunkt 40
   16.1 km   Links
   16.3 km   Geradeaus auf Radweg
   16.3 km   Rechts
   16.4 km   Schräg rechts
  ★ 16.8 km  [coffee] Kaffee Lissewege
   16.9 km   Scharf rechts abbiegen auf Oude Pastoriestraat
   17.2 km   Rechts auf Dwarsstraat zum Knotenpunkt 45
   17.7 km   Links auf Ter Doeststraat zum Knotenpunkt 45
  ★ 18.4 km  [coffee] Kaffee Hof ter Doest, Lissewege
   18.6 km   Links abbiegen
   18.7 km   Rechts abbiegen zum Knotenpunkt 99 (follow 1.6 km)
   20.3 km   Strasse überqueren dann links
   20.5 km   Rechts
   20.5 km   Rechts auf Herdersbruggestraat zum Knotenpunkt 66
   21.2 km   Strasse überqueren zum Knotenpunkt 66
   21.6 km   Scharf rechts abbiegen auf Amaat Vynckestraat
   22.1 km   Rechts abbiegen auf Damse Steenweg
   22.3 km   Rechts abbiegen auf Stapelvoorde (follow 2.0 km)
   24.3 km   Links zum Knotenpunkt 90
   24.4 km   Rechts zum Knotenpunkt 90
   25.3 km   Scharf links zum Knotenpunkt 35
   25.5 km   Schrag rechts zum Knotenpunkt 55
   26.4 km   Links zum Knotenpunkt 55
   26.5 km   Rechts auf Pompestraat zum Knotenpunkt 55
   27.5 km   Rechts zum Knotenpunkt 34 (follow 1.3 km)
   28.7 km   Geradeaus zum Knotenpunkt 28
  ★ 28.9 km  [restroom] Am Turistinformation
   29.2 km   Schräg rechts zum Knotenpunkt 42
   29.3 km   Rechts zum Knotenpunkt 12 (follow 2.8 km)
   32.2 km   Rechts halten auf Polderstraat (follow 1.1 km)
   33.3 km   Rechts abbiegen
   33.7 km   Rechts halten
   34.3 km   Links halten
   34.6 km   Rechts abbiegen
   34.7 km   Dem Straßenverlauf von Dampoortstraat folgen
   34.8 km   Links abbiegen
   34.9 km   Scharf links abbiegen (follow 2.1 km)
   37.0 km   Links zum Knotenpunkt 98
   37.1 km   Schräg links auf Radweg zum Knotenpunkt 05
   37.6 km   Links abbiegen auf Katelijnestraat
   37.6 km   Rechts abbiegen
   37.9 km   Links halten
   38.0 km   Links abbiegen
