CHÂTEAU-THIERRY - LA FERTÉ    58.1 km    · signs & notes only ·

DIRECTIONS
    1.3 km   Keep right
    1.5 km   At roundabout, take exit 2 onto Avenue d'Essômes
    1.6 km   At roundabout, take exit 2 onto D 969
    1.8 km   Continue onto Avenue du Général de Gaulle, D 969
    2.5 km   Turn right onto Rue de l'Abbaye, D 1390
    2.6 km   Turn right onto Rue de l'Abbaye, D 1390
    2.6 km   Turn right onto Rue Jacques Fourrier, D 1390 (follow 1.1 km)
    3.7 km   At roundabout, take exit 1 (follow 1.4 km)
    5.1 km   Bear left onto Rue Hector Papelard (follow 1.5 km)
    6.6 km   Bear left (follow 3.2 km)
    9.8 km   Turn right onto Rue du Lieutenant J.G. Osborne
  ★ 9.8 km  [coffee] Bouresches,  Café de la Place
   10.2 km   Bear left (follow 1.6 km)
   11.8 km   Turn sharp left
   12.5 km   Turn left
   12.5 km   Make a U-turn
  ★ 12.5 km  [monument] Belleau war signs
   12.6 km   Turn right
   13.3 km   Turn left
   13.9 km   Bear left
   13.9 km   Turn left to Belleau War Memorial
   14.1 km   Turn around to continue ride
  ★ 14.1 km  [monument] Belleau war memorial
   14.4 km   Turn left onto D 9 (follow 1.1 km)
   15.4 km   Turn right onto D 82
   15.8 km   Bear left
   15.9 km   Keep left onto Rue des Alouettes
   16.9 km   Bear right onto D 9 (follow 6.6 km)
  ★ 21.9 km  [coffee] Moulin d’heurtville
  ★ 23.3 km  [note] Church
  ★ 23.3 km  [convenience_store] Supermarket
   23.5 km   Continue onto Rue du Docteur Pénit, D 221 (follow 1.1 km)
   24.6 km   Turn slight left onto D 22
   25.2 km   Turn right
   26.1 km   Turn left onto Grande Rue, D 9 (follow 2.8 km)
   28.9 km   Turn left onto D 920
   29.4 km   Turn left onto Rue Philippe François, D 91 (follow 3.8 km)
   33.2 km   Turn right
   33.3 km   Turn left
   33.4 km   Turn left onto Rue de la Récompense
   33.5 km   Keep right onto Rue Raphaël
   33.6 km   Turn slight left onto Rue Raphaël
   33.7 km   Turn right onto Rue Montanglos, D 94
   33.8 km   Turn left onto Rue René Desjardin, D 23 (follow 4.5 km)
   38.4 km   Turn sharp left
   38.9 km   Turn right onto Grande Rue, D 17
   39.3 km   At roundabout, take exit 1 onto D 17
   39.3 km   Turn sharp left onto D 17
   39.3 km   At roundabout, take exit 1 onto D 23 (follow 3.5 km)
   42.8 km   Make a U-turn onto D 23 (follow 3.7 km)
   46.5 km   Turn right onto Avenue de Paris
  ★ 46.5 km  [bar] bar la Croix d'Or
   46.5 km   Turn left onto Rue des Poncets
   46.8 km   Keep left onto Rue du Moulin de Montbertoin
   47.0 km   Turn left onto Rue du Moulin de Montbertoin (follow 1.3 km)
  ★ 47.0 km  [convenience_store] small supermarket
   48.3 km   Turn left onto Rue du Fort Henry
   48.4 km   Turn right onto Chemin de Pisseloup
   48.7 km   Turn left onto Route de Montreuil, D 16
   49.0 km   Turn right onto Rue des Marais, D 80 (follow 2.4 km)
   51.4 km   Keep right onto Rue de l'Église
   51.7 km   Turn slight left onto Rue de Chamoust, C 2
   51.9 km   Turn right onto D 80 (follow 5.3 km)
   57.2 km   Bear left
   58.0 km   Turn left
   58.0 km   Turn right
   58.0 km   End of ride
  ★ 58.1 km  [dock/stay] barge La Ferté-sous-Jouarre
