COMPIÈGNE - PONT-L'ÉVÊQUE (TAL ROUTE)    44.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Compiegne
    0.1 km   Ga linksaf naar Rue Saint-Simon
    0.1 km   Rechtsaf naar Cours Guynemer
    0.4 km   Linksaf naar Rue Solférino
    0.6 km   Linksaf naar Rue des Pâtissiers
    0.6 km   Linksaf naar Rue Eugène Floquet
  ★ 0.6 km  [note] Compiegne
    0.7 km   Rechtsaf naar Rue Sainte-Marie
    0.7 km   Linksaf naar Rue Pierre Sauvage
    0.9 km   Linksaf naar Rue Hippolyte Bottier
    1.1 km   Rechtsaf naar Cours Guynemer
    1.4 km   Blijf op Cours Guynemer
    1.5 km   Linksaf (follow 1.6 km)
    3.1 km   Straße überqueren und geradeaus weiterfahren auf Radweg (follow 1.2 km)
    4.3 km   Straße überqueren auf Radweg; Wasser zur linken Seite (follow 2.9 km)
    7.2 km   Rechts abbiegen auf Route du Carandeau
    7.4 km   Links abbiegen auf D 546 (follow 1.1 km)
    8.5 km   Rechtsaf
    8.5 km   Ga linksaf naar Route du Général Weygand
    8.5 km   Rechtsaf naar Route du Maréchal Foch
    8.5 km   Rechtsaf
  ★ 8.7 km  [note] Clairière de l'Armistice
  ★ 8.7 km  [restroom] restroom
    8.8 km   Houd links aan
    9.0 km   Rechtsaf
    9.0 km   Rechtsaf naar D 546
    9.7 km   Links abbiegen auf Rue Victor Hugo (follow 2.5 km)
   12.3 km   Rechts abbiegen
   12.4 km   Links abbiegen
   12.5 km   Links und direkt rechts
   13.4 km   2. Ausfahrt im Kreisverkehr
   13.8 km   Rechts abbiegen auf Rue de la République (follow 1.1 km)
   14.9 km   Rechtsaf naar Rue Armand Luisin
   15.0 km   Rechtsaf
   15.1 km   Linksaf naar Rue Ludovic Deligny
   15.5 km   Ga rechtdoor
   15.9 km   Rechts abbiegen
  ★ 16.2 km  [note] Museum Cité des Bateliers
   16.5 km   Rechts abbiegen
   16.5 km   Links abbiegen
  ★ 16.6 km  [coffee] café Le Jean Bart
   17.4 km   Scharf rechts
   17.5 km   Schräg links
   17.6 km   Links abbiegen; zurück zum Kanal (follow 1.1 km)
   18.6 km   Rechts abbiegen
   18.7 km   Links abbiegen; Kanal überqueren
   18.8 km   Rechts abbiegen Rue Henri Barbusse (follow 1.3 km)
   20.0 km   Rechts abbiegen
   20.4 km   Links abbiegen
   21.0 km   Geradeaus weiterfahren (follow 2.4 km)
   23.4 km   Rechts abbiegen auf D 932
   23.4 km   Rechts abbiegen auf Rue Voltaire
  ★ 24.0 km  [coffee] Bar-brasserie Le Rallye
   24.2 km   Rechts abbiegen (follow 1.5 km)
   25.7 km   Geradeaus weiterfahren (follow 2.4 km)
   28.0 km   Links abbiegen auf Rue du Fort (follow 4.2 km)
   32.3 km   Links abbiegen (follow 1.4 km)
   33.7 km   Schräg rechts
   33.8 km   Schräg rechts auf Rue Eloy Labarre (follow 1.9 km)
  ★ 33.8 km  [note] Abbey Ourscamp
   35.7 km   Links abbiegen auf D 165 (follow 1.2 km)
   36.8 km   Schräg rechts
   37.0 km   Links abbiegen auf La Grande Rue
   37.7 km   Schräg rechts
   37.9 km   Schräg links
   38.4 km   Schräg rechts (follow 1.0 km)
   39.4 km   Links abbiegen auf Rue de la Poterne
   39.8 km   Rechts abbiegen auf Rue des Boucheries
   40.0 km   Links abbiegen
   40.1 km   Scharf rechts
   40.2 km   Links abbiegen auf Rue de l'Évéché
   40.3 km   Rechts abbiegen
   40.4 km   Links abbiegen
  ★ 40.4 km  [note] Cathedral Noyon
   40.4 km   Links abbiegen auf Rue Calvin
   40.5 km   Schräg rechts
   40.6 km   Rechts und direkt links
   40.7 km   Links abbiegen
   41.1 km   2. Ausfahrt im Kreisverkehr auf D 145
   41.8 km   Rechts abbiegen
   42.0 km   Scharf links
   43.0 km   Schräg rechts
   43.0 km   Schräg links
   43.4 km   Geradeaus; Wasser zur Rechten Seite
   43.7 km   Ende der Radtour
  ★ 43.7 km  [dock/stay] Mooring Pont l'Éveque
   43.7 km   Rechtsaf naar Chemin de Contre Halage
   43.8 km   Rechtsaf naar Rue du Quai des Bateliers
   44.2 km   Linksaf naar Rue Jeanne d'Arc, D 145
   44.3 km   Rechtsaf naar Rue du Marais Ferneux
