CUIJK - LITH    51.5 km    · signs & notes only ·

Knooppunten: 4 · 3 · 20 · 19 · 2

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Cuijk
    0.2 km   Turn right onto Grotestraat
    0.3 km   Turn left onto Korte Molenstraat
    0.5 km   Turn right onto Louis Jansenplein
    0.6 km   Turn sharp left onto Molenstraat
    1.0 km   Turn sharp left onto Smidstraat
    1.2 km   Turn left onto Lange Beijerd
    1.3 km   Turn right onto Overhage
    2.0 km   Turn right onto Overhage
    2.6 km   Turn left onto Beerseweg (follow 2.1 km)
    4.7 km   Turn left onto Burgemeester Thijssenstraat
    5.0 km   Turn right onto Elstweg (follow 1.3 km)
    6.2 km   Turn right onto Graafsedijk
    6.3 km   Turn left onto Broekkant (follow 2.6 km)
    8.9 km   Turn right onto Meisevoort
    9.6 km   Turn left onto Meisevoort
    9.6 km   Turn left onto Keerdijk
   10.6 km   Turn left
   10.6 km   Turn sharp right onto Middelrotscheweg
   10.9 km   Turn slight left onto Middelrotscheweg
   11.7 km   Turn left onto Graafschedijk
   12.2 km   Turn left onto Meester Bongaardsweg
   12.4 km   Turn right onto Willem van Esterenweg (follow 1.0 km)
   13.4 km   Keep right onto Estersveldlaan
   13.7 km   Turn right onto Jan van Cuykdijk
   13.7 km   Turn left
   13.7 km   Turn left onto Jan van Cuykdijk
   14.0 km   Turn slight right onto Jan van Cuykdijk
   14.1 km   Turn right onto Gasthuisstraat
   14.1 km   Turn left onto Gasthuisstraat
   14.2 km   Follow signs to junction 4 via Markt, Hoofschestraat, Bagijnenstraat, Ravelijn (exit right, heading NW) toward junction 3
  ★ 14.3 km  [coffee] Cafes at Waterfront
  ★ 14.4 km  [coffee] Grave centre — Cafes at Markt
   15.5 km   Right onto Arnoud van Gelderweg to junction 3
   15.6 km   Follow signs to junction 20 via Mars en Wijthdijk, Oude Maasdijk, Hans en Grietweg (exit right, heading N) toward junction 19
  ★ 15.7 km  [note] Operation  Market Garden info
   19.3 km   Follow signs to junction 19 via Zuijdenhoutstraat, Keentseweg (exit left, heading NW) toward junction 2
  ★ 20.1 km  [coffee] Farmers café Keent
   21.2 km   Follow signs to junction 2 via Maasdijk, Marktstraat, Landpoortstraat, Walstraat, Maasbandijk, Rijswaard, Molendijk, Groenedijk, Blauwe Sluis, Bovendijk, Schansedijk, Greffelingsestraat, Lithse Veerweg, Veerweg (exit left)
  ★ 25.6 km  [coffee] Ravenstein: Coffee, restrooms, Tourist Office info
  ★ 25.7 km  [bar] Brewery de Wilskracht Ravenstein
  ★ 25.8 km  [note] City Garden Ravenstein
  ★ 31.3 km  [see] Ruins of Batenburg  Castle
  ★ 34.0 km  [coffee] Tea Garden Appeltern
  ★ 34.3 km  [note] Steam Pump "De Tuut"
  ★ 37.7 km  [coffee] Strand Goud
  ★ 40.9 km  [food] Ice Cream Clevers
  ★ 50.7 km  [ferry] Ferry Alphen - Lith
  ★ 51.1 km  [convenience_store] Bakery Lith, coffee
  ★ 51.5 km  [stop] Pick up lock Lith
