DAG 1 AMSTERDAM    15.9 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn left onto Mokerstraat
    0.5 km   Turn slight right onto Meeuwenlaan
    0.6 km   Turn right onto Meeuwenlaan
    0.6 km   Turn right
    0.8 km   Turn slight right
    1.2 km   Turn left onto Meeuwenlaan
    1.2 km   Turn right onto Nieuwendammerdijk (follow 1.8 km)
    3.0 km   Turn slight left onto Nieuwendammerdijk
    3.4 km   Turn right
    3.5 km   Continue onto Schellingwouderdijk (follow 1.0 km)
    4.5 km   Turn left onto Liergouw
    4.7 km   Turn sharp right (follow 2.8 km)
    7.6 km   Turn left
    7.6 km   Turn right
    8.0 km   Turn left onto Kramatweg
    8.3 km   Turn left onto Sumatrastraat
    8.6 km   Turn left onto Molukkenstraat
    9.2 km   Turn right onto Galileïplantsoen
    9.3 km   Turn left onto Galileïplantsoen
    9.4 km   Turn right
    9.6 km   Turn sharp left onto Linnaeusparkweg
    9.7 km   Turn right onto Fraunhoferstraat
    9.9 km   Turn left onto Middenweg
   10.0 km   Turn left onto Wethouder Frankeweg
   10.0 km   Turn slight right onto Hugo de Vrieslaan
   10.3 km   Turn right
   10.7 km   Turn left
   11.5 km   Turn left onto Prins Bernhardplein
   11.6 km   Turn slight right onto Meester Treublaan
   11.9 km   Turn right
   11.9 km   Turn sharp left
   12.1 km   Continue onto Weesperzijde
   12.9 km   Turn slight right onto Weesperzijde
   13.4 km   Turn right onto Prof. Tulpplein
   13.5 km   Turn left onto Sarphatistraat
   13.6 km   Turn right onto Amstel
   14.1 km   Turn left onto Nieuwe Keizersgracht
   14.3 km   Turn left onto Weesperstraat
   14.3 km   Turn left onto Nieuwe Keizersgracht
   14.7 km   Turn right onto Plantage Middenlaan
   14.8 km   Turn left onto Plantage Kerklaan
   15.2 km   Turn right onto Entrepotdok
   15.2 km   Turn left onto Binnenkadijk
   15.2 km   Turn left onto Laagte Kadijk
   15.2 km   Turn right onto Tussen Kadijken
   15.3 km   Turn sharp left onto Hoogte Kadijk
   15.4 km   Continue onto Kadijksplein
   15.5 km   Turn left onto Kadijksplein
   15.5 km   Turn right onto Kadijksplein
   15.6 km   Turn right onto Foeliedwarsstraat
   15.6 km   Turn sharp right
   15.7 km   Turn sharp left onto Prins Hendrikkade
   15.8 km   Turn right
   15.8 km   Turn right
   15.9 km   Turn sharp right
