DAG 3 HAARLEM - AMSTERDAM    31.0 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn right onto Bakenessergracht
    0.2 km   Keep right onto Spaarne
    0.9 km   Turn left
    1.2 km   Turn left onto Zomervaart
    1.8 km   Turn left
    1.8 km   Turn right onto Zomerkade
    1.9 km   Make a U-turn onto Zomerkade
    2.1 km   Turn left onto Prins Bernhardlaan
    2.8 km   Turn slight right
    2.8 km   Turn right onto Amsterdamsevaart
    3.5 km   Turn left onto Camera Obscuraweg
    4.3 km   Turn right
    4.4 km   Turn slight right onto A. Hofmanweg, r106
    4.6 km   Turn right onto Oudeweg, r106
    5.4 km   Turn left onto Lagedijk
    5.8 km   Turn right onto Mooie Nelpad
    6.2 km   Turn left onto Zijlweteringpad
    6.5 km   Turn right (follow 1.1 km)
    7.6 km   Turn right onto Kerkpad
    7.6 km   Turn left onto Kruitpad
    8.0 km   Turn slight left onto Ringweg
    8.0 km   Turn right onto Ringweg (follow 1.0 km)
    9.0 km   Turn right onto Inlaagpolder, r104
    9.0 km   Turn left onto Ringweg (follow 1.2 km)
   10.2 km   Turn right
   10.2 km   Turn right onto Inlaagse Dijk
   11.1 km   Make a U-turn
   12.0 km   Turn left
   12.0 km   Turn right (follow 1.6 km)
   13.6 km   Turn left onto Middenweg
   14.5 km   Turn left onto Kaapstadweg
   14.8 km   Turn right onto Westpoortweg (follow 4.5 km)
   19.2 km   Turn right
   20.2 km   Turn left (follow 1.7 km)
   21.9 km   Turn right
   22.0 km   Turn slight right
   22.2 km   Continue onto Seineweg
   22.3 km   Turn left onto Brettenpad (follow 1.0 km)
   23.3 km   Turn left
   23.5 km   Turn right
   24.3 km   Turn right
   24.5 km   Turn left onto Haarlemmerweg
   24.6 km   Turn slight right onto Haarlemmerweg (follow 2.2 km)
   26.8 km   Turn left onto Nassauplein
   27.0 km   Turn slight right onto Haarlemmerdijk
   27.5 km   Turn sharp left onto Korte Prinsengracht
   27.6 km   Keep left onto Westerdokskade
   27.9 km   Turn right onto De Ruijterkade
   28.4 km   Turn left onto Pontplein
   28.4 km   Continue onto Buiksloterwegveer, F3
   28.7 km   Continue onto Buiksloterweg
   29.1 km   Turn right
   29.1 km   Continue onto Buiksloterweg
   29.7 km   Turn sharp right onto Hagedoornplein
   30.0 km   Continue onto Motorwal
   30.2 km   Turn right onto Motorkade
   30.4 km   Turn sharp right onto Meeuwenlaan
   30.4 km   Turn left onto Meeuwenlaan
   30.4 km   Keep right onto Schaafstraat
   30.9 km   Turn right
