DAG 3 MAG X: EVERGEM - GENT CITY (6,4 KM)    6.4 km    · signs & notes only ·

DIRECTIONS
    0.5 km   Rechtsaf naar Kaleweg
    0.8 km   Ga rechtdoor
    0.8 km   Linksaf
    1.3 km   Houd rechts aan naar Henri Storystraat
    1.3 km   Houd links aan naar Eeklostraat (follow 2.0 km)
    3.3 km   Rechtsaf naar Wittelinkstraat / Eeklostraat
    3.6 km   Linksaf
    3.9 km   Linksaf naar Groendreef (follow 1.4 km)
    5.3 km   Houd links aan naar Bargiebrug
    5.3 km   Houd rechts aan naar Noordstraat
    5.4 km   Houd links aan naar Noordstraat (follow 1.0 km)
    6.4 km   Linksaf
    6.4 km   Linksaf naar Pakhuisstraat
