DAG 5 NW TWISK MEDEMBLIK    8.7 km    · signs & notes only ·

DIRECTIONS
    1.8 km   Houd links aan
    1.9 km   Houd links aan naar Westeinde (follow 1.1 km)
    3.0 km   Rechtsaf naar Julianastraat
    3.4 km   Rechtsaf naar Noorderpad
    3.6 km   Linksaf naar De Markt
    3.8 km   Linksaf naar Noorderpad
    4.5 km   Rechtsaf naar Oosteinde
    5.3 km   Linksaf
    5.3 km   Houd rechts aan
    5.5 km   Houd rechts aan naar Westerdijk, N240
    5.5 km   Linksaf
    6.1 km   Linksaf naar Westerdijk, N240
    6.1 km   Blijf op Westerdijk, N240
    6.1 km   Rechtsaf naar Overtoom
    6.1 km   Rechtsaf naar Westerdijk
    6.2 km   Ga rechtdoor
    6.4 km   Rechtsaf naar Kerkplein
    6.4 km   Linksaf naar Kerkplein
    6.5 km   Rechtsaf naar Kerkplein
    6.5 km   Linksaf naar Heerensteeg
    6.6 km   Rechtsaf
    6.6 km   Rechtsaf naar Oude Haven
    6.7 km   Houd rechts aan naar Nieuwstraat
    6.7 km   Rechtsaf naar Kerksteeg
    6.8 km   Linksaf naar Heerensteeg
    6.9 km   Houd links aan naar Kruisstraat
    7.0 km   Linksaf naar Achterom
    7.2 km   Rechtsaf naar Hoedemakerssteeg
    7.2 km   Linksaf naar Westerhaven
    7.3 km   Houd rechts aan naar Hoogesteeg
    7.5 km   Linksaf naar Koningin Emmapark
    7.6 km   Blijf op Koningin Emmapark
    7.8 km   Linksaf naar Koningin Emmapark
    8.1 km   Rechtsaf naar Oudevaartsgat
    8.4 km   Houd links aan naar Oosterdijk
    8.6 km   Linksaf naar Vooroever
