DAG 7 TEGERNSEE - NEUBEUERN    59.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Seehotel Luitpold
    1.4 km   Turn right
    2.2 km   Turn right (follow 1.5 km)
  ★ 2.2 km  [dock/stay] Hotel Alte Post
  ★ 2.2 km  [coffee] Bäckerei Neuner
  ★ 2.2 km  [food] Oberauer Alm
  ★ 2.2 km  [coffee] Bäckerei Luidl
  ★ 2.2 km  [food] Gasthof Zur Brücke — https://www.bruecke-eschenlohe.de/
  ★ 2.2 km  [food] DorfbachstÜberl — Biergarten en restaurant
  ★ 2.2 km  [coffee] Barbara Krönner Konditorei
  ★ 2.2 km  [food] Hofcafë Klostergut
  ★ 2.2 km  [coffee] Lenas café
  ★ 2.2 km  [coffee] Kuchenladen
  ★ 2.2 km  [food] eis und café garten
  ★ 2.2 km  [food] Gasthaus Ludlmühle
  ★ 2.2 km  [food] Café restaurant Park Villa
  ★ 2.2 km  [coffee] Konditorei Mayer
  ★ 2.2 km  [food] Bad Tolz diverse Horeca
  ★ 2.2 km  [bar] Mariensteiner Brauhaus
  ★ 2.6 km  [coffee] Bäckrei Kuhn
  ★ 2.6 km  [coffee] Bäckerei Motzet
  ★ 2.6 km  [food] Käfer groot terrs aan meer — https://www.feinkost-kaefer.de/gutkaltenbrunn
  ★ 3.6 km  [coffee] Bäckerei
    3.7 km   Turn left onto Gasse (follow 41.1 km)
   44.8 km   Turn right
   45.7 km   Turn left toward Waldweg
   45.7 km   Turn left onto Waldweg
   45.8 km   Turn right onto Mooslindlweg (follow 13.9 km)
   59.7 km   Continue onto Marktpl.
  ★ 59.8 km  [dock/stay] Hotel Hofwirt
