DAY6 SENS-GURGY    58.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Sens Mooring
    0.1 km   Leicht links abbiegen
    1.0 km   Dem Straßenverlauf folgen (follow 6.8 km)
    7.7 km   Leicht rechts abbiegen auf Chemin de Halage (follow 1.9 km)
    9.7 km   Rechts halten
   10.2 km   Leicht rechts abbiegen (follow 6.4 km)
   16.6 km   Links halten
   16.7 km   Links halten auf Boulevard Marceau
   16.8 km   Rechts abbiegen auf Faubourg Saint-Nicolas, D 15
  ★ 17.3 km  [coffee] Café's / Restaurants Villeneuve-sur-Yonne
  ★ 17.3 km  [note] Villeneuve
   17.6 km   Rechts abbiegen auf Rue du Port
   17.8 km   Links abbiegen auf Quai des Coches (follow 5.5 km)
   23.3 km   Dem Straßenverlauf von Quai des Pêcheurs folgen
   23.5 km   Rechts halten auf Quai des Sports (follow 1.8 km)
   25.3 km   Rechts halten auf Chemin du Halage
   25.8 km   Dem Straßenverlauf folgen
   26.2 km   Rechts halten auf Chemin de Halage (follow 6.0 km)
   32.3 km   Rechts halten auf Chemin de Halage (follow 2.8 km)
   35.1 km   Leicht links abbiegen auf Quai d'Épizy
   36.0 km   Rechts abbiegen auf Quai du Général Leclerc, D 959
   36.6 km   Im Kreisverkehr Ausfahrt 1 auf D 959 nehmen
   36.8 km   Links abbiegen auf Quai de l'Hôpital
   37.0 km   Links abbiegen auf Chemin de Halage
   37.7 km   Dem Straßenverlauf von Chemin du ponton folgen (follow 5.2 km)
   42.9 km   Dem Straßenverlauf folgen (follow 1.1 km)
   44.0 km   Rechts abbiegen
   44.1 km   Scharf rechts abbiegen auf Rue du Pont, D 181
   44.3 km   Scharf rechts abbiegen auf Quai de l'Yonne (follow 1.1 km)
   45.4 km   Rechts abbiegen
   45.7 km   Rechts abbiegen
   45.9 km   Rechts abbiegen auf D 43
   46.0 km   Rechts abbiegen auf Rue Avant Port
   46.5 km   Rechts abbiegen
   46.7 km   Links abbiegen
   46.8 km   Links halten
   47.2 km   Links abbiegen
   47.5 km   Leicht links abbiegen auf Allée Léo Lagrange
   47.5 km   Rechts abbiegen
   47.7 km   Rechts abbiegen auf Allée des Acacias
   47.7 km   Dem Straßenverlauf folgen
   48.5 km   Rechts abbiegen
   49.4 km   Links halten (follow 1.2 km)
   50.6 km   Rechts halten
   50.6 km   Rechts abbiegen
   51.0 km   Links halten
   51.5 km   Links abbiegen
   51.6 km   Rechts abbiegen
   51.8 km   Links abbiegen (follow 1.0 km)
   52.8 km   Rechts abbiegen
   52.9 km   Links abbiegen (follow 2.6 km)
   55.5 km   Links halten (follow 1.4 km)
   56.9 km   Links halten
   57.0 km   Dem Straßenverlauf folgen
   57.0 km   Rechts abbiegen auf Chemin de Halage
   57.1 km   Links abbiegen auf Chemin de Halage (follow 1.1 km)
   58.1 km   Rechts abbiegen auf D 48
   58.3 km   Links abbiegen auf Chemin du Port
