DAY 10: MAGDEBURG - GENTHIN (55KM)    55.3 km    · signs & notes only ·

DIRECTIONS
    0.9 km   Continue onto Sarajevo-Ufer
    1.7 km   Slight left (follow 1.2 km)
    2.9 km   Turn right onto Zwischenwerkstraße
    3.6 km   Turn left
    3.8 km   Turn right
    4.0 km   Turn left
    4.1 km   Turn right
    4.1 km   Turn right
    4.1 km   Turn left
    4.3 km   Slight right (follow 1.9 km)
    6.2 km   Turn right
    7.0 km   Slight left (follow 1.2 km)
    8.3 km   Continue onto Zum Gerwischer Baggerloch
    8.8 km   Turn right onto August-Bebel-Straße (follow 1.1 km)
    9.9 km   Continue onto Bahnhofstraße
   10.5 km   Turn left onto Breiter Weg/​B1 (follow 6.7 km)
   17.1 km   Turn left onto Chausseestraße (signs for Schermen) (follow 2.5 km)
   19.6 km   Turn left onto B1 (signs for Genthin/​Burg) (follow 3.2 km)
   22.8 km   Continue onto Magdeburger Ch
   23.2 km   At the roundabout, take the 1st exit onto Magdeburger Str.
   23.3 km   Turn left onto Mauerstraße
   23.4 km   Slight right to stay on Mauerstraße
   23.7 km   Turn left onto Schartauer Str.
   23.7 km   Turn right onto Blumenthaler Str.
   24.0 km   Turn right onto Kreuzgang
   24.2 km   Continue onto Unterm Hagen
   25.0 km   Turn left onto Koloniestraße
   25.9 km   Slight left onto Parchauer Ch (follow 1.9 km)
   27.8 km   Continue onto K1208 (follow 5.4 km)
   33.3 km   Turn right onto Berliner Damm
   33.7 km   Continue onto K1208 (follow 3.8 km)
   37.5 km   Turn left onto Breiter Weg (follow 2.6 km)
   40.1 km   Turn left onto Pareyer Str.
   40.5 km   Continue onto L54 (follow 2.8 km)
   43.3 km   Slight right onto Jerichower Str.
   43.4 km   Turn right onto Genthiner Str.
   44.0 km   Continue onto K1205 (follow 3.6 km)
   47.6 km   Turn right
   47.9 km   Continue onto Schleusengang
   48.0 km   Turn left onto Friedenstraße
   48.2 km   Turn right onto Mittelstraße
   48.3 km   Turn left onto Genthiner Str.
   49.0 km   Continue onto K1205 (follow 6.1 km)
   55.1 km   Turn left
   55.2 km   Turn left
   55.2 km   Turn left
