DAY 2 MAG X: MUIDEN - BREUKELEN - LIGPLAATS VREESWIJK (VAN)(X)    57.1 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechtsaf naar Naarderstraat
    0.4 km   Neem afslag 2 naar Weesperweg (follow 3.4 km)
    3.9 km   Sla linksaf naar de Jan Tooropstraat
    4.1 km   Voeg in op de Herensingel
    4.2 km   Sla linksaf naar de Papelaan
    4.3 km   Weg vervolgen naar de Herengracht
    4.5 km   Sla rechtsaf naar de Zwaantjesbrug
    4.5 km   Sla rechtsaf naar de Binnenveer
    4.5 km   Sla linksaf naar de Achtergracht
    4.9 km   Sla linksaf naar de Breedstraat
    4.9 km   Sla linksaf bij de 1e dwarsstraat, de Nieuwstad op
  ★ 5.0 km  [food] Lunch on own in Weesp, gasten krijgen vis van de gidsen aangeboden bij de vishandel. Graag parkeren in de buurt van de vishandel.
    5.2 km   Sla linksaf naar de Binnenveer
    5.3 km   Weg vervolgen naar de Buitenveer
    5.5 km   Sla linksaf naar de Pr. Irenelaan
    5.9 km   Weg vervolgen naar de C.J. van Houtenlaan
    6.2 km   Sla rechtsaf naar de Gooilandseweg/​de N236
    6.9 km   Sla rechtsaf naar de Verlengde Rijnkade
    7.0 km   Sla linksaf naar de Gooilandseweg
    7.2 km   Weg vervolgen naar de Kanaaldijk Oost (follow 3.2 km)
   10.5 km   Sla rechtsaf om op de Kanaaldijk Oost te blijven
   10.6 km   Sla linksaf naar de Vreelandseweg (follow 6.7 km)
   17.2 km   De Nigtevechtseweg draait naar rechts en wordt de Singel
   18.0 km   Sla linksaf naar de Provincialeweg/​de N201
   18.7 km   Sla rechtsaf naar de Boslaan
   19.4 km   Weg vervolgen naar de Oud Over (follow 4.3 km)
   23.6 km   De Mijndensedijk draait iets naar links en wordt het Zandpad
   23.7 km   Sla rechtsaf richting de Rijksstraatweg/​de N402
   23.8 km   Sla linksaf naar de Rijksstraatweg/​de N402 (follow 1.3 km)
   25.1 km   Weg vervolgen naar de Straatweg
   25.9 km   Sla rechtsaf naar de Karel Doormanweg
   26.3 km   Weg vervolgen naar de Schepersweg
   26.5 km   Sla rechtsaf om op de Schepersweg te blijven
  ★ 26.6 km  [note] Ligplaats boot, boot vaart verder naar Nieuwegein / Vreeswijk.
   26.6 km   Sla linksaf om op de Schepersweg te blijven
   26.7 km   Sla linksaf om op de Schepersweg te blijven
   26.8 km   Sla rechtsaf om op de Schepersweg te blijven
   26.9 km   De Schepersweg draait iets naar links en wordt de Heycoplaan
   27.3 km   Sla rechtsaf naar de Straatweg
   28.1 km   Sla rechtsaf richting de Brugoprit
   28.1 km   Voeg in op de Brugoprit (follow 8.4 km)
   36.5 km   Houd links aan en blijf op de A2 (follow 6.9 km)
   43.4 km   Houd rechts aan bij het knooppunt Oudenrijn en volg de borden E30/​E35 richting Arnhem (follow 2.2 km)
   45.6 km   Flauwe bocht naar rechts en voeg in op de A27 richting Houten (follow 8.6 km)
   54.3 km   Neem afslag 28-Nieuwegein richting Nieuwegein
   55.2 km   Houd rechts aan en voeg in op het Waterliniedok
   55.4 km   Flauwe bocht naar links richting het Defensiedok
   55.5 km   Sla linksaf naar het Defensiedok
   55.6 km   Sla rechtsaf naar het Kazernedok
   55.8 km   Sla rechtsaf
   56.0 km   Weg vervolgen naar de Pr. Beatrixsluis
   56.1 km   De Pr. Beatrixsluis draait naar links en wordt de Voorhavendijk
  ★ 57.1 km  [note] ligplaats Vreeswijk
