DAY 4 WITZEEZE LOCK - DONNERSCHLEUSE LOCK    32.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto Schulweg
  ★ 0.0 km  [note] Witzeeze
    0.2 km   Turn right onto Uhlenhorst
    0.3 km   Turn right onto Heideblock
    0.6 km   Turn left onto Dorfstraße
    0.8 km   Turn left onto L 200 (follow 3.3 km)
    4.1 km   Turn right onto Zwischen den Brücken
    4.2 km   Turn left onto Möllner Straße
    4.8 km   At roundabout, take exit 2 onto Möllner Straße
    4.9 km   Turn right
    5.7 km   Turn right onto Möllner Straße (follow 4.9 km)
   10.6 km   Turn right onto Güsterer Weg
   10.7 km   Turn left (follow 4.0 km)
   14.7 km   Turn right onto Möllner Straße (follow 1.6 km)
   16.3 km   Turn right (follow 2.8 km)
   19.1 km   Turn right onto Dorfstraße
   19.4 km   Turn right onto Schulstraße
   19.7 km   Turn left onto Herrenstraße
   20.0 km   Turn sharp right onto Herrenstraße
   20.1 km   Turn right onto Bundesstraße (follow 1.8 km)
   21.8 km   Turn slight right onto Dorfstraße
   22.2 km   Continue onto Bundesstraße (follow 1.1 km)
   23.3 km   Turn left
   23.4 km   Turn slight left onto Alt-Möllner Straße
   24.1 km   Turn left onto Am Bahndamm
   25.1 km   Turn right onto Am Ziegelholz
   25.4 km   Turn right onto Stecknitzweg
   25.5 km   Turn right onto Stecknitzweg
   25.5 km   Turn left onto Lankauer Weg (follow 4.1 km)
   29.6 km   Turn slight right onto Gretenberger Straße
   29.9 km   Turn slight left onto Dorfstraße
  ★ 32.0 km  [ferry] Donnerschleuse
