DAY 5: LUXOR – ESNA    50.4 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Links halten
    0.2 km   Rechts halten
    0.3 km   Scharf rechts abbiegen
    0.7 km   Rechts abbiegen auf Qena, Aswan Road, 25 (follow 1.8 km)
    2.5 km   Turn right (follow 3.1 km)
    5.7 km   Turn left
    5.7 km   Turn right onto Qena, Aswan Road, 25
    5.9 km   Turn right
    6.0 km   Turn left (follow 2.7 km)
    8.6 km   Turn right
    8.9 km   Turn right
    8.9 km   Turn slight left
    9.0 km   Turn left
    9.1 km   Turn right
    9.2 km   Turn left
    9.2 km   Turn right (follow 2.4 km)
   11.6 km   Turn right (follow 3.4 km)
   14.9 km   Turn left
   15.0 km   Turn right (follow 3.7 km)
   18.8 km   Turn right (follow 4.3 km)
   23.1 km   Turn right
   23.2 km   Turn left onto Qena, Aswan Road, 25
   23.9 km   Rechts abbiegen auf Qena, Aswan Road, 25 (follow 1.6 km)
   25.5 km   Links abbiegen
   25.6 km   Rechts abbiegen (follow 1.6 km)
   27.1 km   Leicht rechts abbiegen
   27.2 km   Rechts abbiegen
   27.3 km   Links abbiegen auf Qena, Aswan Road, 25 (follow 16.0 km)
   43.2 km   Rechts abbiegen auf Qena, Aswan Road, 25
   43.3 km   Rechts abbiegen
   43.7 km   Rechts abbiegen
   43.7 km   Links abbiegen (follow 1.0 km)
   44.7 km   Links abbiegen
   45.0 km   Links abbiegen
   45.0 km   Scharf rechts abbiegen (follow 2.0 km)
   47.1 km   Rechts abbiegen
   47.1 km   Rechts abbiegen
   47.2 km   Rechts halten
   47.3 km   Rechts abbiegen (follow 2.0 km)
   49.3 km   Rechts abbiegen
   49.4 km   Links abbiegen
   49.6 km   Rechts abbiegen
   50.3 km   Rechts abbiegen
