DAY 5: ST. AMANDS - ANTWERPEN (VAN)(X)    48.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [parking] Parkeerplaats busje
    0.0 km   Linksaf naar Kaai
    0.1 km   Houd rechts aan naar Oude Kerkstraat
    0.2 km   Rechtsaf naar Emile Verhaerenstraat
    0.2 km   Rechtsaf naar Romain Steppestraat
    0.3 km   Linksaf naar Emmanuel Rollierstraat
    0.4 km   Linksaf naar Kerkhofdries
    0.5 km   Houd rechts aan naar Jan Van Droogenbroeckstraat
    0.7 km   Ga linksaf naar Heikant
    1.5 km   Rechtsaf naar Weertstraat
    2.2 km   Linksaf naar Sint-Jansbeekveld
    2.7 km   Houd rechts aan naar Sint-Jansbeekveld
    2.8 km   Rechtsaf naar Paardenstraat
  ★ 2.8 km  [gas] HVO station
    3.2 km   Rechtsaf naar Droogveldstraat and drive toward Bornem, Branst (follow 1.4 km)
    4.5 km   Ga linksaf naar Beerdonkstraat (follow 1.3 km)
    5.8 km   Blijf op Appeldijkstraat (follow 1.5 km)
    7.3 km   Rechtsaf naar Binnendijkstraat (follow 3.6 km)
   10.9 km   Rechtsaf naar Sas
   11.3 km   Blijf op Sas
   11.7 km   Linksaf naar Rijksweg (follow 1.1 km)
   12.8 km   Houd rechts aan and drive toward Temse, Kruibeke
   13.0 km   Rechtsaf naar Krijgsbaan and drive toward Kruibeke, Steendorp (follow 4.1 km)
   17.1 km   Rechtsaf naar Temsestraat and drive toward Rupelmonde
   17.8 km   Linksaf naar Temsestraat
   17.9 km   Linksaf naar Atlasstraat
   18.2 km   Blijf op Mercatorplein
   18.3 km   Houd links aan
  ★ 18.4 km  [note] Getijdemolen Rupelmonde: drankje en hapje
   18.5 km   Blijf op Mercatorplein
   18.6 km   Rechtsaf naar Geeraard de Cremerstraat and drive toward Antwerpen (follow 1.9 km)
   20.5 km   Rechtsaf naar Steendorpsebaan (follow 3.5 km)
  ★ 21.1 km  [coffee] De Schuur
   24.0 km   Linksaf naar Scheiddam
   24.1 km   Rechtsaf naar Nieuwe Kerkstraat
   24.5 km   Linksaf naar Molenstraat
   24.6 km   Rechtsaf naar Akkerstraat
   25.0 km   Rechtsaf naar Warandestraat
   25.3 km   Houd links aan naar Hollestraat
   26.0 km   Rechtsaf naar Vossenstraat
   27.0 km   Ga rechtsaf naar Heirbaan
   27.9 km   Rechtsaf naar Krijgsbaan (follow 2.0 km)
   29.9 km   Linksaf naar Pastoor Coplaan (follow 1.0 km)
   30.9 km   Houd rechts aan
   31.3 km   Houd links aan
   32.1 km   Houd rechts aan and take E313-E34, E19, A12, toward Eindhoven, Brussel-Breda, Boom, Antwerpen-Centrum (follow 2.5 km)
   34.7 km   Houd rechts aan and drive toward Antwerpen-Centrum Zuid, Boom, Hoboken, BGA
   34.9 km   Houd rechts aan and drive toward Brussel, Boom, Hoboken, Singel
   35.8 km   Houd rechts aan
   36.1 km   Rechtsaf naar Kolonel Silvertopstraat
   36.3 km   Rechtsaf (follow 3.4 km)
   39.7 km   Houd rechts aan naar R1 and take R1, , , N420, , toward Rotterdam, Brugge, Haven, Zwijndrecht, Antwerpen-Linkeroever, P+R
   40.0 km   Houd rechts aan and take N420 toward Zwijndrecht, Antwerpen-Linkeroever, P+R
   40.5 km   Houd links aan and take N420 toward Zwijndrecht
   40.6 km   Ga linksaf and take E313-E34, E19, A12, toward Eindhoven, Brussel-Breda, Boom, Antwerpen-Centrum (follow 2.5 km)
   43.1 km   Houd rechts aan and drive toward Antwerpen-Centrum Zuid, Boom, Hoboken, BGA
   43.3 km   Houd links aan and drive toward Centrum Zuid (follow 1.8 km)
   45.1 km   Linksaf naar Montignystraat
   45.2 km   Blijf op Graaf van Hoornestraat
   45.4 km   Houd rechts aan naar Leopold de Waelplaats
   45.6 km   Houd links aan naar Leopold de Waelplaats
   45.6 km   Rechtsaf naar Graaf van Egmontstraat
   45.9 km   Linksaf naar Scheldestraat
   46.1 km   Rechtsaf naar Sint-Michielskaai (follow 2.7 km)
   48.8 km   Rechtsaf naar Sluisstraat
  ★ 48.8 km  [gas] HVO Station
