DAY 9 MAG X: BREUKELEN - MUIDEN (VAN)(X)    48.4 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [gas] HVO station
    0.8 km   Sla rechtsaf naar de Amerikalaan
    1.1 km   Sla linksaf naar de Marco Pololaan
    1.2 km   Neem op de rotonde de 1ste afslag naar de Churchilllaan
    1.5 km   Sla linksaf naar de Beneluxlaan
    2.4 km   Sla linksaf de oprit op naar Amsterdam/​'s-Hertogenbosch/​Den Haag/​Arnhem/​A2/​A12
    2.7 km   Ga rechtdoor op de Dominee Martin Luther Kinglaan
    3.4 km   Sla rechtsaf de oprit naar A2 op richting Amsterdam (follow 7.1 km)
   10.5 km   Voeg in op de A2 (follow 8.3 km)
   18.9 km   Sla linksaf naar de Heycoplaan
   19.3 km   Sla linksaf richting de Wilhelminastraat
  ★ 19.4 km  [parking] Ligplaats schip, fietsers fietsen vanaf hier naar Amsterdam.
   19.4 km   Weg vervolgen naar de Wilhelminastraat
   19.5 km   Sla linksaf naar de Eendrachtlaan
   19.9 km   Sla linksaf naar de Straatweg (follow 1.4 km)
   21.3 km   Weg vervolgen naar de Rijksstraatweg/​de N402 (follow 5.5 km)
   26.8 km   Linksaf naar Provincialeweg and take N201 toward Loenersloot, Haarlem, Amsterdam, Utrecht (follow 1.7 km)
   28.5 km   Rechtsaf naar A2 and take A2 toward Amsterdam (follow 7.8 km)
   36.3 km   Houd rechts aan naar A2 and take A9 toward Amersfoort, Almere (follow 1.4 km)
   37.7 km   Houd rechts aan naar Gaasperdammerweg (follow 6.5 km)
   44.2 km   Houd rechts aan naar A1 and drive toward Muiden, Weesp (follow 1.3 km)
   45.5 km   Houd rechts aan naar A1 and drive toward Muiden, Weesp
   45.9 km   Houd links aan naar A1
   45.9 km   Linksaf naar Mariahoeveweg (follow 1.4 km)
   47.3 km   Linksaf naar Weesperweg
   47.9 km   Neem afslag 1 naar Amsterdamsepoort
   48.4 km   Linksaf naar Vestingplein
  ★ 48.4 km  [note] Busje ontmoet hier de nieuwe gasten met koffie en koek.
