DEINZE - BRUGES    63.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Barge Deinze
    0.0 km   Continue onto Sint-Poppoplein
    0.0 km   Turn right
    0.1 km   Turn right onto Tolpoortstraat
    0.7 km   At roundabout, take exit 3 onto Vaart Rechteroever
    0.8 km   Keep right onto Krommebrug
    1.1 km   Turn slight right onto Vaart Linkeroever (follow 2.0 km)
    3.1 km   Turn right onto Leimeersstraat
    3.3 km   Turn left onto Leimeersstraat (follow 2.4 km)
    5.7 km   Turn left onto Landuytstraat
    5.9 km   Turn right onto Grijsbulckstraat
    5.9 km   Turn left onto Grotendries
    6.4 km   Continue onto Goedstraat
    7.3 km   Turn left onto Dentergemstraat
    8.0 km   Turn right onto Tabakstraat (follow 1.1 km)
    9.1 km   Turn right onto Houtbulkstraat
    9.1 km   Turn left onto Houtbulkstraat
    9.9 km   Turn sharp left onto Wontergemstraat
   10.6 km   Turn slight left onto Hogenhovestraat
   10.8 km   Turn right onto Appelstraat (follow 2.4 km)
   13.2 km   Turn left onto Karmstraat (follow 1.5 km)
   14.7 km   Turn sharp right onto Dentergemstraat
   15.3 km   Turn left onto Mankemerriestraat
   15.4 km   Turn slight right onto Dentergemstraat (follow 1.7 km)
   17.1 km   Turn slight left onto Ventweg
   17.2 km   Turn left onto Dentergemstraat
   17.5 km   Turn left onto Klijtenstraat
   18.1 km   Turn right onto Beernegemstraat
   19.0 km   Turn right onto Rameplein
   19.0 km   Turn left onto Rameplein
   19.1 km   Turn slight right onto Nieuwstraat
   19.2 km   Turn left onto Markt
   19.3 km   Turn right
  ★ 19.3 km  [coffee] Several cafes
   19.4 km   Keep right onto Tramstraat
   19.7 km   Turn right
   19.7 km   Turn right
   20.1 km   Turn slight left (follow 1.8 km)
   21.9 km   Turn right onto Boekboomstraat
   22.6 km   Turn left onto Kanegemstraat (follow 3.0 km)
   25.7 km   Continue onto Kanegem-Dorp
   25.8 km   Turn right onto Kanegem-Dorp
   25.9 km   Continue onto Oosthoekstraat (follow 1.2 km)
   27.0 km   Turn right onto Oosthoekstraat
   27.5 km   Turn left onto Mooremandestraat (follow 1.4 km)
   28.9 km   Keep right onto Kanegemsestraat
   29.9 km   Keep right onto Vinktsestraat and drive toward Aarsele, Vinkt
   30.2 km   Turn sharp left onto Beekstraat and drive toward Lotenhulle
   31.0 km   Turn sharp left
  ★ 31.0 km  [see] Kasteel van Poeke
   31.3 km   Keep left onto Poekedorpstraat
   31.6 km   Turn slight right onto Ruiseleedsestraat (follow 2.7 km)
  ★ 31.6 km  [coffee] Cafe De Tijl
   34.2 km   Turn left
   34.3 km   Turn left
   34.3 km   Turn slight right onto Poekestraat
   35.1 km   Turn right onto Verlovestraat
   35.2 km   Turn left onto A. Rodenbachstraat
   35.3 km   Turn slight left onto Markt
   35.4 km   Turn right onto Markt
   35.8 km   Turn right onto Bruggestraat (follow 2.0 km)
   37.8 km   Keep right onto Bruggesteenweg
   37.8 km   Turn sharp left onto Bruggesteenweg
   37.9 km   Turn sharp left onto Bruggesteenweg
   38.2 km   Turn left onto Wingenesteenweg (follow 1.1 km)
   39.3 km   Turn right onto Brandstraat (follow 2.1 km)
   41.4 km   Turn left onto Bruggesteenweg (follow 1.8 km)
   43.2 km   Turn left onto Sint Pietersveld
   43.6 km   Turn right onto Sint Pietersveld (follow 2.2 km)
   45.8 km   Turn right onto Scheiddreef
   46.0 km   Turn left
   46.5 km   Turn left onto Scheiddreef
   47.5 km   Turn right
   48.1 km   Turn left
   48.3 km   Turn sharp left
   48.4 km   Turn right (follow 1.2 km)
  ★ 48.9 km  [note] Bulskampveld
   49.6 km   Turn left onto Heirweg (follow 2.3 km)
   51.9 km   Keep right onto Stuivenbergstraat
   52.3 km   Turn right onto Bornebeekstraat (follow 1.3 km)
   53.6 km   Turn left onto Gevaerts-Zuid (follow 3.0 km)
   56.7 km   Turn slight right
  ★ 56.8 km  [note] Canadia War Memorial
   56.8 km   Turn sharp right
   56.8 km   Turn left onto Westdijk (follow 3.0 km)
   59.8 km   Turn right
   60.1 km   Turn left
   60.2 km   Turn right onto Tragelweg (follow 2.2 km)
   62.4 km   Turn left onto Katelijnebrug
   62.4 km   Turn left; for city center go straight
  ★ 62.4 km  [note] Center Bruges
   62.8 km   Turn left
  ★ 63.0 km  [dock/stay] Mooring Bruges
