DELFT - ROTTERDAM    41.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [see] Royal Delft
    0.1 km   Blijf op Hooikade
    0.1 km   Rechtsaf naar Houttuinen
    0.4 km   Blijf op Houttuinen
  ★ 0.7 km  [food] Restaurants / cafés Delft
  ★ 0.7 km  [food] Several restaurants and cafés
    0.7 km   Linksaf naar Bolwerk
    0.7 km   Blijf op Sint Cornelisbrug
    0.8 km   Linksaf naar Spoorsingel
    0.8 km   Rechtsaf naar Buitenwatersloot
    1.6 km   Rechtsaf naar Mosjesbrug
    1.6 km   Linksaf naar Buitenwatersloot
    1.7 km   Houd links aan naar Buitenwatersloot
    2.6 km   Linksaf naar De Bolle Kickert
    2.8 km   Rechtsaf naar Kapellaan
    2.9 km   Linksaf naar Tanthofkade
    3.0 km   Rechtsaf
    3.1 km   Ga rechtsaf naar Zuidhoornseweg
    3.3 km   Blijf op Zuidhoornseweg (follow 2.4 km)
  ★ 5.7 km  [coffee] Café Indigo Schipluiden
    5.7 km   Rechtsaf naar Zouteveensebrug
    5.8 km   Linksaf naar Dorpsstraat
    6.1 km   Houd rechts aan naar Dorpsstraat
    6.1 km   Linksaf naar Gaagweg, N468
    6.2 km   Rechtsaf naar Hodenpijlsepad
    6.9 km   Rechtsaf
    6.9 km   Linksaf naar Dorppolderweg (follow 2.0 km)
    8.9 km   Linksaf
    9.6 km   Rechtsaf naar Berckenrode
    9.7 km   Linksaf naar Potterpad
    9.8 km   Houd rechts aan naar Kreekrug
   10.8 km   Houd rechts aan
   10.9 km   Linksaf naar Kralingerpad
   11.3 km   Rechtsaf naar Scheeweg (follow 1.5 km)
   12.8 km   Ga rechtsaf naar Weidepad (follow 1.1 km)
   13.9 km   Houd links aan
   14.0 km   Rechtsaf naar Molenweide
   14.0 km   Linksaf
   14.2 km   Linksaf naar Molenweide
   14.3 km   Linksaf naar Prinses Beatrixlaan
   14.4 km   Rechtsaf naar Prinses Irenelaan
   14.5 km   Linksaf naar Langetaam
   14.6 km   Rechtsaf naar 's-Herenstraat
   14.7 km   Houd rechts aan naar 's-Herenstraat
   15.0 km   Houd links aan naar Meester Postlaan
   15.0 km   Rechtsaf naar Meester Postlaan
   15.1 km   Rechtsaf naar Pastoor Riswickdreef
   15.3 km   Rechtsaf naar Hofsingel
   15.4 km   Linksaf naar Kerkweg
   15.9 km   Rechtsaf naar Nieuw Huis ter Lucht
   15.9 km   Rechtsaf naar Kerkweg
   16.1 km   Ga linksaf naar Trekkade
   16.2 km   Linksaf
   16.2 km   Linksaf naar Trekkade
   16.4 km   Blijf op Trekkade
   17.3 km   Rechtsaf naar Trekkadepad (follow 2.7 km)
   20.0 km   Houd links aan
   20.8 km   Rechtsaf
   20.9 km   Rechtsaf naar Vlaardingsekade
   21.1 km   Houd links aan naar Vlaardingsekade
   21.5 km   Houd links aan naar Vlaardingsekade
   21.7 km   Houd links aan naar Vlaardingsekade
   22.2 km   Linksaf naar Vlietweg
   23.0 km   Linksaf naar Vroonweerseweg
   23.5 km   Linksaf naar Holyweg
   24.0 km   Rechtsaf naar Woudweg
   24.3 km   Blijf op Woudweg
   25.1 km   Rechtsaf naar Woudhoekpad
   25.7 km   Linksaf (follow 1.7 km)
   27.5 km   Rechtsaf naar Groeneweg
   27.7 km   Linksaf naar Kerkweg
   27.7 km   Rechtsaf naar Joppepad
   28.2 km   Houd rechts aan naar Joppepad
   28.6 km   Ga rechtsaf naar Joppelaan
   28.8 km   Rechtsaf naar Windas
   29.0 km   Houd links aan
   29.1 km   Ga rechtsaf
   29.1 km   Rechtsaf
   29.1 km   Rechtsaf
   29.1 km   Ga rechtdoor
   29.2 km   Linksaf
   29.2 km   Rechtsaf
   29.3 km   Linksaf
   29.3 km   Linksaf
   30.3 km   Linksaf naar Parkweg
   30.5 km   Houd rechts aan
   30.9 km   Linksaf naar Hugo de Grootstraat
   30.9 km   Linksaf
   31.0 km   Linksaf naar Willem Passtoorsstraat
   31.0 km   Linksaf
   31.6 km   Rechtsaf naar Noordvest
   31.9 km   Houd links aan naar Vellevest
   32.0 km   Ga linksaf naar Vlaardingerstraat
   32.1 km   Rechtsaf naar Dam
   32.2 km   Linksaf naar Prinsensteeg
   32.2 km   Linksaf naar Dam
   32.4 km   Rechtsaf naar Hoogstraat
   32.9 km   Houd links aan naar Koemarkt
   33.0 km   Rechtsaf naar Koemarkt
   33.0 km   Linksaf naar Rotterdamsedijk
   33.6 km   Keer om naar Rotterdamsedijk (follow 1.9 km)
   35.5 km   Rechtsaf naar Marconiplein
   35.5 km   Houd links aan naar Vierhavensstraat (follow 1.4 km)
   37.0 km   Rechtsaf naar Westzeedijk
   37.0 km   Linksaf naar Westzeedijk
   37.4 km   Houd rechts aan naar Westzeedijk (follow 1.1 km)
   38.5 km   Ga rechtsaf
   38.6 km   Rechtsaf naar Baden Powelllaan
   38.8 km   Linksaf naar Baden Powelllaan
   38.9 km   Keer om naar Baden Powelllaan
   38.9 km   Rechtsaf naar Baden Powelllaan
   39.1 km   Houd rechts aan naar Baden Powelllaan
   39.1 km   Houd links aan naar Baden Powelllaan
   39.2 km   Houd links aan naar Parkkade
   39.2 km   Rechtsaf naar Parkkade
   40.2 km   Rechtsaf naar Westplein
   40.3 km   Ga linksaf naar Westplein
   40.4 km   Ga linksaf naar Westplein
   40.5 km   Linksaf naar Veerhaven
   40.5 km   Ga linksaf naar Westplein
   40.6 km   Ga linksaf naar Westplein
   40.7 km   Houd rechts aan naar Van Vollenhovenstraat
   40.9 km   Rechtsaf naar Vasteland
   41.2 km   Blijf op Vasteland
   41.8 km   Linksaf naar Boompjes
   41.8 km   Linksaf naar Rederijstraat
   41.8 km   Linksaf naar Terwenakker
  ★ 41.8 km  [convenience_store] Market Hall
  ★ 41.9 km  [dock/stay] SHIP
