DEN HELDER - SINT MAARTENSVLOTBRUG (ÜBER DIE KÜSTE)    26.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Den Helder
    0.2 km   Links abbiegen auf Havenweg
    0.3 km   Rechts halten auf Havenweg
    0.3 km   Dem Straßenverlauf von Havenweg folgen
    0.3 km   Rechts abbiegen auf Binnenhaven
    0.4 km   Links abbiegen auf Binnenhaven
    0.4 km   Rechts abbiegen auf Achterbinnenhaven
    0.8 km   Rechts abbiegen auf Nieuwe Brugstraat
    1.2 km   Links abbiegen auf Beatrixstraat
    1.5 km   Rechts abbiegen auf Beatrixstraat
    1.5 km   Links halten
    1.6 km   Rechts abbiegen auf Beatrixstraat
    1.8 km   Links abbiegen
    2.5 km   Rechts abbiegen auf Timorlaan
    2.6 km   Dem Straßenverlauf von Timorlaan folgen
    2.7 km   Links abbiegen auf Huisduinerweg
    2.9 km   Rechts halten auf Huisduinerweg
    3.2 km   Rechts abbiegen auf Grasdijk (follow 1.1 km)
    4.3 km   Links abbiegen auf Zeeweg
  ★ 4.4 km  [see] Lighthouse
    4.7 km   Dem Straßenverlauf von Zeeweg folgen
  ★ 5.1 km  [see] Fort Kijkduin
    5.2 km   Links abbiegen auf Grafelijkheidsweg (follow 1.4 km)
    6.5 km   Rechts abbiegen auf Tapuitenpad
    6.7 km   Links halten auf Tapuitenpad
    7.6 km   Rechts abbiegen auf Noordduinpad (follow 3.0 km)
  ★ 10.5 km  [coffee] Beach Pavilion "Zee van Tijd"
  ★ 10.5 km  [restroom] toilet
   10.6 km   Links abbiegen (follow 1.1 km)
   11.7 km   Rechts abbiegen auf Strandslag Julianadorp
   11.7 km   Links halten auf Noordduinpad (follow 1.5 km)
  ★ 11.9 km  [restroom] toilet
  ★ 11.9 km  [bike_parking] Bike Parking
  ★ 11.9 km  [coffee] Beach pavilion "Paal 6"
   13.2 km   Leicht links abbiegen
   13.3 km   Rechts abbiegen auf Noordduinpad (follow 1.7 km)
  ★ 13.3 km  [food] Cafetaria Duinzicht
   15.0 km   Dem Straßenverlauf von Noordduinpad folgen
  ★ 15.7 km  [food] De Princen Keet
   15.9 km   Leicht rechts abbiegen auf Duinweg (follow 2.9 km)
   18.7 km   Dem Straßenverlauf von Dorpsweg folgen
   19.1 km   Leicht links abbiegen auf Dorpsplein
  ★ 19.2 km  [restroom] toilet
  ★ 19.3 km  [food] Callantsoog: restaurants, bakery, ice cream
   19.3 km   Links abbiegen auf Kerkplein
   19.4 km   Leicht links abbiegen
   19.7 km   Links abbiegen auf Zuidschinkeldijk (follow 1.6 km)
   21.2 km   Dem Straßenverlauf folgen (follow 4.0 km)
   25.3 km   Links abbiegen
  ★ 25.3 km  [food] Beach Pavilion Zuid
   25.3 km   Rechts halten auf Zeeweg
   25.5 km   Dem Straßenverlauf von Zeeweg folgen (follow 1.2 km)
   26.7 km   Links abbiegen
   26.8 km   Rechts abbiegen
   26.8 km   Links abbiegen
  ★ 26.9 km  [dock/stay] Drop off ship
