DEN OEVER - MEDEMBLIK    42.1 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Turn left onto Haventerrein
    0.3 km   Turn right onto Havenstraat
    0.4 km   Turn left onto Nijverheidsstraat
    0.4 km   Turn right onto Noorderoeverdijk
    0.9 km   Turn right onto Hofstraat
    1.2 km   Turn right onto Molgerdijk
    1.2 km   Turn left
    1.3 km   Turn right onto Molgerdijk
    1.4 km   Turn slight right
    1.9 km   Turn slight left onto Gemeenelandsweg
    2.4 km   Turn right onto Vatropperweg
    2.7 km   Keep left onto Bierdijk (follow 1.4 km)
    4.1 km   Turn right onto Stroeërweg (follow 1.5 km)
    5.5 km   Turn left onto Batumweg
    5.6 km   Turn right onto Noordburendwarsweg
    6.4 km   Turn left onto Noordburenweg
    7.1 km   Turn right onto Noorderlaan
    7.5 km   Turn left onto Kremersweg
    8.0 km   Turn right onto Nieuwstraat
    8.3 km   Turn left onto Koningstraat
    8.4 km   Turn right onto Koogerweg
    8.5 km   Turn right
    8.7 km   Turn right onto Koningin Julianalaan (follow 1.5 km)
   10.1 km   Turn right (follow 1.9 km)
   12.0 km   Turn left onto Hoelmerdijk
   12.8 km   Turn sharp left onto Slootweg, N240
   13.0 km   Keep right onto Slootweg
   13.1 km   Turn sharp right onto Slootweg (follow 1.1 km)
   14.2 km   Turn left onto Schelpenbolweg (follow 5.7 km)
   19.9 km   Turn right onto Schelpenbolweg
   20.3 km   Turn right
   20.4 km   Turn right onto Oom Keesweg (follow 1.1 km)
   21.4 km   Continue onto Terpstraat
   22.1 km   Turn left
   22.1 km   Turn right onto Ingenieur Krijnstraat
   22.2 km   Turn right
   22.4 km   Turn left (follow 4.6 km)
   26.9 km   Turn left onto Korenstraat (follow 1.9 km)
   28.8 km   Turn right onto Zeugweg (follow 1.8 km)
   30.7 km   Turn right onto Noorderdijkweg
   30.8 km   Turn left onto Noorderdijkweg (follow 1.0 km)
   31.8 km   Turn left onto Noorderdijkweg (follow 9.2 km)
   41.0 km   Turn left onto Medemblikkersluisweg
   41.2 km   Turn slight left onto Medemblikkersluisweg, N240
   41.2 km   Turn left onto Overtoom
   41.6 km   Turn slight right onto Nieuwstraat
   41.9 km   Turn left onto Gedempt Achterom
   42.0 km   Turn slight right onto Waaigat
   42.0 km   Turn sharp left onto Oosterhaven
