DENDERMONDE - GENT (LOVENDEGEM)    54.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Dendermonde
    0.0 km   Start Radtour; Wasser zur rechten Seite (follow 1.6 km)
    1.6 km   Rechts; Schleuse überqueren zum Knotenpunkt 87
    1.7 km   Rechts; Wasser zur rechten Seite zum Knotenpunkt 77
    2.6 km   Rechts zum Knotenpunkt 77 (follow 1.9 km)
    4.6 km   Schräg rechts (follow 2.6 km)
    7.2 km   Rechts über Brücke
  ★ 7.2 km  [ferry] Ferry Appels — not operating at 12:30h
  ★ 7.3 km  [ferry] Ferry Appels
    7.4 km   Rechts zum Knotenpunkt 76
    7.5 km   Schräg rechts
    7.6 km   Geradeaus zum Knotenpunkt73
    8.2 km   Schräg rechts
    8.5 km   Schräg links (follow 1.9 km)
   10.4 km   Links zum Knotenpunkt 72
   10.5 km   Rechts auf Damweg (follow 1.1 km)
   11.6 km   Links zum Knotenpunkt 66
   12.2 km   Rechts zum Knotenpunkt 66
   12.8 km   Links zum Knotenpunkt 66
   13.1 km   Rechts und direkt links zum Knotenpunkt 66
   13.3 km   Rechts zum Knotenpunkt 44
   13.8 km   Links
  ★ 13.8 km  [bar] Café Elvira Donk
  ★ 13.8 km  [coffee] Café Donk
  ★ 14.1 km  [coffee] Café Donk
   14.2 km   Geradeaus zum Knotenpunkt 44
   14.8 km   Links und direkt rechts auf Paepenbogtstraatje
   15.3 km   Schräg rechts
   15.7 km   Links zum Knotenpunkt 39 (follow 1.2 km)
   16.9 km   Rechts zum Knotenpunkt 39
   17.2 km   Links zum Knotenpunkt 39 (follow 1.2 km)
   18.4 km   Geradeaus zum Knotenpunkt 31
   19.3 km   Links auf Kalkendorp zum Knotenpunkt 31
   19.4 km   Schräg rechts (follow 1.3 km)
   20.8 km   Links abbiegen zum Knotenpunkt 29
   20.8 km   Rechts abbiegen zum Knotenpunkt 29 (follow 1.1 km)
  ★ 21.7 km  [see] Flower fields in summer Laarne
   22.0 km   Rechts abbiegen zum Knotenpunkt 25
   22.6 km   Schräg rechts; Straße überqueren
   22.7 km   Schräg links auf Zevensterstraat zum Knotenpunkt 25
   23.5 km   Links zum Knotenpunkt 25
   23.8 km   Schräg links auf Kerkstraat zum Knotenpunkt 24
   24.2 km   Schräg links
   24.6 km   Rechts auf Schoolstraat zum Knotenpunkt 24
   24.7 km   Links
   25.0 km   Geradeaus zum Knotenpunkt 21
  ★ 25.0 km  [coffee] Café De Fonteyn Laarne
  ★ 25.0 km  [coffee] Café's and frites Laarne — Near church
   25.2 km   Links
   25.2 km   Rechts auf Radweg zum Knotenpunkt 21
   25.8 km   Links
  ★ 25.8 km  [see] Castle Laarne
   25.9 km   Schräg rechts (follow 1.3 km)
   27.3 km   Schräg rechts
   27.7 km   Links zum Knotenpunkt 22
   28.0 km   Links (follow 1.3 km)
   29.3 km   Links zum Knotenpunkt 24zum Knotenpunkt 22
   29.5 km   Links
   30.2 km   Schräg rechts zum Knotenpunkt 22
   30.3 km   Geradeaus auf D'Haenestraat zum Knotenpunkt 22
   30.8 km   Schräg rechts auf Scheldekant zum Knotenpunkt 12 (follow 2.1 km)
   32.9 km   Geradeaus zum Knotenpunkt 07 (follow 1.1 km)
   34.0 km   Rechts abbiegen; Vorsicht: gefährliche Strasse
   34.0 km   Links abbiegen zum Knotenpunkt 05
   34.4 km   Scharf rechts
   34.7 km   Links abbiegen auf Radweg
   34.9 km   Schräg rechts zum Knotenpunkt 05
   35.6 km   Rechts abbiegen zum Knotenpunkt 05
   35.9 km   Rechts abbiegen
   36.2 km   Geradeaus weiterfahren
   36.4 km   Schräg links
   36.6 km   Geradeaus weiterfahren zum Knotenpunkt 05
   36.7 km   Links abbiegen (follow 2.7 km)
   39.4 km   Geradeaus weiterfahren (follow 1.2 km)
   40.6 km   Schräg rechts
   41.2 km   Rechts über Brücke zum Knotenpunkt 05
   41.2 km   Schräg links
   41.3 km   Schräg rechts über die Brücke zum Knotenpunkt 04
  ★ 41.3 km  [dock/stay] Mooring Ghent Merelbeke
   41.5 km   Schräg rechts auf Visserij, water on your R (follow 1.1 km)
   42.6 km   Links Brücke überqueren und direkt rechts zum Knotenpunkt 04
   42.8 km   Rechts auf Veerkaai
   42.9 km   Rechts Brücke überqueren und direkt links
   43.0 km   Links wasser zur linken Seite
   43.4 km   Rechts zum Zentrum; geradeaus zum Schiff
   43.5 km   Rechts auf Henegouwenstraat zum Knotenpunt 04
  ★ 43.6 km  [note] Ghent historical center
  ★ 43.9 km  [bike_parking] Bike Parking Ghent Center
   44.0 km   Links auf Ajuinlei zum Knotenpunkt 04
   44.6 km   Rechts auf Radweg zum Knotenpunkt 50
   45.4 km   Schräg rechts; Wasser folgen (follow 2.6 km)
   48.0 km   Geradeaus (follow 2.4 km)
   50.4 km   Turn sharp left onto Neerstraat (follow 1.3 km)
   51.8 km   Abfahrt 2/ Am Kreisverkehr
   52.3 km   Schräg Rechts auf Kasteellaan
   52.6 km   Rechts auf Drongense Steenweg (follow 1.1 km)
   53.6 km   Rechts abbiegen auf Grote Baan
   54.2 km   Rechts abbiegen auf Koning Leopoldstraat
