DENDERMONDE - GENT CITY CENTRE    38.4 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Dendermonde
    0.0 km   Start Radtour; Wasser zur rechten Seite (follow 1.6 km)
    1.6 km   Rechts; Schleuse überqueren zum Knotenpunkt 87
    1.7 km   Rechts; Wasser zur rechten Seite zum Knotenpunkt 77
    2.6 km   Rechts zum Knotenpunkt 77 (follow 1.9 km)
    4.6 km   Schräg rechts (follow 2.6 km)
    7.2 km   Rechts über Brücke
  ★ 7.2 km  [ferry] Ferry Appels — not operating at 12:30h
  ★ 7.3 km  [ferry] Ferry Appels
    7.4 km   Rechts zum Knotenpunkt 76
    7.5 km   Schräg rechts
    7.6 km   Geradeaus zum Knotenpunkt73
    8.2 km   Schräg rechts
    8.5 km   Schräg links (follow 1.9 km)
   10.4 km   Links zum Knotenpunkt 72
   10.5 km   Rechts auf Damweg (follow 1.1 km)
   11.6 km   Links zum Knotenpunkt 66
   12.2 km   Rechts zum Knotenpunkt 66
   12.8 km   Links zum Knotenpunkt 66
   13.1 km   Rechts und direkt links zum Knotenpunkt 66
   13.3 km   Rechts zum Knotenpunkt 44
   13.8 km   Links
  ★ 13.8 km  [bar] Café Elvira Donk
  ★ 13.8 km  [coffee] Café Donk
  ★ 14.1 km  [coffee] Café Donk
   14.2 km   Geradeaus zum Knotenpunkt 44
   14.8 km   Links und direkt rechts auf Paepenbogtstraatje
   15.3 km   Schräg rechts
   15.7 km   Links zum Knotenpunkt 39 (follow 1.2 km)
   16.9 km   Rechts zum Knotenpunkt 39
   17.2 km   Links zum Knotenpunkt 39 (follow 1.2 km)
   18.4 km   Geradeaus zum Knotenpunkt 31
   19.3 km   Links auf Kalkendorp zum Knotenpunkt 31
   19.4 km   Schräg rechts
   20.0 km   Geradeaus zum Knotenpunkt 29
   20.8 km   Links abbiegen zum Knotenpunkt 29
   20.8 km   Rechts abbiegen zum Knotenpunkt 29 (follow 1.1 km)
  ★ 21.7 km  [see] Flower fields in summer Laarne
   22.0 km   Rechts abbiegen zum Knotenpunkt 25
   22.6 km   Schräg rechts; Straße überqueren
   22.7 km   Schräg links auf Zevensterstraat zum Knotenpunkt 25
   23.5 km   Links zum Knotenpunkt 25
   23.8 km   Schräg links auf Kerkstraat zum Knotenpunkt 24
   24.2 km   Schräg links
   24.6 km   Rechts auf Schoolstraat zum Knotenpunkt 24
   24.7 km   Links
   25.0 km   Geradeaus zum Knotenpunkt 21
  ★ 25.0 km  [coffee] Café De Fonteyn Laarne
  ★ 25.0 km  [coffee] Café's and frites Laarne — Near church
   25.2 km   Links
   25.2 km   Geradeaus fahren, Knotenpunkten nicht folgen
   25.2 km   Rechts abbiegen auf Dorpsstraat
   25.3 km   Links abbiegen auf Hoogstraat
   25.4 km   Rechts abbiegen auf Achterdreef
   25.9 km   Rechts abbiegen (follow 1.0 km)
  ★ 26.0 km  [see] Castle Laarne
   26.9 km   Schräg Rechts
   27.3 km   Rechts abbiegen
   27.7 km   Links abbiegen
   28.4 km   Links abbiegen
   28.5 km   Rechts abbiegen
   29.1 km   Rechts abbiegen
   29.4 km   Schräg links
   29.9 km   Links abbiegen
   30.8 km   Links und dann Rechts abbiegen
   30.9 km   Rechts abbiegen
   31.3 km   Rechts abbiegen (follow 1.2 km)
   32.5 km   Geradeaus weiterfahren (follow 1.6 km)
   34.1 km   Rechts abbiegen auf die Brücke
   34.2 km   Rechts abbiegen auf die Brücke
   34.4 km   Rechts abbiegen
   34.5 km   Links abbiegen
   35.0 km   Schräg rechts
   35.6 km   Rechts abbiegen
   35.6 km   Links abbiegen
  ★ 35.7 km  [dock/stay] Mooring Ghent Merelbeke
   35.7 km   Schräg rechts
   35.9 km   Rechts abbiegen (follow 1.1 km)
   37.0 km   Links abbiegen
   37.1 km   Geradeaus weiterfahren
   37.3 km   Rechts abbiegen
   37.3 km   Links abbiegen
   37.6 km   Rechts abbiegen
  ★ 37.8 km  [note] Ghent historical center
   38.1 km   Turn sharp right onto Veldstraat
   38.3 km   Turn right onto Korenmarkt
   38.3 km   Turn left onto Korenmarkt
  ★ 38.4 km  [bike_parking] Bike Parking Ghent Center
