DENDERMONDE - GHENT (CITY)    39.4 km    · signs & notes only ·

DIRECTIONS
    1.1 km   Weiter auf Nieuwe Tijsluis
    1.5 km   Rechts Richtung Sint Onolfsdijk abbiegen
    1.6 km   Rechts abbiegen auf Sint Onolfsdijk
    2.0 km   Leicht rechts abbiegen
    2.6 km   Rechts abbiegen (follow 1.0 km)
    3.6 km   Rechts halten auf Sint-Onolfsdijk
    4.3 km   Dem Straßenverlauf von Sint-Onolfsdijk folgen
    4.5 km   Rechts halten auf Hoofdstraat
    4.6 km   Leicht rechts abbiegen auf Hoofdstraat
    5.4 km   Dem Straßenverlauf von Hoofdstraat folgen (follow 1.8 km)
    7.2 km   Rechts abbiegen
  ★ 7.2 km  [ferry] Ferry Appels — every half hour but not operating at 12:30
    7.3 km   Rechts abbiegen
    7.4 km   Rechts abbiegen auf Waterhoek
    8.1 km   Rechts halten auf Heirweg
    8.7 km   Leicht rechts abbiegen auf Heirweg (follow 1.6 km)
   10.4 km   Links abbiegen auf Kamershoek
   10.5 km   Scharf rechts abbiegen auf Damweg (follow 1.1 km)
   11.6 km   Links abbiegen auf Bareldonkstraatje
   12.1 km   Rechts abbiegen auf Zandstraat
   12.8 km   Links abbiegen auf Olmendreef
   13.1 km   Rechts abbiegen auf Schriekenstraat
   13.1 km   Links halten auf Jachtstraat
   13.3 km   Rechts abbiegen auf Donklaan, N467
   13.8 km   Links abbiegen auf Brielstraat
  ★ 13.8 km  [coffee] Café Elvira Donk
  ★ 13.8 km  [food] Bakery
  ★ 14.1 km  [coffee] Café Donk
  ★ 14.1 km  [coffee] Café ´t Weiken
   14.8 km   Links abbiegen auf Paepenbogtstraatje
   14.8 km   Rechts abbiegen auf Paepenbogtstraatje
  ★ 14.8 km  [swimming] Lake Nieuwdonk — Lake, bar.
   15.3 km   Rechts abbiegen auf Broekstraat
   15.9 km   Links abbiegen auf Molenwegel
   16.4 km   Leicht links abbiegen auf Kleine Molenstraat
   16.7 km   Rechts abbiegen auf Molenstraat, N442
   16.7 km   Links abbiegen auf Kasteelwegel
   17.2 km   Links abbiegen
   17.5 km   Rechts abbiegen
   17.9 km   Leicht rechts abbiegen auf Molenstraat
   18.2 km   Rechts abbiegen auf Burgveldstraat (follow 1.7 km)
   19.9 km   Dem Straßenverlauf von Boombosstraat folgen
   20.0 km   Links abbiegen auf Kalkendorp, N407
