DEVENTER-WICHMOND-DOESBURG    58.7 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts abbiegen auf Pothoofd
    0.3 km   Links abbiegen auf Pothoofd
    0.6 km   Dem Straßenverlauf von Welle folgen
    1.2 km   Links abbiegen auf IJsselstraat
    1.3 km   Rechts abbiegen auf Noordenbergstraat
    1.3 km   Links abbiegen auf Nieuwe Markt
    1.4 km   Rechts abbiegen auf Papenstraat
    1.7 km   Leicht links abbiegen auf Bruynssteeg
    1.9 km   Rechts abbiegen auf Noordenbergsingel
    2.0 km   Links abbiegen auf Singel
    2.1 km   Links abbiegen auf Hovenpad (follow 1.1 km)
    3.2 km   Links abbiegen auf Achter de Hoven
    3.5 km   Rechts abbiegen auf Langelaan
    3.6 km   Rechts halten auf Langelaan
    4.0 km   Dem Straßenverlauf von Worp folgen (follow 3.4 km)
    7.4 km   Links abbiegen auf Weerdseweg (follow 2.1 km)
    9.5 km   Links abbiegen
  ★ 9.5 km  [food] Restaurant/terrace De Kribbe
   10.2 km   Links abbiegen auf Dommerholtsveer Gorssel-Wilp
  ★ 10.4 km  [ferry] Ferry Gorssel-Wilp: 1,30 euro
   10.4 km   Leicht rechts abbiegen
   10.8 km   Scharf rechts abbiegen auf Veerweg
   10.9 km   Scharf links abbiegen auf Veerweg
   11.2 km   Rechts abbiegen auf Ravensweerdsweg (follow 3.5 km)
   14.7 km   Rechts abbiegen auf Gorsselse Enkweg
   15.7 km   Rechts abbiegen auf Eefdese Enkweg
   16.2 km   Dem Straßenverlauf von Eefdese Enkweg folgen
   17.1 km   Links abbiegen auf Quatre Brasweg (follow 1.8 km)
   18.9 km   Links abbiegen (follow 2.2 km)
   21.1 km   Rechts abbiegen auf Mettrayweg
   21.4 km   Rechts abbiegen
   21.4 km   Rechts abbiegen auf Rustoordlaan
   21.5 km   Wenden auf Deventerweg
   21.7 km   Links abbiegen
  ★ 21.7 km  [see] Locks Eefde
   21.9 km   Links halten auf Rustoordlaan (follow 1.6 km)
   23.4 km   Im Kreisverkehr Ausfahrt 3 auf Burgemeester Dijckmeesterweg nehmen
   24.1 km   Wenden auf Stationsplein
   24.1 km   Links halten auf Nieuwstad
   24.3 km   Rechts abbiegen auf Kruittorenhoek
   24.8 km   Links abbiegen auf Looiersstraat
   24.8 km   Rechts abbiegen auf Molengracht
   24.9 km   Rechts abbiegen auf Molengracht
   25.0 km   Links abbiegen auf IJsselkade
   25.2 km   Links abbiegen auf Marspoortstraat
   25.5 km   Rechts abbiegen auf Lange Hofstraat
   25.6 km   Dem Straßenverlauf von 's Gravenhof folgen
   25.8 km   Links abbiegen auf Martinetsingel
   25.9 km   Rechts abbiegen auf Vispoortstraat
   26.2 km   Links halten auf Badhuisweg
   26.4 km   Rechts abbiegen
   26.5 km   Links halten
   26.6 km   Links halten (follow 1.5 km)
   28.1 km   Rechts halten
   28.2 km   Links abbiegen auf Bronsbergen
   28.6 km   Rechts abbiegen auf Emmerikseweg (follow 1.8 km)
   30.4 km   Rechts abbiegen
   30.4 km   Scharf rechts abbiegen auf Den Elterweg
   31.0 km   Scharf links abbiegen auf IJselweg (follow 1.1 km)
  ★ 31.0 km  [note] Generic
  ★ 32.0 km  [coffee] Tea garden
   32.1 km   Leicht rechts abbiegen auf Vierakkersestraatweg
   32.6 km   Links abbiegen auf Koekoekstraat
   33.1 km   Leicht rechts abbiegen auf Koekoekstraat (follow 1.3 km)
   34.4 km   Rechts abbiegen auf Beckenstraat
  ★ 34.4 km  [see] Castle Vorden
  ★ 34.4 km  [food] Several restaurants and bakeries
  ★ 34.4 km  [rest_stop] Rest point De Rietberg: coffee, tea, ice, cake.
