DEVENTER- KAMPEN ENG 2025    53.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto Duimpoort
    0.8 km   Continue onto Kapjeswelle
    0.9 km   Turn slight right onto IJsselkade
    1.1 km   Turn right onto Kersenstraat
    1.9 km   Turn left onto IJsselkade (follow 1.0 km)
    2.9 km   Turn left onto Hoevelmansweg (follow 1.2 km)
    4.1 km   Turn left onto Zwolseweg
    5.1 km   Turn right onto IJsseldijk
    5.6 km   Turn left onto Sallandsweg
    5.6 km   Turn right onto Wildenbergsweg
    5.9 km   Keep left onto IJsseldijk (follow 2.8 km)
    8.7 km   Turn slight right onto Jan Schamhartstraat (follow 1.8 km)
   10.5 km   Turn left onto Jan Schamhartstraat
   11.4 km   Turn left onto Aaldert Geertsstraat
   11.6 km   Turn left onto Hendrik Droststraat
   11.8 km   Turn left onto Hendrik Droststraat
   11.8 km   Turn right onto Benedendijk
   12.0 km   Turn left
   12.7 km   Turn right onto IJsseldijk (follow 3.5 km)
   16.2 km   Turn right onto IJsseldijk
   17.1 km   Turn sharp left
   17.9 km   Turn left onto Kerkdijk (follow 1.9 km)
   19.8 km   Turn right onto Bonenburgerlaan
   20.6 km   Turn right onto Dorpsstraat
   20.8 km   Turn right onto Marktstraat
   21.0 km   Turn left onto Hogepad
   21.8 km   Turn right onto Vosbergerweg
   21.9 km   Turn left onto Kasteelweg
   22.5 km   Turn sharp right onto Zwolseweg
   22.7 km   Turn right (follow 1.1 km)
   23.9 km   Turn left onto Bankenburgerweg
   24.3 km   Continue onto Veldweg (follow 1.0 km)
   25.3 km   Turn right onto Koerbergseweg (follow 1.4 km)
   26.7 km   Turn right
   27.3 km   Turn right
   27.7 km   Turn left
   28.5 km   Turn right
   28.5 km   Turn left
   28.6 km   Make a U-turn
   28.7 km   Turn right
   28.8 km   Turn sharp right
   29.3 km   Turn sharp left onto Wapenveldseweg
   30.1 km   Turn right onto Kamperweg (follow 4.3 km)
   34.4 km   Continue onto Stationsweg
   34.8 km   Turn slight left onto Stationsweg
   35.2 km   Turn left onto Zuiderzeestraatweg
   35.2 km   Turn left onto Zuiderzeestraatweg
   35.9 km   Turn right (follow 1.0 km)
   36.9 km   Turn right onto Duivendansweg
   37.6 km   Turn left onto Voskuilerdijk (follow 3.0 km)
   40.6 km   Turn left onto Jan Boerswegje
   41.5 km   Turn right onto Wittensteinse allee
   41.9 km   Turn sharp right onto Spijkerboersweg (follow 2.4 km)
   44.4 km   Turn right onto Kamperstraatweg
   45.0 km   Turn right
   45.5 km   Turn right onto de Zande
   45.5 km   Turn left onto de Zande
   46.1 km   Turn left onto de Zande
   46.1 km   Turn right onto Kamperstraatweg (follow 2.1 km)
   48.2 km   Turn right onto De Chalmotweg
   48.2 km   Turn left onto Kamperstraatweg (follow 1.7 km)
   49.9 km   Turn slight left onto IJsseldijk
   50.0 km   Turn right onto IJsseldijk
   50.1 km   Continue onto Beukenweg
   50.8 km   Turn right onto Engelenbergstraat
   51.0 km   Turn left onto Graafschap
   51.2 km   Continue onto Venebrug
   51.2 km   Turn left onto Burgwal
   51.4 km   Turn right onto Muntsteeg
   51.4 km   Continue onto Muntplein
   51.5 km   Turn sharp left onto Muntplein
   51.5 km   Turn left onto Hofstraat
   51.7 km   Turn left onto Burgwalstraat
   51.9 km   Turn right onto Burgwal
   52.2 km   Turn right onto Nieuwe Markt
   52.3 km   Turn left onto Buiten Nieuwstraat
  ★ 52.3 km  [dock/stay] Doking
   52.4 km   Turn left onto Vispoort
   52.5 km   Turn right onto IJsselkade
   52.9 km   Turn sharp left
