DEVENTER - TWELLO/BUSSLOO - ZUTPHEN    30.4 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ligplaats Deventer Pothoofd
    0.1 km   Links halten
    0.2 km   Leicht rechts abbiegen auf Pothoofd
    0.3 km   Links abbiegen auf Pothoofd
    0.4 km   Dem Straßenverlauf von Pothoofd folgen
    0.5 km   Rechts abbiegen auf Raamsluisstraat
    0.6 km   Dem Straßenverlauf von Welle folgen
    1.1 km   Rechts abbiegen
    1.2 km   Links abbiegen auf Noordenbergstraat
    1.3 km   Links abbiegen auf Nieuwe Markt
    1.4 km   Links abbiegen auf Papenstraat
    1.7 km   Leicht links abbiegen auf Bruynssteeg
    1.9 km   Rechts abbiegen auf Noordenbergsingel
    2.0 km   Links abbiegen auf Singel (follow 1.5 km)
  ★ 2.4 km  [note] IJsselbrug
    3.5 km   Dem Straßenverlauf von Hovenpad folgen
    3.9 km   Rechts abbiegen auf Burgemeester van der Feltzweg (follow 2.0 km)
    5.8 km   Links abbiegen auf H.W. Iordensweg
    5.9 km   Rechts abbiegen auf Dorpsstraat
    6.1 km   Rechts abbiegen auf Dorpsstraat
  ★ 6.2 km  [coffee] Horeca Twello
    7.0 km   In den Kreisverkehr einfahren
  ★ 7.5 km  [see] Huis Duistervoorde — oud middeleeuws kasteel, nu B&B
    7.5 km   Links abbiegen
    7.7 km   Scharf rechts abbiegen
    8.4 km   Rechts abbiegen
    8.9 km   Links abbiegen auf Zonnenbergstraat
    8.9 km   Rechts abbiegen auf Tienmorgen (follow 1.0 km)
  ★ 9.9 km  [coffee] Rustpunt, Boerderijwinkel
    9.9 km   Rechts abbiegen auf Tienmorgen
   10.0 km   Links abbiegen auf Zwarte Kolkstraat
   10.0 km   Rechts abbiegen auf Sluinerweg
   10.9 km   Links abbiegen auf Harleman's pad
   11.4 km   Rechts abbiegen
  ★ 11.4 km  [swimming] Recreatieplas Bussloo
  ★ 11.4 km  [swimming] Recreatieplas Bussloo
  ★ 11.6 km  [food] Pitch & Putt vanaf 11 uur — horeca
  ★ 11.9 km  [swimming] Strand bij de kiosk
  ★ 11.9 km  [food] Kiosk
   12.1 km   Links abbiegen auf Theo Klein Sworminkallee
   12.1 km   Links abbiegen auf Withagenweg (follow 1.0 km)
   13.1 km   Rechts abbiegen auf Zutphenseweg
   13.2 km   Im Kreisverkehr Ausfahrt 2 auf Vorstersweg nehmen
   13.5 km   Links abbiegen auf Koperdijk
   14.4 km   Rechts abbiegen auf Hoofdweg (follow 1.7 km)
  ★ 14.8 km  [note] Halte Klarenbeek
   16.2 km   Rechts abbiegen auf Hoofdweg
   16.2 km   Links abbiegen auf Molenweg
  ★ 16.2 km  [coffee] Restaurant Pijnappel Klarenbeek
   16.6 km   Links abbiegen auf Postweg
   16.6 km   Links abbiegen auf Postweg
   17.1 km   Links abbiegen auf Kopermolenweg
   17.7 km   Rechts abbiegen auf Landweg
   17.7 km   Links abbiegen auf Landweg (follow 1.8 km)
   19.6 km   Rechts halten auf Landweg
   19.6 km   Links abbiegen auf Watergatstraat (follow 1.8 km)
   21.4 km   Rechts abbiegen auf Appenseweg
   22.0 km   Rechts abbiegen auf Nijenbeekseweg
  ★ 22.0 km  [coffee] Bakkerij Bril Gietelo — Bakkerij met klein terras
   22.7 km   Scharf rechts abbiegen auf de Halmen
   23.0 km   Links abbiegen auf de Halmen
   23.9 km   Dem Straßenverlauf von Middelbeekspad folgen
   24.7 km   Rechts abbiegen auf Voorsterklei
   25.1 km   Links halten auf Sinderensdijk (follow 2.0 km)
   27.0 km   Links halten auf Sinderensdijk
   27.7 km   Leicht rechts abbiegen auf Gelders Hoofd (follow 1.6 km)
   29.3 km   Links abbiegen auf Weg naar Voorst
   29.6 km   Dem Straßenverlauf von Oude Kanonsdijk folgen
   29.6 km   Rechts abbiegen auf Weg naar Voorst
   29.7 km   Links abbiegen auf Kanonsdijk
  ★ 30.1 km  [see] Uitzichtpunt en trap naar uiterwaarden
  ★ 30.1 km  [note] IJsselbrug Zutphen
   30.2 km   Rechts halten
  ★ 30.3 km  [food] IJsselpaviljoen
   30.3 km   Leicht links abbiegen
   30.3 km   Leicht rechts abbiegen auf IJsselkade
   30.4 km   Rechts abbiegen auf Havenstraat
  ★ 30.4 km  [coffee] Cafés Zutphen
  ★ 30.4 km  [see] Berkelpoort Zutphen — De Berkelpoort (14e eeuw) is een waterpoort over de kleine rivier de Berkel. 
In 1888 werd de Berkelpoort gerestaureerd door architect P.J.H. Cuypers.
  ★ 30.4 km  [see] Bibliotheek  Broederenkerk Zutphen — De Broederenkerk is een 14e-eeuwse kloosterkerk die tot de Orde der Dominicanen behoorde en huisvest sinds 1983 de openbare bibliotheek van Zutphen.
  ★ 30.4 km  [see] Sint Walburgiskerk en Librije — Oude middeleeuwse bibliotheek
  ★ 30.4 km  [dock/stay] Ligplaats Zutphen IJsselkade
  ★ 30.4 km  [finish] Ligplaats Zutphen
