DIZY - DORMANS (HIGH)    34.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] barge Epernay
    0.4 km   Turn left
    0.7 km   Bear left onto bike path along river
    1.3 km   Continue straight onto Rue du Mont Suret
    1.6 km   Bear left onto Place de l'Abreuvoir (follow 4.0 km)
  ★ 5.6 km  [bar] bar at river
    5.7 km   Turn right
    5.7 km   Turn sharp left
    5.8 km   Turn sharp right onto D 22
    6.0 km   Bear left
    6.1 km   At roundabout, take exit 2 onto D 22
    6.4 km   Turn left onto Route Arty (follow 3.1 km)
  ★ 7.9 km  [note] steep hill
  ★ 8.1 km  [note] panorama
    9.5 km   Bear right
    9.9 km   Bear right onto D 1
   10.3 km   Bear left
   10.5 km   Turn right (follow 2.7 km)
   13.2 km   Bear left
   13.3 km   Bear left onto D 501
   13.6 km   Bear right
   14.1 km   Bear right onto Rue Blanche
   14.2 km   Turn left onto Rue Blanche
   14.2 km   Bear left
   14.5 km   Turn right (follow 1.6 km)
   16.1 km   At roundabout take exit 3
   16.8 km   Bear left onto Rue Pansion
   17.1 km   Turn left onto Rue Camiat
   17.1 km   Turn slight right onto Rue Camiat
   17.2 km   Turn sharp left onto Place Urbain II
   17.3 km   Turn left onto Rue de l'Église
   17.3 km   Turn right onto Rue Berthe Simonet
  ★ 17.4 km  [note] View point + statue Urbanus
   17.4 km   Turn left onto Rue de l'Église
   17.5 km   Turn right onto Rue de l'Église
   17.6 km   Turn sharp left onto Place Urbain II
  ★ 17.6 km  [bar] Bars Châtillon sur Marne
   17.7 km   Bear right onto Rue Jean Lafontaine
   17.9 km   Continue onto Place Gaucher
   17.9 km   Continue onto Rue Jean de La fontaine
   17.9 km   At roundabout, take exit 3 onto Rue de la Fontinette
   18.4 km   Turn left onto D 1
   18.5 km   Keep right onto D 23e4
   19.4 km   Turn right onto Rue des Bruyères, D 23
   19.8 km   Turn sharp right
   19.8 km   Turn left
   19.9 km   Turn slight right; river at your left (follow 2.6 km)
   22.5 km   Turn left
   22.9 km   Turn slight left (follow 6.5 km)
  ★ 22.9 km  [winery] Champagne Nowack
  ★ 27.6 km  [bar] Bar Verneuil
   29.5 km   Turn right onto Rue du Bac
   29.7 km   Turn left onto Rue de Verdun
  ★ 29.8 km  [rest_stop] picknick spot
  ★ 30.0 km  [bar] bar Vincelles
  ★ 30.2 km  [winery] Champagne Piot
   30.7 km   Turn left onto D 1e (follow 1.3 km)
  ★ 31.0 km  [start] locks Mont Saint-Père
   31.9 km   Turn left; cross bridge
  ★ 31.9 km  [dock/stay] barge Château-Thierry
  ★ 31.9 km  [convenience_store] Supermarket
   32.3 km   At roundabout, take exit 3 onto Rue Gambetta, D 18e1
  ★ 32.3 km  [bar] bar
   32.5 km   Turn right onto Rue du Château
   32.6 km   Turn right
  ★ 33.0 km  [note] memorial Dormans
   33.5 km   Turn left
   33.5 km   Turn right onto Avenue des Victoires
   33.7 km   Turn left onto Rue du Maréchal Foch
   34.0 km   Keep left onto Rue de la Prairie
   34.1 km   Turn left
   34.2 km   End of ride
  ★ 34.2 km  [stop] barge Dormans
